DateTime,Entries,UniqueIPs
1440182429,4578,4600
1440269415,4580,4602
1440356413,4582,4604
1440443403,4583,4605
1440530403,4584,4606
1440617407,4587,4609
1440617407,4587,4609
1440791408,4591,4613
1440878411,4594,4616
1440965448,4597,4619
1441052407,4600,4622
1441139419,4602,4624
1441487411,4605,4627
1441574608,4607,4629
1441749034,4611,4633
1441836021,4613,4635
1441923003,4617,4639
1442010002,4621,4643
1442097003,4624,4646
1442184059,4628,4650
1442271037,4630,4652
1442358011,4632,4654
1442532003,4639,4661
1442532003,4639,4661
1442619302,4641,4663
1442706071,4642,4664
1442880003,4649,4671
1442967016,4652,4674
1443054034,4656,4678
1443141014,4668,4690
1443228012,4669,4691
1443315055,4671,4693
1443402012,4676,4698
1443489304,4679,4701
1443576157,4681,4703
1443663158,4682,4704
1443750321,4685,4707
1443924002,4686,4708
1444011026,4690,4712
1444098021,4693,4715
1444185026,4694,4716
1444359025,4695,4717
1444533102,4697,4719
1444707191,4700,4722
1444794085,4706,4728
1444968009,4707,4729
1445055016,4708,4730
1445142005,4710,4732
1445403019,4711,4733
1445490007,4713,4735
1445577309,4717,4739
1445664533,4718,4740
1445751342,4719,4741
1445838342,4721,4743
1445925604,4723,4745
1446012603,4725,4747
1446099605,4727,4749
1446447603,4732,4754
1446534621,4735,4757
1446621611,4737,4759
1446708607,4739,4761
1447056647,4740,4762
1447143645,4744,4766
1447317641,4745,4767
1447404639,4746,4768
1447491606,4747,4769
1447665654,4748,4770
