DateTime,AddedIPs,RemovedIPs
1440355268,0,85
1440442202,0,2
1440616202,0,0
1440703202,0,1
1440790202,0,1
1441138257,0,1
1441312202,0,2
1441399202,0,1
1441486213,0,3
1441573205,0,1
1441660203,0,1
1441747202,0,1
1441834205,0,2
1441921202,68,2
1442008202,53,1
1442095215,64,26
1442182202,38,0
1442269202,32,0
1442356258,23,0
1442443202,20,2
1442530202,43,4
1442617204,48,3
1442704202,52,1
1442878203,45,0
1442965201,4,0
1443052202,6,0
1443139204,2,0
1443226202,8,0
1443313265,5,0
1443400202,3,1
1443487202,1,0
1443574202,4,0
1443661202,3,0
1443748202,3,0
1443835206,4,0
1443922475,2,0
1444009202,5,3
1444096204,1,0
1444183207,2,0
1444531202,0,12
1444618202,0,29
1444705206,0,43
1444792202,0,47
1444966202,0,74
1445053202,0,17
1445140202,0,31
1445227204,0,45
1445401202,0,123
1445488202,0,4
1445575202,32,3
1445662202,1,5
1445749205,0,4
1445836202,0,7
1445923202,3,1
1446010202,0,2
1446097202,0,5
1446184202,0,7
1446271205,0,4
1446358202,0,0
1446445202,0,14
1446595802,0,7
1446682802,0,8
1446769802,0,37
1446856803,0,0
1446943802,0,0
1447030806,0,0
1447117803,18,8
1447204802,22,1
1447378802,62,1
1447465802,43,0
1447552802,36,0
1447726802,53,0
1447813808,26,0
