DateTime,AddedIPs,RemovedIPs
1440355836,490,546
1440442806,457,489
1440529810,507,422
1440616855,510,525
1440703807,488,488
1440790839,514,521
1440877829,497,494
1440964806,443,447
1441051810,517,515
1441138821,559,498
1441225804,606,542
1441312828,495,498
1441399844,544,517
1441486819,510,523
1441573827,471,457
1441660830,485,513
1441747805,491,485
1441834809,482,469
1441921831,463,511
1442008805,512,539
1442095823,474,460
1442182840,504,467
1442269804,473,490
1442356808,590,504
1442443816,531,559
1442530808,510,504
1442617811,480,457
1442704855,482,437
1442878809,616,627
1442965823,465,508
1443052817,509,479
1443139853,463,467
1443226824,490,475
1443313806,526,523
1443400812,485,485
1443487819,521,476
1443574816,503,527
1443661858,483,444
1443748881,594,546
1443835802,484,466
1443922873,525,490
1444009818,492,479
1444096820,477,491
1444183844,432,474
1444270814,505,578
1444357807,433,424
1444444918,467,492
1444531865,481,487
1444618814,458,447
1444705811,464,504
1444792814,505,483
1444966852,607,637
1445053826,513,510
1445140803,428,433
1445227814,502,485
1445401806,602,604
1445488819,499,508
1445575821,478,433
1445662817,486,498
1445749805,537,483
1445836804,609,593
1445923804,502,497
1446010808,484,485
1446097805,515,518
1446184812,517,555
1446271816,604,484
1446358803,0,0
1446445804,751,610
1446532805,471,580
1446619804,548,531
1446706805,462,495
1446793806,497,503
1446880866,551,508
1446967804,0,0
1447054823,584,606
1447141824,510,517
1447315806,691,615
1447402826,512,587
1447489803,532,519
1447663810,616,634
