DateTime,Entries,UniqueIPs
1440268840,5967,6041
1440355836,5911,5985
1440442806,5885,5953
1440529810,5962,6038
1440616855,5949,6023
1440616855,5949,6023
1440703807,5949,6023
1440790839,5942,6016
1440877829,5945,6019
1440964806,5941,6015
1441051810,5940,6017
1441138821,6002,6078
1441225804,6065,6142
1441312828,6064,6139
1441399844,6090,6166
1441486819,6075,6153
1441573827,6089,6167
1441660830,6069,6139
1441747805,6071,6145
1441834809,6077,6158
1441921831,6046,6110
1442008805,5996,6083
1442095823,6010,6097
1442182840,6028,6134
1442269804,6012,6117
1442356808,6097,6203
1442443816,6069,6175
1442530808,6073,6181
1442530808,6073,6181
1442617811,6094,6204
1442704855,6138,6249
1442878809,6127,6238
1442965823,6091,6195
1443052817,6119,6225
1443139853,6116,6221
1443226824,6130,6236
1443313806,6133,6239
1443400812,6132,6239
1443487819,6168,6284
1443574816,6145,6260
1443661858,6185,6299
1443748881,6232,6347
1443835802,6249,6365
1443922873,6284,6400
1444009818,6296,6413
1444096820,6285,6399
1444183844,6244,6357
1444270814,6215,6284
1444357807,6223,6293
1444444918,6205,6268
1444531865,6199,6262
1444618814,6211,6273
1444705811,6175,6233
1444792814,6196,6255
1444966852,6165,6225
1445053826,6167,6228
1445140803,6160,6223
1445227814,6177,6240
1445401806,6174,6238
1445488819,6166,6229
1445575821,6210,6274
1445662817,6198,6262
1445749805,6251,6316
1445836804,6269,6332
1445923804,6272,6337
1446010808,6268,6336
1446097805,6265,6333
1446184812,6227,6295
1446271816,6283,6415
1446445804,6430,6556
1446532805,6379,6447
1446619804,6393,6464
1446706805,6361,6431
1446793806,6355,6425
1446880866,6401,6468
1447054823,6383,6446
1447141824,6376,6439
1447315806,6450,6515
1447402826,6377,6440
1447489803,6389,6453
1447663810,6372,6435
