DateTime,Entries,UniqueIPs
1440268203,671,21173248
1440442222,673,21304320
1440529203,674,21305344
1440616225,674,21305344
1440790202,678,21567488
1440964327,679,21633024
1441051203,678,21632768
1441225218,679,21633792
1441399214,688,22289152
1441486206,694,22682368
1441573205,696,22752000
1441660206,694,22751232
1441747206,695,22816768
1441834203,694,22816256
1441921265,696,22882816
1442356205,697,22948352
1442530209,700,22950144
1442530209,700,22950144
1442617204,701,23015680
1442704243,704,23053568
1442878202,710,23252736
1442965217,708,23252224
1443052281,712,23392512
1443139202,714,23398144
1443226231,715,23403264
1443313259,717,23534336
1443487216,716,23530240
1443748284,713,23496960
1443835258,715,23628032
1443922261,716,23628288
1444009541,714,23689728
1444096313,713,23624192
1444270204,713,23625216
1444357206,714,23694592
1444444204,716,23696640
1444531219,715,23631104
1444792322,714,23630848
1444966203,712,23957248
1445053213,711,23891712
1445140528,710,23826176
1445575260,709,23760640
1445923483,711,23762688
1446010204,712,40539904
1446097328,685,22608384
1446184550,685,22608384
1446271202,684,22604288
1446445496,685,22604544
1446532202,683,22583552
1446706387,682,22518016
1446880203,683,22522112
1447054202,682,22521856
