DateTime,Entries,UniqueIPs
1434197235,4601,48562432
1434283635,4601,48562432
1434283635,4601,48562432
1434542832,4602,48563456
1434629234,4603,48563712
1434629234,4603,48563712
1434629234,4603,48563712
1434715632,4604,48563968
1434802034,4605,48564992
1435061229,4606,48566272
1435147643,4600,48559360
1435234037,4601,48559872
1435406833,4604,48562176
1435838844,4607,48564736
1436011633,4610,48568320
1436270833,4609,48568064
1436443632,4610,48568576
1436530034,4609,48566528
1436616437,4613,48567808
1436875649,4615,48568320
1436962042,4618,48570624
1437480442,4621,48573184
1437566840,4620,48573440
1437653234,4624,48574720
1437826038,4626,48575488
1438085235,4627,48576512
1438171637,4631,48579840
1438258044,4632,48580096
1438430834,4633,48581376
1438690037,4634,48582400
1438776441,4634,48585472
1438862836,4635,48586496
1438949235,4636,48586752
1439035640,4638,48588032
1439122061,4638,48588032
1439122061,4638,48588032
1439122061,4638,48588032
1439208442,4638,48588032
1439554041,4640,48589312
1439640436,4641,48590336
1439640436,4641,48590336
1439899637,4642,48590592
1439986039,4642,48590848
1440158843,4645,48592640
1440158843,4645,48592640
1440245241,4646,48593664
1440504438,4647,48594688
1440590838,4649,48597760
1440590838,4649,48597760
1440677238,4650,48598784
1440763639,4653,48600576
1441109235,4655,48602624
1441282034,4656,48603648
1441368438,4658,48604928
1441454835,4659,48605184
1441714034,4664,48608512
1441973236,4665,48609792
1442059634,4664,48609536
1442318841,4665,48610048
1442405238,4666,48610560
1443096438,4674,48618240
1443182843,4678,48619520
1443528434,4680,48621568
1443701235,4682,48622336
1443874040,4683,48623360
1444219636,4688,48627712
1444306034,4688,48627456
1444392440,4690,48628992
1444478841,4693,48633088
1444824441,4696,48635136
1444910840,4699,48637184
1444997241,4700,48637696
1445083643,4701,48637952
1445342838,4703,48639232
1445515642,4704,48639488
1445602049,4705,48639744
1445688443,4707,48640512
1445947632,4714,48647680
1446034032,4715,48647936
1446120433,4717,48648448
1446552431,4719,48649472
1446638836,4720,48650496
1446725237,4722,48652544
1446811634,4720,48650752
1447330034,4722,48653824
1447416435,4724,48657664
1447848451,4725,48656896
