DateTime,Entries,UniqueIPs
1434197235,1202,17726720
1434283635,1202,17726720
1434283635,1202,17726720
1434456432,1203,17727744
1434629234,1203,17727744
1434629234,1203,17727744
1435061229,1204,17728768
1435147643,1205,17729024
1435234037,1206,17730048
1435406833,1209,17732352
1435838844,1209,17730304
1435925231,1210,17731328
1436270833,1211,17732352
1436443632,1214,17734400
1436616437,1215,17735424
1437048434,1216,17735680
1438085235,1218,17744128
1438171637,1219,17745152
1439122061,1219,17745152
1439122061,1219,17745152
1439122061,1219,17745152
1439208442,1219,17745152
1439381237,1220,17745408
1439554041,1221,17746432
1439640436,1221,17746432
1440158843,1222,17746944
1440158843,1222,17746944
1440590838,1223,17747968
1440590838,1223,17747968
1440677238,1226,17749760
1440763639,1228,17751040
1440850035,1229,17752064
1441195631,1231,17753344
1441282034,1230,17752320
1441368438,1231,17752832
1441454835,1234,17754624
1441714034,1238,17757952
1442059634,1242,17760768
1442405238,1243,17761024
1442491638,1245,17762560
1443096438,1247,17763840
1444219636,1249,17765120
1444392440,1250,17766144
1444738037,1251,17766656
1445083643,1253,17767936
1445342838,1256,17770496
1445429241,1257,17771520
1445515642,1258,17771776
1445602049,1259,17772288
1445688443,1260,17773312
1445947632,1261,17773568
1446293231,1263,17774080
1446552431,1264,17775104
1446638836,1266,17776384
1446811634,1268,17778432
1447243636,1271,17781504
1447330034,1272,17782528
1447416435,1274,17784576
1447503066,1275,17785088
1447848451,1280,17789952
