DateTime,Entries,UniqueIPs
1434197235,232,5241600
1434283635,232,5241600
1434283635,232,5241600
1434629234,232,5241600
1434629234,232,5241600
1436530034,233,5242624
1438085235,234,5242880
1438776441,233,5242624
1439122061,233,5242624
1439122061,233,5242624
1439122061,233,5242624
1439208442,233,5242624
1439640436,233,5242624
1440158843,233,5242624
1440590838,236,5246720
1440590838,236,5246720
1440677238,237,5247744
1442491638,238,5248256
1443096438,239,5248512
1443269240,241,5250560
1443874040,243,5252608
1447330034,244,5252864
1447848451,246,5254912
