DateTime,Entries,UniqueIPs
1434197235,2029,9485568
1434283635,2029,9485568
1434283635,2029,9485568
1434456432,2028,9484032
1434542832,2029,9485056
1434629234,2027,9453824
1434629234,2027,9453824
1434629234,2027,9453824
1434715632,2026,9453568
1434802034,2040,9452544
1435147643,2041,9453568
1435406833,2041,9454336
1435838844,2044,9446144
1435925231,2044,9445632
1436443632,2045,9379072
1436530034,2046,9380096
1436616437,2045,9371904
1436875649,2047,9366784
1436962042,2047,9356544
1437221233,2049,9358592
1437480442,2047,9328896
1437566840,2056,9321216
1437653234,2055,9320192
1437826038,2054,9319168
1438085235,2053,9309952
1438171637,2054,9308928
1439035640,2060,9306880
1439122061,2060,9306880
1439122061,2060,9306880
1439122061,2060,9306880
1439208442,2060,9306880
1439294839,2062,9306624
1439381237,2060,9301504
1439467637,2060,9285120
1439554041,2072,9281280
1439640436,2072,9281280
1439899637,2074,9277184
1440158843,2088,9274624
1440158843,2088,9274624
1440245241,2089,9275648
1440504438,2090,9276672
1440590838,2090,9276672
1440677238,2089,9252096
1440763639,2090,9253120
1440850035,2091,9254144
1441109235,2090,9250560
1441195631,2093,9250304
1441368438,2100,9248768
1441454835,2101,9249792
1441714034,2098,9243648
1441886837,2099,9243904
1442405238,2098,9243392
1442491638,2099,9242368
1443096438,2099,9140224
1443182843,2100,9141248
1443528434,2099,9140992
1443701235,2104,9139456
1443874040,2108,9139200
1444133238,2126,9127936
1444219636,2128,9119744
1444392440,2129,9120768
1444738037,2135,9119232
1444824441,2140,9114880
1445083643,2143,9114368
1445602049,2144,9115392
1446034032,2145,9110272
1446120433,2146,9111296
1446206833,2151,9112576
1446811634,2152,9113600
1446898033,2153,9112576
1447157234,2154,9113600
1447243636,2157,9110528
1447503066,2161,9114880
1447848451,2160,9111808
