DateTime,Entries,UniqueIPs
1434197235,638,6262272
1434283635,638,6262272
1434283635,638,6262272
1434629234,639,6263296
1434629234,639,6263296
1434629234,639,6263296
1434802034,641,6264576
1435752441,642,6265088
1435925231,643,6266112
1436530034,644,6267136
1437826038,645,6268160
1438085235,646,6276352
1438171637,645,6275328
1438258044,646,6276352
1438949235,648,6279424
1439122061,648,6279424
1439122061,648,6279424
1439122061,648,6279424
1439208442,648,6279424
1439381237,650,6281472
1439640436,651,6281728
1439640436,651,6281728
1440158843,652,6281984
1440158843,652,6281984
1440504438,654,6284032
1440590838,651,6103808
1440590838,651,6103808
1440677238,652,6104832
1440850035,654,6106880
1441109235,654,6114048
1441454835,658,6112256
1441800441,660,6114304
1442318841,662,6116352
1443096438,664,6122240
1443701235,666,6124288
1443874040,665,6122496
1444219636,666,6123520
1444392440,671,6308864
1444738037,672,6309120
1444824441,683,6306816
1444997241,685,6308864
1445429241,688,6311936
1446552431,685,6131712
1447330034,684,6131456
1447416435,686,6133504
1447934834,688,6135552
1448021233,690,6137600
