DateTime,Entries,UniqueIPs
1446245018,0,0
1446245018,35,35
1446257294,43,43
1446269868,44,44
1446275356,79,79
1446296477,106,106
1446313768,118,118
1446329988,123,123
1446338390,125,125
1446350501,127,127
1446358780,135,135
1446371274,170,170
1446383429,196,196
1446391666,206,206
1446415828,218,218
1446423564,220,220
1446437983,225,225
1446460818,247,247
1446472474,256,256
1446487788,265,265
1446521926,279,279
1446530099,280,280
1446546464,312,312
1446559070,324,324
1446588651,346,346
1446616979,350,350
1446632843,381,381
1446649244,400,400
1446668381,409,409
1446678105,411,411
1446706864,412,412
1446739809,438,438
1446772746,446,446
1446818099,468,468
1446849505,478,478
1446853535,480,480
1446861730,472,472
1446882959,487,487
1446911358,483,483
1446926083,480,480
1446955847,482,482
1446970707,474,474
1446985665,452,452
1447000641,459,459
1447015560,468,468
1447030460,459,459
1447060209,440,440
1447075109,458,458
1447090138,453,453
1447119963,449,449
1447149637,428,428
1447180752,391,391
1447195541,392,392
1447225266,375,375
1447255117,364,364
1447299933,371,371
1447314942,379,379
1447329622,396,396
1447344611,401,401
1447359517,415,415
1447374457,418,418
1447389399,420,420
1447412055,419,419
1447441833,423,423
1447456726,434,434
1447486933,436,436
1447501620,432,432
1447532303,439,439
1447547284,446,446
1447577249,449,449
1447592056,448,448
1447622312,429,429
1447652190,437,437
1447667149,437,437
1447696830,415,415
1447719537,417,417
1447764326,422,422
1447779260,445,445
1447794070,444,444
1447808984,435,435
1447838840,447,447
1447868819,451,451
1447883657,454,454
