DateTime,AddedIPs,RemovedIPs
1446257294,35,0
1446269868,1,1
1446275356,35,35
1446296477,32,32
1446300410,0,0
1446313768,12,12
1446329988,6,6
1446338390,3,3
1446350501,2,2
1446358780,9,9
1446371274,35,35
1446383429,31,31
1446391666,13,13
1446411860,0,0
1446415828,20,20
1446423564,2,2
1446437983,6,6
1446460818,29,29
1446472474,12,12
1446487788,14,14
1446521926,15,15
1446530099,2,2
1446546464,34,34
1446559070,18,18
1446588651,28,28
1446616979,7,7
1446632843,33,33
1446649244,23,23
1446668381,11,11
1446678105,3,3
1446694671,4,4
1446706864,3,3
1446739809,30,30
1446772746,10,10
1446818099,31,31
1446849505,11,11
1446853535,3,3
1446882959,35,35
1446911358,33,33
1446926083,9,9
1446955847,12,12
1446985665,34,34
1447000641,19,19
1447015560,16,16
1447030460,17,17
1447060209,1,1
1447075109,34,34
1447090138,28,28
1447119963,12,12
1447180752,16,16
1447195541,4,4
1447225266,12,12
1447255117,28,28
1447299933,22,22
1447314942,35,35
1447329622,24,24
1447344611,27,27
1447359517,21,21
1447374457,4,4
1447389399,2,2
1447412055,33,33
1447441833,20,20
1447456726,18,18
1447486933,20,20
1447501620,35,35
1447532303,33,33
1447547284,7,7
1447577249,33,33
1447592056,21,21
1447622312,9,9
1447652190,10,10
1447667149,27,27
1447696830,21,21
1447719537,8,8
1447764326,31,31
1447779260,28,28
1447794070,14,14
1447808984,1,1
1447823923,1,1
1447838840,33,33
