DateTime,Entries,UniqueIPs
1445172689,2254,2254
1445176289,2227,2227
1445179889,2217,2217
1445183489,2215,2215
1445187089,2200,2200
1445190689,2186,2186
1445194289,2182,2182
1445197889,2188,2188
1445201489,2189,2189
1445205089,2184,2184
1445208689,2180,2180
1445212289,2188,2188
1445215889,2166,2166
1445219489,2164,2164
1445223089,2170,2170
1445226689,2172,2172
1445243789,2212,2212
1445247389,2218,2218
1445251889,2288,2288
1445255489,2317,2317
1445259089,2314,2314
1445262689,2316,2316
1445266289,2329,2329
1445269889,2316,2316
1445273490,2327,2327
1445277090,2327,2327
1445280689,2307,2307
1445284290,2315,2315
1445287890,2302,2302
1445291489,2287,2287
1445295090,2282,2282
1445298690,2277,2277
1445302290,2275,2275
1445305890,2282,2282
1445309489,2284,2284
1445313090,2266,2266
1445316690,2268,2268
1445320290,2256,2256
1445323890,2256,2256
1445327490,2300,2300
1445331090,2334,2334
1445334690,2353,2353
1445338290,2398,2398
1445341890,2406,2406
1445345490,2405,2405
1445349090,2504,2504
1445352690,2630,2630
1445356290,2708,2708
1445359890,2820,2820
1445363490,2914,2914
1445367090,3023,3023
1445370690,3076,3076
1445374290,3170,3170
1445377890,3242,3242
1445381490,3301,3301
1445385091,3341,3341
1445388690,3374,3374
1445392290,3407,3407
1445395890,3435,3435
1445400390,3473,3473
1445403990,3498,3498
1445407590,3530,3530
1445411190,3561,3561
1445414790,3540,3540
1445418390,3556,3556
1445421990,3515,3515
1445425591,3483,3483
1445429190,3454,3454
1445432790,3490,3490
1445436391,3499,3499
1445439991,3504,3504
1445443591,3508,3508
1445447191,3525,3525
1445450791,3545,3545
1445454391,3576,3576
1445457991,3601,3601
1445461591,3616,3616
1445466091,3617,3617
1445469691,3618,3618
1445473291,3612,3612
1445476892,3621,3621
1445480492,3629,3629
1445484091,3633,3633
1445487692,3641,3641
1445491292,3643,3643
1445494891,3649,3649
1445498493,3642,3642
1445502092,3575,3575
1445505693,3551,3551
1445509292,3579,3579
1445537191,3130,3130
1445540791,3046,3046
1445544391,2982,2982
1445547991,2915,2915
1445551592,2857,2857
1445555191,2813,2813
1445558792,2781,2781
1445562392,2750,2750
1445566894,2719,2719
1445570494,2677,2677
1445574094,2637,2637
1445577694,2626,2626
1445581294,2594,2594
1445584895,2566,2566
1445588496,2578,2578
1445592095,2588,2588
1445595695,2590,2590
1445599297,2662,2662
1445602898,2680,2680
1445606498,2645,2645
1445610099,2645,2645
1445613698,2649,2649
1445617299,2654,2654
1445620899,2618,2618
1445624498,2608,2608
1445628099,2576,2576
1445631699,2559,2559
1445635299,2559,2559
1445638900,2554,2554
1445642500,2556,2556
1445646101,2552,2552
1445649701,2552,2552
1445653301,2537,2537
1445656901,2531,2531
1445660501,2522,2522
1445664102,2515,2515
1445667702,2509,2509
1445671303,2503,2503
1445674904,2502,2502
1445678504,2497,2497
1445682105,2438,2438
1445685706,2402,2402
1445689306,2358,2358
1445692906,2358,2358
1445696506,2373,2373
1445700106,2354,2354
1445703706,2351,2351
1445707307,2360,2360
1445710907,2361,2361
1445714506,2352,2352
1445719006,2348,2348
1445722606,2338,2338
1445726207,2334,2334
1445729807,2337,2337
1445733408,2323,2323
1445735208,2326,2326
1445737908,2331,2331
1445741509,2329,2329
1445745109,2339,2339
1445748709,2348,2348
1445752309,2338,2338
1445755909,2331,2331
1445759509,2315,2315
1445763110,2291,2291
1445766710,2278,2278
1445770310,2245,2245
1445773910,2192,2192
1445777510,2152,2152
1445781111,2155,2155
1445784711,2129,2129
1445788311,2105,2105
1445791912,2084,2084
1445795512,2092,2092
1445799112,2078,2078
1445803613,2073,2073
1445807212,2063,2063
1445810813,2072,2072
1445814413,2063,2063
1445818015,2063,2063
1445821615,2065,2065
1445825216,2069,2069
1445828816,2068,2068
1445832416,2064,2064
1445836016,2055,2055
1445839616,2078,2078
1445843216,2089,2089
1445846817,2106,2106
1445850417,2117,2117
1445854017,2149,2149
1445857617,2186,2186
1445861217,2205,2205
1445864817,2244,2244
1445868417,2274,2274
1445872017,2262,2262
1445875617,2262,2262
1445879217,2267,2267
1445882817,2287,2287
1445886418,2298,2298
1445890018,2299,2299
1445893618,2309,2309
1445897218,2313,2313
1445900818,2334,2334
1445904419,2338,2338
1445908019,2353,2353
1445911619,2361,2361
1445915220,2356,2356
1445918820,2360,2360
1445922420,2363,2363
1445926920,2367,2367
1445930520,2388,2388
1445934121,2398,2398
1445937720,2422,2422
1445941321,2434,2434
1445944921,2493,2493
1445948521,2516,2516
1445952121,2549,2549
1445955721,2556,2556
1445959321,2578,2578
1445962921,2588,2588
1445966522,2592,2592
1445970122,2596,2596
1445973724,2617,2617
1445978224,2623,2623
1445981823,2637,2637
1445985424,2645,2645
1445989024,2655,2655
1445992625,2665,2665
1445996225,2669,2669
1445999826,2682,2682
1446003426,2696,2696
1446007026,2704,2704
1446010626,2722,2722
1446014226,2707,2707
1446017827,2698,2698
1446021427,2721,2721
1446025026,2758,2758
1446028627,2798,2798
1446032227,2839,2839
1446035827,2873,2873
1446039427,2892,2892
1446043027,2877,2877
1446046627,2872,2872
1446051127,2873,2873
1446057427,2850,2850
1446061028,2847,2847
1446064629,2858,2858
1446068229,2862,2862
1446071829,2868,2868
1446075430,2872,2872
1446079029,2896,2896
1446082631,2905,2905
1446086231,2917,2917
1446090732,2918,2918
1446094332,2932,2932
1446097932,2941,2941
1446101532,2950,2950
1446105132,2985,2985
1446108732,2978,2978
1446112332,3007,3007
1446115932,3000,3000
1446119532,2983,2983
1446123133,3015,3015
1446126733,3039,3039
1446130333,3054,3054
1446133933,3056,3056
1446137533,3072,3072
1446141134,3094,3094
1446144733,3113,3113
1446148334,3118,3118
1446151934,3114,3114
1446155534,3124,3124
1446159134,3110,3110
1446162736,3110,3110
1446167236,3128,3128
1446170836,3154,3154
1446174436,3145,3145
1446178036,3135,3135
1446181637,3129,3129
1446185237,3124,3124
1446188837,3132,3132
1446192437,3119,3119
1446196037,3106,3106
1446199639,3077,3077
1446203238,3062,3062
1446206838,3032,3032
1446210438,3001,3001
1446214038,2988,2988
1446217639,3031,3031
1446221239,3107,3107
1446224839,3103,3103
1446228439,3087,3087
1446232039,3098,3098
1446235639,3110,3110
1446239239,3118,3118
1446242839,3107,3107
1446246439,3113,3113
1446250039,3114,3114
1446253639,3105,3105
1446257239,3087,3087
1446260839,3082,3082
1446264439,3084,3084
1446268039,3057,3057
1446275239,3026,3026
1446278839,2991,2991
1446284239,2953,2953
1446287840,2951,2951
1446291440,2920,2920
1446295040,2896,2896
1446298640,2842,2842
1446302240,2805,2805
1446305840,2795,2795
1446309440,2773,2773
1446313040,2766,2766
1446316640,2769,2769
1446320240,2737,2737
1446323840,2733,2733
1446327440,2753,2753
1446331040,2744,2744
1446334640,2744,2744
1446338240,2727,2727
1446341840,2713,2713
1446345440,2698,2698
1446349040,2692,2692
1446352640,2689,2689
1446356240,2676,2676
1446359841,2680,2680
1446363441,2672,2672
1446367040,2679,2679
1446370641,2700,2700
1446374241,2659,2659
1446377841,2641,2641
1446381441,2622,2622
1446385041,2610,2610
1446388641,2633,2633
1446392241,2551,2551
1446395841,2526,2526
1446399441,2537,2537
1446403041,2533,2533
1446406641,2541,2541
1446410241,2524,2524
1446413841,2518,2518
1446417441,2516,2516
1446421041,2521,2521
1446425541,2511,2511
1446429141,2511,2511
1446437241,2558,2558
1446440842,2565,2565
1446444442,2561,2561
1446448042,2564,2564
1446451642,2579,2579
1446455243,2580,2580
1446458842,2597,2597
1446462442,2598,2598
1446466042,2614,2614
1446470543,2629,2629
1446474142,2635,2635
1446477743,2647,2647
1446481343,2654,2654
1446484943,2675,2675
1446488543,2696,2696
1446492143,2711,2711
1446495743,2739,2739
1446499345,2757,2757
1446503843,2791,2791
1446507443,2827,2827
1446511043,2845,2845
1446514643,2871,2871
1446518243,2887,2887
1446521843,2909,2909
1446525443,2926,2926
1446529043,2932,2932
1446532643,2945,2945
1446536243,2941,2941
1446539844,2925,2925
1446543443,2915,2915
1446547043,2929,2929
1446550643,2996,2996
1446554244,3059,3059
1446557844,3087,3087
1446561444,3079,3079
1446565044,3091,3091
1446568644,3072,3072
1446573144,3086,3086
1446576744,3104,3104
1446580344,3112,3112
1446583944,3129,3129
1446587544,3133,3133
1446591144,3131,3131
1446595644,3139,3139
1446599244,3163,3163
1446602844,3151,3151
1446606444,3130,3130
1446610044,3120,3120
1446613644,3123,3123
1446617244,3132,3132
1446620845,3135,3135
1446624444,3130,3130
1446628045,3135,3135
1446631645,3121,3121
1446635245,3120,3120
1446638844,3117,3117
1446642445,3118,3118
1446646045,3122,3122
1446649646,3130,3130
1446653246,3117,3117
1446656846,3121,3121
1446667645,3110,3110
1446671245,3139,3139
1446674846,3136,3136
1446678447,3104,3104
1446682046,3086,3086
1446685647,3092,3092
1446689248,3063,3063
1446692848,3040,3040
1446696448,3028,3028
1446700048,3041,3041
1446703648,3030,3030
1446707248,3038,3038
1446710848,3062,3062
1446714448,3060,3060
1446718048,3122,3122
1446721649,3111,3111
1446725249,3046,3046
1446728849,3003,3003
1446732449,3007,3007
1446736048,3108,3108
1446739648,3152,3152
1446743248,3224,3224
1446746848,3320,3320
1446750448,3402,3402
1446754048,3449,3449
1446757649,3514,3514
1446761249,3613,3613
1446764849,3671,3671
1446768449,3713,3713
1446772049,3737,3737
1446775649,3791,3791
1446779249,3822,3822
1446782849,3872,3872
1446786449,3899,3899
1446790050,3947,3947
1446793650,4002,4002
1446797250,4041,4041
1446800850,4061,4061
1446804450,4086,4086
1446808050,4110,4110
1446811650,4124,4124
1446815250,4116,4116
1446818850,4120,4120
1446824250,4102,4102
1446827850,4166,4166
1446831450,4235,4235
1446835050,4286,4286
1446838650,4286,4286
1446842251,4263,4263
1446845850,4211,4211
1446849450,4192,4192
1446853051,4167,4167
1446856650,4161,4161
1446860250,4162,4162
1446863850,4183,4183
1446867450,4188,4188
1446871051,4182,4182
1446874652,4180,4180
1446878252,4166,4166
1446881853,4133,4133
1446885452,4123,4123
1446889052,4133,4133
1446892652,4056,4056
1446896253,4018,4018
1446899853,3995,3995
1446903453,3986,3986
1446907054,3897,3897
1446910653,3822,3822
1446914254,3717,3717
1446917854,3632,3632
1446921453,3535,3535
1446925054,3434,3434
1446928653,3358,3358
1446932254,3257,3257
1446935855,3191,3191
1446939454,3114,3114
1446943054,3063,3063
1446946654,3010,3010
1446950254,2965,2965
1446953854,2909,2909
1446957454,2884,2884
1446961054,2833,2833
1446964654,2754,2754
1446968254,2712,2712
1446971854,2675,2675
1446975454,2642,2642
1446979054,2593,2593
