DateTime,AddedIPs,RemovedIPs
1434744970,23335,24273
1434831360,8343,17826
1434917772,6377,11445
1435004171,11296,9652
1435090555,13177,7600
1435176940,11410,9603
1435263391,10873,10681
1435350338,10673,12126
1435437391,9795,13227
1435524338,8697,15953
1435611340,11959,7652
1435698063,12142,7502
1435785049,11156,9751
1435871809,13216,2068
1435958749,35446,12555
1436045798,39197,9513
1436132747,10484,10958
1436220054,13133,8317
1436306792,16348,33690
1436393186,15556,51037
1436479569,9471,9249
1436566801,5858,30366
1436653597,5727,13153
1436740590,12017,11521
1436827095,15043,11471
1436914002,15910,10185
1437000654,17513,14137
1437087094,16071,15319
1437173485,17051,50067
1437259898,40274,30643
1437346299,37286,34539
1437432676,35725,8409
1437519080,16158,6315
1437660682,41996,15778
1437747097,29780,11648
1437833813,12026,10423
1437920411,14255,9836
1438007234,13352,10648
1438094185,15479,8306
1438180865,14724,11334
1438267265,16030,12329
1438353672,43743,10703
1438440364,32035,10747
1438527100,10144,15583
1438613461,11581,51793
1438699898,30325,19551
1438786286,32955,10872
1438948609,20842,29738
1439037386,10679,15213
1439132824,9436,7026
1439219205,14219,4952
1439305624,13201,9456
1439392039,8656,12862
1439478984,7222,14687
1439565992,3368,16387
1439653902,0,15212
1439740289,0,14866
1439826727,0,27172
1439913107,57237,27503
1439999491,37976,48253
1440086765,48262,15482
1440173766,14625,12756
1440260752,13580,30002
1440347758,9355,30756
1440435395,13910,11276
1440522396,18124,13686
1440609406,19633,13863
1440696448,41413,15527
1440783367,25585,14944
1440870900,17916,17229
1440957967,13019,39196
1441045562,15625,32850
1441132569,17604,11559
1441220782,12562,14874
1441307769,15159,34042
1441394763,13827,38281
1441493153,13064,13215
1441580810,12825,15753
1441623665,12717,4127
1441843562,39260,29751
1441930578,15020,13949
1442017584,12743,9600
1442104592,12923,9661
1442191910,12090,12590
1442279191,16462,10759
1442366243,58768,8660
1442453219,20733,10914
1442540220,10954,11829
1442627535,11817,44923
1442714863,0,636032
1442801815,608920,0
1442888783,16857,12404
1442975756,10512,11589
1443063293,4849,15444
1443150385,7795,15794
1443237613,4117,18624
1443325016,3550,55204
1443412272,7532,23269
1443499255,13787,16677
1443586557,6907,13730
1443673553,3584,16036
1443760562,3775,18562
1443848443,7754,14261
1443935743,9176,14163
1444022739,11498,14109
1444109854,10369,12392
1444197342,11089,13993
1444284635,11815,16584
1444371934,16186,16674
1444458934,6699,15968
1444545938,4083,16431
1444633235,5243,12274
1444720543,38866,12885
1444807539,6597,14169
1444894546,5141,18087
1444982130,4921,67181
1445069173,11646,22442
1445156431,3849,12290
1445244632,7302,12190
1445331627,10977,11132
1445418928,46402,16036
1445505925,12875,17450
1445592930,13607,11758
1445679944,15226,5964
1445767229,9435,8676
1445854528,12318,3986
1445941528,15898,3498
1446028529,15017,11461
1446115526,19382,8809
1446202841,18036,18747
1446290413,15736,31911
1446377832,6977,3739
1446465216,7841,6578
1446552242,7607,9820
1446639509,3578,10992
1446726996,2446,13047
1446814291,18343,12714
1446901349,2667,12590
1446988180,3054,20809
1447075623,3210,7332
1447162627,4041,4758
1447293577,10097,31844
1447380465,5584,18013
1447467438,44871,7321
1447554463,3354,9483
1447641773,2704,12488
1447729114,14154,4104
1447859579,6060,8857
