DateTime,Entries,UniqueIPs
1434397228,531036,531036
1434484155,537242,537242
1434572126,23519,23519
1434572126,23519,23519
1434658570,564215,564215
1434658570,564215,564215
1434744970,563277,563277
1434831360,553794,553794
1434917772,548726,548726
1435004171,550370,550370
1435090555,555947,555947
1435176940,557754,557754
1435263391,557946,557946
1435350338,556493,556493
1435437391,553061,553061
1435524338,545805,545805
1435611340,550112,550112
1435698063,554752,554752
1435785049,556157,556157
1435871809,567305,567305
1435958749,590196,590196
1436045798,619880,619880
1436132747,619406,619406
1436220054,624222,624222
1436306792,606880,606880
1436393186,571399,571399
1436479569,571621,571621
1436566801,547113,547113
1436653597,539687,539687
1436740590,540183,540183
1436827095,543755,543755
1436914002,549480,549480
1437000654,552856,552856
1437087094,553608,553608
1437173485,520592,520592
1437259898,530223,530223
1437346299,532970,532970
1437432676,560286,560286
1437519080,570129,570129
1437660682,596347,596347
1437747097,614479,614479
1437833813,616082,616082
1437920411,620501,620501
1438007234,623205,623205
1438094185,630378,630378
1438180865,633768,633768
1438267265,637469,637469
1438353672,670509,670509
1438440364,691797,691797
1438527100,686358,686358
1438613461,646146,646146
1438699898,656920,656920
1438786286,679003,679003
1438948609,670107,670107
1439037386,665573,665573
1439132824,667983,667983
1439132824,667983,667983
1439132824,667983,667983
1439132824,667983,667983
1439219205,677250,677250
1439219205,677250,677250
1439305624,680995,680995
1439392039,676789,676789
1439478984,669324,669324
1439565992,656305,656305
1439565992,656305,656305
1439653902,641093,641093
1439740289,626227,626227
1439826727,599055,599055
1439913107,628789,628789
1439999491,618512,618512
1440086765,651292,651292
1440086765,651292,651292
1440173766,653161,653161
1440260752,636739,636739
1440347758,615338,615338
1440435395,617972,617972
1440522396,622410,622410
1440609406,628180,628180
1440609406,628180,628180
1440696448,654066,654066
1440783367,664707,664707
1440870900,665394,665394
1440957967,639217,639217
1441045562,621992,621992
1441132569,628037,628037
1441220782,625725,625725
1441307769,606842,606842
1441394763,582388,582388
1441493153,582237,582237
1441580810,579309,579309
1441623665,587899,587899
1441843562,597408,597408
1441930578,598479,598479
1442017584,601622,601622
1442104592,604884,604884
1442191910,604384,604384
1442279191,610087,610087
1442366243,660195,660195
1442453219,670014,670014
1442540220,669139,669139
1442627535,636033,636033
1442714863,1,1
1442801815,608921,608921
1442888783,613374,613374
1442975756,612297,612297
1443063293,601702,601702
1443150385,593703,593703
1443237613,579196,579196
1443325016,527542,527542
1443412272,511805,511805
1443499255,508915,508915
1443586557,502092,502092
1443673553,489640,489640
1443760562,474853,474853
1443848443,468346,468346
1443935743,463359,463359
1444022739,460748,460748
1444109854,458725,458725
1444197342,455821,455821
1444284635,451052,451052
1444371934,450564,450564
1444458934,441295,441295
1444545938,428947,428947
1444633235,421916,421916
1444720543,447897,447897
1444807539,440325,440325
1444894546,427379,427379
1444982130,365119,365119
1445069173,354323,354323
1445156431,345882,345882
1445244632,340994,340994
1445331627,340839,340839
1445418928,371205,371205
1445505925,366630,366630
1445592930,368479,368479
1445679944,377741,377741
1445767229,378500,378500
1445854528,386832,386832
1445941528,399232,399232
1446028529,402788,402788
1446115526,413361,413361
1446202841,412650,412650
1446290413,396475,396475
1446377832,399713,399713
1446465216,400976,400976
1446552242,398763,398763
1446639509,391349,391349
1446726996,380748,380748
1446814291,386377,386377
1446901349,376454,376454
1446988180,358699,358699
1447075623,354577,354577
1447162627,353860,353860
1447293577,332113,332113
1447380465,319684,319684
1447467438,357234,357234
1447554463,351105,351105
1447641773,341321,341321
1447729114,351371,351371
1447859579,348574,348574
