DateTime,AddedIPs,RemovedIPs
1435065423,1,0
1435238222,1,0
1437052622,109,0
1437139022,78,0
1437225422,22,0
1437311822,125,1
1437398222,104,0
1437484622,34,0
1437571023,67,1
1437657425,36,0
1437743823,1,0
1437830225,4,0
1437916623,2,0
1438003023,1,0
1438175822,2,1
1438262223,0,16
1438521425,1,0
1438780622,3,0
1438953423,1,5
1439299023,2,0
1439385427,1,0
1439558226,0,6
1439644623,0,16
1439731022,0,47
1439817423,0,26
1439903823,0,66
1439990222,0,160
1440076623,0,56
1440163023,0,82
1440249422,0,85
1440335822,0,2
1440595023,0,1
1440681422,0,1
1441027023,0,1
1441199823,0,2
1441286222,0,1
1441372622,0,3
1441459022,0,1
1441545422,0,1
1441631822,0,1
1441718225,0,2
1441804623,68,2
1441891024,53,1
1441977423,64,26
1442063827,38,0
1442150223,32,0
1442236623,23,0
1442323023,20,2
1442409422,44,1
1442495823,48,3
1442582223,52,1
1442668623,37,0
1442755023,8,0
1442841423,4,0
1442927823,6,0
1443014223,2,0
1443100623,8,0
1443187023,5,0
1443273423,3,1
1443359823,1,0
1443446223,4,0
1443532623,3,0
1443619024,3,0
1443705423,4,0
1443791823,2,0
1443878224,6,0
1443964623,1,0
1444051024,2,0
1444396624,0,12
1444483024,0,29
1444569423,0,43
1444655824,0,47
1444742223,0,41
1444828628,0,33
1444915026,0,17
1445001425,0,35
1445087824,0,45
1445174223,0,68
1445260624,0,55
1445347023,0,4
1445433423,32,3
1445519823,1,5
1445606224,0,4
1445692624,0,2
1445779024,0,5
1445865423,0,2
1445951823,0,2
1446038224,0,5
1446124624,0,7
1446211023,0,4
1446297424,0,8
1446387424,0,6
1446473823,0,7
1446560223,0,8
1446646624,0,37
1446905824,0,6
1446992224,18,2
1447078623,22,1
1447165023,29,0
1447251424,33,1
1447337824,43,0
1447424224,36,0
1447510624,31,0
1447597024,22,0
1447683423,26,0
1447769823,42,0
1447856224,38,0
