DateTime,AddedIPs,RemovedIPs
1438799423,131,118
1438947023,199,327
1439033423,144,171
1439119823,129,141
1439206222,162,168
1439292621,195,161
1439379023,119,120
1439465433,173,174
1439551836,175,145
1439638229,151,117
1439724636,157,167
1439811023,135,74
1439897425,162,140
1439983875,3585,143
1440070228,200,173
1440158429,215,178
1440244823,211,119
1440331223,162,161
1440417694,189,167
1440504022,1853,146
1440590454,3509,186
1440676830,3367,144
1440763228,3600,166
1440849629,2493,2685
1440936099,3299,189
1441022424,3175,189
1441108824,188,201
1441195253,2326,163
1441281639,4077,195
1441368024,2002,1301
1441454424,189,2590
1441540825,184,2629
1441627226,196,3178
1441713630,673,2406
1441800027,209,3330
1441886423,196,3714
1441972824,198,174
1442059224,169,3222
1442145624,185,5379
1442232029,211,2556
1442318424,200,183
1442404829,136,200
1442491230,159,194
1442577624,151,956
1442664024,187,212
1442750433,157,186
1442836825,178,203
1442923226,187,164
1443009624,254,153
1443096024,165,206
1443182425,176,193
1443268824,198,135
1443355224,195,156
1443441626,188,201
1443528027,146,188
1443614427,209,160
1443700826,150,189
1443787225,167,204
1443873624,276,216
1443960028,133,166
1444046424,150,173
1444132826,147,190
1444219227,188,176
1444305625,175,184
1444392024,191,156
1444478426,382,208
1444564825,198,169
1444651227,160,157
1444737626,234,274
1444824028,200,135
1444910425,209,166
1444996830,215,153
1445083240,189,152
1445169624,170,168
1445256031,151,190
1445342425,206,412
1445428823,450,207
1445536824,294,202
1445623226,129,225
1445709624,289,189
1445796035,166,192
1445882442,221,186
1445968836,212,166
1446057024,202,185
1446143424,189,168
1446229839,147,198
1446316225,167,475
1446402628,135,264
1446489023,165,127
1446575425,158,306
1446708627,292,320
1446795025,207,190
1446881430,174,214
1446967828,135,181
1447054224,170,165
1447140630,165,152
1447227024,180,134
1447313424,155,167
1447399827,176,161
1447486225,167,167
1447572624,169,209
1447659025,127,216
1447745424,144,169
1447831824,126,131
