DateTime,Entries,UniqueIPs
1447209001,18309,18309
1447209902,18277,18277
1447210801,18242,18242
1447211701,18289,18289
1447212602,18231,18231
1447213501,18182,18182
1447214402,18279,18279
1447215301,18285,18285
1447216202,18297,18297
1447217101,18340,18340
1447218002,18366,18366
1447218902,18364,18364
1447219802,18504,18504
1447220702,18521,18521
1447221602,18454,18454
1447222502,18498,18498
1447223401,18471,18471
1447224302,18404,18404
1447225202,18344,18344
1447226102,18349,18349
1447227002,18557,18557
1447227902,18669,18669
1447228801,18744,18744
1447229702,18862,18862
1447230602,19291,19291
1447231501,19393,19393
1447232402,19512,19512
1447233301,19632,19632
1447234202,19750,19750
1447235102,20044,20044
1447236002,20450,20450
1447236902,20606,20606
1447237802,20751,20751
1447238702,21059,21059
1447239602,21035,21035
1447240502,21145,21145
1447241402,21520,21520
1447242302,21769,21769
1447243201,21756,21756
1447244102,21925,21925
1447245002,22067,22067
1447245902,22218,22218
1447246801,22184,22184
1447248603,22612,22612
1447249502,22722,22722
1447250402,22756,22756
1447251302,23162,23162
1447252202,23603,23603
1447253102,24079,24079
1447254002,24306,24306
1447254903,24440,24440
1447255802,24605,24605
1447256702,24830,24830
1447257602,25091,25091
1447258503,25213,25213
1447259403,25372,25372
1447260302,25523,25523
1447261202,25514,25514
1447262102,25495,25495
1447263002,25594,25594
1447263902,25667,25667
1447264802,25779,25779
1447265702,25836,25836
1447266603,25929,25929
1447267502,26074,26074
1447268403,26113,26113
1447269302,26123,26123
1447270202,26105,26105
1447271102,25926,25926
1447272002,25901,25901
1447272902,25951,25951
1447273802,25899,25899
1447274702,25576,25576
1447275602,25421,25421
1447276502,25239,25239
1447277402,25181,25181
1447278302,25100,25100
1447279201,24837,24837
1447280102,24526,24526
1447281002,24478,24478
1447281902,24321,24321
1447282802,24071,24071
1447283702,23950,23950
1447284602,23836,23836
1447285502,23562,23562
1447286402,23303,23303
1447287302,23135,23135
1447288202,22983,22983
1447289102,22932,22932
1447290002,22829,22829
1447290902,22833,22833
