DateTime,AddedIPs,RemovedIPs
1435442706,5,0
1435529106,6,0
1435615506,3,0
1435701924,4134,0
1435788325,6,0
1435874726,4,0
1435961123,5,0
1436047527,4,0
1436133927,6,0
1436306704,1,4147
1436393102,3,6
1436479504,5,4
1436565903,11,7
1436652304,9,5
1436738703,3,7
1436825103,7,2
1436911504,5,0
1436997905,12,3
1437170704,12,16
1437257104,5,9
1437429906,13,10
1437516305,9,5
1437602703,9,11
1437689105,16,4
1437775506,9,7
1437861904,18,6
1437948304,12,5
1438034704,12,6
1438121103,15,13
1438207503,20,10
1438293918,25,16
1438380313,4284,0
1438466713,20,0
1438553115,15,0
1444341903,4,4431
1444428305,9,0
1444514703,13,0
1444601104,13,0
1444687504,24,0
1444773903,10,0
1444860303,6,0
1444946705,7,6
1445033104,8,9
1445119502,6,9
1445205904,11,9
1445292303,5,26
1445378703,14,11
1445465106,3,7
1445551503,8,7
1445637906,19,7
1445724304,10,7
1445814303,12,10
1445900703,8,6
1445987104,15,13
1446073506,21,3
1446159903,11,10
1446246304,14,16
1446332710,4606,0
1446419114,9,0
1446505514,9,0
1446591912,10,0
1446678316,12,0
1446764712,8,0
1446851103,9,4675
1446937504,5,0
1447023904,8,26
1447110305,9,11
1447196704,8,10
1447283103,6,14
1447369504,8,9
1447455903,8,11
1447542304,13,4
1447628703,16,10
1447715103,9,9
1447801504,10,6
1447887905,4,9
