DateTime,AddedIPs,RemovedIPs
1439685122,12,20
1439699522,10,14
1439713922,9,18
1439728322,12,7
1439742722,7,21
1439757122,7,11
1439771522,8,15
1439785922,16,19
1439800322,8,11
1439814722,10,14
1439829122,19,20
1439843522,5,13
1439857922,25,12
1439872322,23,16
1439886722,6,18
1439901122,10,16
1439915522,16,17
1439929922,10,12
1439944322,15,14
1439958722,9,12
1439973122,10,17
1439987522,13,15
1440001922,20,19
1440016322,6,17
1440030722,13,16
1440045122,13,17
1440059522,3,19
1440073922,9,18
1440088322,9,14
1440102722,10,13
1440117122,9,12
1440131522,10,18
1440145922,5,16
1440160322,5,12
1440174722,12,23
1440189122,3,12
1440203522,11,15
1440217922,15,11
1440232322,8,16
1440246722,6,13
1440261122,18,15
1440275522,6,13
1440289922,18,15
1440304322,16,25
1440318722,5,23
1440333122,8,19
1440347522,13,18
1440361922,9,12
1440376922,15,9
1440391322,12,9
1440405722,7,7
1440420122,10,12
1440434522,11,8
1440448922,11,6
1440463322,11,15
1440477722,9,9
1440492122,14,4
1440506522,13,9
1440520922,13,12
1440535322,5,9
1440549722,15,6
1440564122,30,11
1440578522,13,5
1440592922,19,8
1440607322,21,16
1440621722,26,10
1440636122,17,4
1440650522,21,7
1440664922,25,10
1440679322,11,13
1440693722,5,11
1440708122,12,6
1440722522,5,13
1440736922,13,9
1440751322,5,10
1440765722,10,4
1440780122,8,6
1440794522,4,10
1440808922,5,7
1440823322,5,4
1440837722,4,14
1440852122,6,8
1440866522,7,9
1440880922,7,5
1440895322,13,7
1440909722,12,7
1440924122,16,10
1440938522,5,6
1440952922,12,13
1440967322,10,6
1440996122,10,20
1441010522,10,6
1441024922,6,9
1441040822,13,10
1441055222,9,10
1441069622,7,6
1441084022,7,5
1441098422,14,2
1441112822,5,3
1441127222,5,9
1441141622,4,7
1441156022,6,7
1441170422,10,5
1441184822,4,10
1441199222,5,2
1441213622,5,7
1441228022,5,7
1441242422,10,109
1441256822,3,6
1441271222,5,6
1441285622,11,13
1441300022,9,12
1441314422,4,10
1441328822,23,17
1441343222,8,13
1441357622,5,15
1441372022,10,13
1441386422,5,14
1441400822,13,13
1441417022,12,20
1441431722,8,19
1441446122,3,7
1441460522,17,7
1441474922,3,15
1441489322,0,23
1441503722,0,19
1441518122,2,13
1441532522,17,7
1441546922,18,13
1441561322,8,9
1441575722,16,9
1441590122,40,4
1441604522,12,8
1441618922,15,7
1441633322,60,9
1441647722,56,4
1441662122,15,10
1441676522,9,6
1441690922,11,6
1441705322,8,9
1441719722,7,14
1441734122,8,5
1441748522,12,14
1441762922,12,5
1441777322,12,6
1441791722,14,5
1441806122,4,8
1441876028,78,44
1441891032,32,10
1441905733,110,5
1441920131,21,6
1441934531,12,4
1441948931,9,10
1441963032,8,4
1441977732,13,10
1441992130,9,7
1442006531,14,7
1442020932,9,8
1442035631,9,6
1442050373,11,11
1442064730,15,3
1442079131,13,6
1442093532,12,7
1442107957,11,13
1442122332,9,6
1442136736,11,12
1442151178,10,5
1442165582,15,6
1442179934,9,9
1442194355,8,14
1442208692,13,8
1442223126,12,10
1442237526,10,6
1442251942,14,7
1442266326,16,14
1442280750,15,28
1442295134,10,5
1442309526,19,15
1442323925,11,5
1442338347,12,11
1442352725,23,6
1442367146,23,7
1442381539,15,10
1442395926,10,8
1442410325,31,6
1442424742,8,9
1442439125,12,9
1442453542,12,10
1442467934,6,9
1442482326,13,8
1442496725,12,10
1442511161,14,14
1442525526,13,5
1442539947,11,11
1442554361,4,8
1442568725,6,11
1442583125,9,8
1442597552,8,14
1442611925,5,8
1442626343,6,11
1442640738,3,4
1442655126,12,4
1442669526,11,6
1442683970,4,5
1442698325,6,10
1442712741,6,8
1442727144,9,5
1442741526,13,4
1442755925,6,5
1442770349,9,5
1442784725,8,6
1442799141,10,2
1442813547,7,10
1442827925,10,21
1442842325,17,31
1442856759,10,15
1442871125,10,12
1442885546,4,8
1442899954,9,16
1442914325,20,12
1442928725,12,5
1442943156,10,5
1442957525,14,5
1442971942,13,9
1442986352,15,6
1443000725,9,5
1443015125,16,10
1443029554,5,11
1443043926,13,5
1443058338,9,12
1443072750,11,13
1443087125,11,7
1443101526,12,10
1443115965,8,8
1443130625,15,9
1443145325,22,9
1443159763,4,9
1443174126,10,7
1443188525,12,10
1443202925,9,2
1443217325,11,6
1443231726,10,3
1443246126,11,5
1443260525,11,8
1443274925,14,13
1443289325,14,6
1443303725,5,4
1443318125,6,2
1443332525,7,7
1443346925,6,13
1443361325,8,12
1443375725,13,9
1443390125,12,4
1443404525,11,10
1443418925,11,8
1443433325,7,7
1443447725,4,10
1443462125,9,6
1443476525,4,5
1443490925,19,8
1443519725,0,23
1443534125,39,23
1443548525,5,13
1443562925,10,8
1443577325,6,15
1443591725,7,10
1443606125,8,7
1443620525,10,7
1443634925,7,16
1443649325,6,14
1443663725,8,16
1443678125,9,6
1443692525,10,6
1443706925,7,34
1443721326,13,7
1443735725,10,6
1443750125,6,7
1443764560,2,13
1443778925,9,6
1443793325,9,6
1443807725,6,20
1443822125,7,29
1443836525,2,28
1443850926,5,8
1443865326,7,8
1443879725,7,12
1443894126,8,12
1443908525,7,9
1443922925,5,8
1443937332,7,13
1443951725,8,8
1443966125,5,11
1443980525,7,9
1443994925,13,9
1444009325,8,7
1444023725,10,11
1444038125,6,10
1444052525,13,6
1444066925,9,7
1444081325,8,4
1444095725,4,13
1444110126,9,11
1444124525,11,4
1444138925,10,7
1444153325,9,14
1444167726,10,13
1444182125,10,15
1444383725,26,169
1444398125,104,7
1444412558,7,21
1444426925,7,21
1444441325,9,9
1444455732,8,9
1444470125,7,10
1444484525,12,12
1444498931,11,24
1444513325,4,21
1444527725,8,21
1444542128,8,26
1444556525,6,16
1444570925,2,8
1444585334,5,19
1444599725,12,12
1444614125,8,10
