DateTime,AddedIPs,RemovedIPs
1439613124,12,0
1439627524,12,0
1439641924,10,0
1439656324,14,0
1439670724,15,0
1439685124,12,0
1439699524,10,0
1439713924,9,0
1439728324,12,0
1439742724,7,0
1439757124,7,0
1439771524,8,0
1439785924,16,0
1439800324,8,0
1439814724,10,0
1439829124,19,0
1439843524,5,0
1439857924,25,0
1439872324,23,0
1439886724,6,0
1439901124,10,0
1439915524,16,0
1439929924,10,0
1439944324,15,0
1439958724,9,0
1439973124,10,0
1439987524,13,0
1440001924,20,0
1440016324,6,0
1440030724,12,0
1440045124,13,0
1440059524,3,0
1440073924,8,0
1440088324,9,0
1440102724,10,0
1440117124,9,0
1440131524,10,0
1440145924,5,0
1440160324,5,0
1440174724,12,0
1440189124,3,0
1440203524,11,0
1440217924,14,0
1440232324,8,0
1440246724,6,0
1440261124,18,0
1440275524,5,0
1440289924,18,0
1440304324,16,0
1440318724,4,0
1440333124,8,0
1440347524,13,0
1440361924,9,0
1440376924,15,0
1440391324,12,0
1440405724,7,0
1440420124,10,0
1440434524,11,0
1440448924,11,0
1440463324,11,0
1440477724,9,0
1440492124,14,0
1440506524,13,0
1440520924,13,0
1440535324,5,0
1440549724,15,0
1440564124,30,0
1440578524,13,0
1440592924,19,0
1440607325,21,1
1440621724,26,1
1440636124,17,0
1440650524,21,0
1440664924,24,1
1440679324,11,0
1440693724,5,0
1440708124,12,0
1440722524,5,0
1440736924,13,0
1440751324,5,0
1440765724,10,0
1440780124,8,0
1440794524,4,0
1440808924,5,0
1440823325,5,0
1440837725,4,0
1440852124,6,0
1440866524,6,0
1440880924,7,0
1440895324,13,0
1440909724,12,0
1440924125,15,0
1440938524,5,0
1440952924,12,0
1440967324,10,0
1440996124,10,0
1441010525,10,0
1441024924,6,0
1441040824,13,0
1441055224,9,0
1441069624,7,0
1441084024,7,0
1441098424,14,0
1441112824,5,0
1441127224,5,0
1441141625,4,0
1441156024,6,0
1441170424,10,0
1441184824,4,0
1441199224,5,0
1441213624,5,0
1441228024,5,0
1441242424,10,0
1441256824,3,0
1441271225,5,0
1441285624,11,0
1441300024,9,0
1441314424,4,0
1441328824,23,0
1441343225,8,0
1441357624,5,0
1441372024,10,0
1441386424,5,0
1441400824,13,0
1441417024,12,0
1441431724,8,0
1441446124,3,0
1441460524,17,0
1441474924,3,0
1441518124,2,0
1441532524,17,0
1441546924,18,0
1441561324,8,0
1441575724,16,0
1441590124,40,0
1441604524,12,0
1441618924,15,0
1441633324,60,0
1441647724,56,0
1441662124,15,0
1441676524,9,0
1441690924,11,0
1441705324,8,0
1441719724,7,1
1441734124,8,0
1441748524,12,0
1441762924,11,0
1441777324,12,0
1441791724,14,0
1441806124,4,0
1441876041,77,0
1441891046,32,0
1441905744,109,0
1441920143,21,0
1441934543,12,0
1441948943,9,0
1441963352,8,0
1441977743,13,0
1441992143,9,0
1442006545,13,0
1442020945,9,0
1442035386,9,0
1442049747,11,0
1442064147,13,0
1442078542,15,0
1442092944,12,0
1442107365,10,0
1442121748,9,0
1442136147,11,0
1442151189,10,0
1442165592,15,0
1442179946,9,0
1442194367,8,0
1442208703,13,0
1442223131,12,0
1442237531,10,0
1442251951,14,0
1442266331,16,0
1442280769,15,0
1442295143,10,0
1442309531,19,0
1442323929,11,0
1442338353,12,0
1442352729,23,0
1442367159,23,0
1442381547,15,0
1442395931,10,0
1442410330,31,0
1442424749,8,0
1442439129,12,0
1442453550,12,0
1442467944,6,0
1442482330,13,0
1442496729,12,0
1442511183,14,0
1442525531,13,0
1442539958,11,0
1442554384,4,0
1442568729,6,0
1442583130,9,0
1442597561,8,0
1442611929,5,0
1442626355,6,0
1442640746,3,0
1442655131,12,0
1442669530,11,0
1442683995,4,0
1442698330,6,0
1442712757,6,0
1442727154,9,0
1442741530,13,0
1442755929,6,0
1442770358,9,0
1442784730,8,0
1442799149,10,0
1442813557,7,0
1442827930,10,0
1442842329,17,0
1442856780,10,0
1442871129,10,0
1442885555,4,0
1442899969,9,0
1442914329,20,0
1442928729,12,0
1442943180,10,0
1442957530,14,0
1442971953,12,0
1442986368,15,0
1443000729,9,0
1443015129,16,0
1443029578,5,0
1443043930,13,0
1443058346,9,0
1443072773,11,0
1443087129,11,0
1443101530,12,0
1443115984,8,0
1443130630,15,0
1443145329,22,0
1443159797,4,0
1443174729,10,0
1443189429,12,0
1443203829,10,0
1443218230,11,0
1443232630,9,0
1443247029,11,0
1443261430,10,0
1443275829,14,0
1443290229,15,0
1443304629,4,0
1443319030,6,0
1443333429,7,0
1443347829,6,0
1443362229,8,0
1443376629,13,0
1443391029,11,0
1443405430,13,0
1443419829,9,0
1443434229,7,0
1443448630,4,0
1443463030,11,0
1443480129,6,0
1443519730,15,0
1443534129,38,0
1443548530,5,0
1443562930,10,0
1443577329,6,0
1443591729,7,0
1443606129,8,0
1443620529,10,0
1443634929,7,0
1443649329,6,0
1443663729,8,0
1443678130,9,0
1443692530,10,0
1443706929,7,0
1443721330,13,0
1443735729,10,0
1443750129,6,0
1443764584,2,0
1443778929,8,0
1443793329,9,0
1443807730,6,0
1443822129,7,0
1443836529,2,0
1443850930,5,0
1443865330,7,0
1443879730,7,0
1443894130,8,0
1443908529,7,0
1443922930,5,0
1443937341,7,0
1443951729,8,0
1443966129,5,0
1443980530,7,0
1443994930,13,0
1444009329,8,0
1444023729,10,0
1444038129,6,0
1444052529,12,0
1444066930,9,0
1444081329,7,0
1444095730,4,0
1444110130,9,0
1444124529,11,0
1444146129,17,0
1444160529,8,0
1444174929,9,0
1444376534,25,0
1444390929,101,0
1444405329,8,0
1444419729,13,0
1444434129,5,0
1444448529,9,0
1444462929,7,0
1444477329,12,0
1444491729,11,0
1444506130,7,0
1444520530,5,0
1444534929,10,0
1444549329,4,0
1444563729,5,0
1444578129,4,0
1444592529,6,0
1444606929,12,0
1444621331,5,0
1444635729,8,0
1444650130,10,0
1444664529,6,0
1444678929,5,0
1444693330,5,0
1444707730,10,0
1444722130,7,0
1444736530,14,0
1444750929,21,0
1444765330,11,0
1444779729,3,0
1444794130,3,0
1444808529,5,0
1444822929,7,0
1444837330,9,0
1444851730,6,0
1444866129,10,0
1444880529,8,0
1444894929,5,0
1444909329,8,1
1444923729,6,0
1444938129,7,0
1444952529,6,0
1444966929,16,0
1444981330,6,0
1444995730,13,0
1445010130,15,0
1445024529,19,0
1445038929,12,0
1445053330,6,0
1445067730,4,0
1445082130,5,0
1445096532,12,0
1445110931,15,0
1445125330,8,0
1445139730,10,0
1445154129,6,0
1445168529,5,0
1445182930,5,0
1445197330,14,0
1445211729,15,1
1445226130,6,0
1445245030,7,0
1445259429,12,0
1445273830,9,0
1445288230,9,0
1445302630,8,0
1445317030,18,0
1445331429,6,0
1445345829,9,0
1445360230,9,0
1445374629,12,0
1445389030,7,0
1445403430,12,0
1445417830,19,0
1445432230,14,0
1445446630,6,0
1445461031,8,0
1445475431,7,0
1445489829,5,1
1445504231,13,0
1445537232,17,1
1445551631,11,0
1445595431,27,0
1445610430,12,0
1445625130,19,0
1445639530,8,0
1445653930,5,0
1445668331,6,0
1445682730,8,0
1445697130,10,0
1445711530,9,0
1445725930,10,0
1445740330,13,0
1445754729,9,0
1445769129,15,0
1445783529,22,0
1445798230,6,0
1445812929,13,0
1445827329,6,0
1445841729,7,0
1445856129,10,0
1445870529,12,1
1445884930,13,0
1445899329,10,0
1445913729,7,0
1445928129,10,0
1445942529,6,0
1445956930,18,0
1445971349,4,0
1445985728,8,0
1446000129,10,0
1446014530,11,0
1446028929,6,0
1446043329,6,0
1446057730,8,0
1446072129,12,0
1446086529,4,0
1446100930,14,0
1446115329,9,0
1446129729,10,0
1446144131,14,0
1446158529,8,0
1446172929,11,0
1446187335,14,0
1446201729,13,0
1446216135,15,0
1446230535,11,0
1446250029,12,0
1446265030,10,0
1446279430,13,0
1446294129,6,0
1446308529,8,0
1446322929,7,0
1446337929,5,0
1446352329,10,0
1446366730,8,0
1446381129,12,0
1446395529,9,0
1446409929,9,0
1446425830,11,0
1446761230,269,1
1446775629,18,0
1446790029,7,0
1446804429,11,0
1446818829,6,0
1446833538,14,0
1446848230,7,0
1446862929,12,0
1446877629,9,0
1446892329,14,0
1446906730,9,0
1446921131,12,0
1446935529,9,0
1446949930,5,0
1446964330,2,0
1446978729,8,0
1446993129,9,0
1447008130,5,0
1447022529,4,0
1447036930,9,0
1447051329,7,0
1447065729,8,0
1447087929,17,0
1447102629,7,0
1447117029,7,0
1447131429,7,0
1447145829,14,0
1447160230,6,1
1447174629,5,0
1447189029,12,0
1447203429,11,0
1447217829,11,0
1447232229,14,0
1447246629,11,0
1447261029,11,0
1447275429,5,0
1447289829,5,0
1447304229,6,0
1447318629,9,0
1447333029,3,0
1447347429,4,0
1447362430,12,0
1447377430,7,0
1447392129,12,0
1447406529,9,0
1447420929,2,0
1447435329,11,0
1447449729,12,0
1447464130,10,0
1447777342,162,0
1447791731,5,0
1447806131,18,0
1447820532,3,0
