DateTime,AddedIPs,RemovedIPs
1446689109,34,45
1446703509,57,46
1446717911,58,42
1446732311,46,35
1446746708,39,34
1446761109,49,32
1446775508,45,32
1446789910,58,41
1446804309,57,44
1446818710,46,40
1446833108,54,32
1446847509,40,51
1446861908,35,56
1446876308,51,54
1446890712,49,33
1446905111,43,52
1446919508,38,43
1446933909,56,57
1446948309,44,52
1446962708,54,49
1446977109,66,47
1446991508,53,48
1447005909,61,41
1447020308,50,52
1447034709,48,57
1447049109,56,38
1447063510,49,42
1447077909,61,49
1447092312,44,45
1447106712,50,51
1447121109,49,59
1447135509,43,50
1447149910,46,58
1447164309,50,89
1447178709,54,45
1447193109,50,55
1447207508,28,52
1447221908,38,61
1447236311,37,37
1447250711,50,46
1447265108,49,43
1447279508,42,48
1447293909,32,46
1447308307,39,50
1447322709,45,56
1447337108,55,40
1447351508,50,36
1447365909,41,38
1447380308,63,40
1447394709,23,49
1447409116,39,43
1447423511,53,37
1447437909,45,37
1447452309,51,49
1447466708,45,45
1447481109,45,63
1447495511,63,49
1447509909,73,42
1447524308,60,65
1447538709,37,26
1447553108,49,36
1447567508,44,55
1447581914,60,42
1447596311,51,53
1447610708,50,42
1447625108,66,41
1447639509,38,53
1447653908,53,57
1447668310,53,66
1447682709,31,36
1447697109,53,51
1447711509,60,51
1447725908,52,57
1447740308,42,52
1447754712,55,54
1447769110,37,56
1447783508,50,39
1447797909,48,54
1447812308,46,49
