DateTime,AddedIPs,RemovedIPs
1440633757,37,29
1440648172,41,54
1440662575,36,51
1440677060,36,38
1440691368,48,35
1440705802,48,40
1440720183,45,24
1440734691,40,48
1440748977,52,33
1440763450,41,38
1440777769,43,31
1440792183,31,29
1440806568,39,41
1440820978,45,38
1440835352,27,42
1440849861,36,47
1440864171,31,52
1440878556,27,50
1440892963,37,41
1440907366,32,51
1440921763,48,42
1440936261,40,42
1440950566,28,27
1440964980,31,41
1440979372,23,40
1440993771,36,28
1441008164,42,30
1441022653,44,43
1441036967,43,25
1441051334,17,39
1441065785,25,34
1441080189,32,48
1441094584,48,41
1441109247,37,24
1441123547,36,32
1441137739,29,29
1441152145,30,46
1441166561,41,55
1441181045,30,34
1441195448,29,42
1441209789,32,17
1441224165,33,28
1441238573,42,39
1441252946,40,45
1441267367,55,29
1441281859,41,28
1441296188,31,28
1441310581,44,27
1441324968,38,42
1441339377,39,67
1441353776,45,30
1441368285,48,32
1441382588,38,30
1441396965,37,36
1441411372,26,50
1441425776,42,51
1441440180,53,38
1441454660,51,33
1441468983,37,32
1441483375,43,40
1441497775,36,54
1441512177,47,46
1441526576,39,37
1441541111,43,30
1441555392,39,28
1441569776,85,26
1441584185,40,55
1441598572,49,53
1441612973,45,50
1441627485,46,39
1441641779,49,41
1441656191,44,45
1441670593,36,44
1441684988,53,44
1441699369,45,50
1441713877,41,42
1441728181,36,48
1441742583,39,44
1441756951,24,51
1441771399,65,40
1441785778,44,50
1441800338,56,49
1441814634,50,40
1441829153,47,40
1441843652,44,56
1441857762,39,49
1441872161,51,35
1441886705,48,38
1441900972,41,38
1441915369,40,33
1441929738,44,57
1441944161,52,44
1441958574,57,48
1441973185,39,62
1441987527,66,43
1442001799,52,38
1442016180,37,44
1442030585,44,52
1442044982,52,49
1442059536,51,37
1442073789,47,41
1442088186,29,42
1442102572,49,54
1442116976,33,46
1442131372,47,53
1442145889,42,48
1442160196,57,56
1442174566,62,41
1442188978,55,44
1442203372,39,49
1442217766,45,51
1442232281,37,42
1442246589,40,29
1442260982,43,55
1442275371,52,47
1442289783,36,46
1442304179,47,44
1442318595,47,49
1442332978,36,56
1442347363,35,47
1442361946,42,44
1442376150,51,52
1442390551,40,43
1442404956,52,35
1442419353,48,42
1442433739,49,40
1442448134,50,38
1442462580,45,48
1442476936,48,44
1442491336,47,47
1442505736,41,45
1442520134,48,31
1442534536,44,50
1442548935,51,41
1442563337,40,47
1442577739,29,35
1442592136,30,40
1442606536,37,42
1442620938,40,43
1442635339,56,34
1442649735,36,53
1442664138,39,40
1442678538,46,51
1442692936,49,70
1442707337,36,60
1442721738,47,33
1442736138,46,31
1442750537,32,36
1442764937,40,37
1442779336,40,44
1442793736,64,55
1442808136,58,35
1442822536,38,42
1442836938,41,42
1442851335,44,39
1442865739,46,39
1442880137,42,53
1442894534,44,42
1442908937,40,33
1442923341,47,36
1442937739,45,38
1442952136,51,47
1442966537,36,53
1442980933,42,42
1442995337,38,39
1443009743,37,37
1443024137,29,51
1443038535,37,39
1443052937,34,54
1443067338,37,42
1443081735,33,42
1443096138,47,51
1443110538,34,69
1443124936,47,33
1443139337,57,39
1443153739,50,39
1443168136,48,38
1443182542,51,35
1443196938,43,33
1443211337,28,34
1443225739,43,35
1443240136,31,34
1443254538,41,47
1443268940,40,31
1443283338,37,55
1443297739,36,45
1443312137,48,51
1443326534,47,51
1443340937,31,41
1443355340,38,32
1443369740,52,23
1443384138,40,49
1443398538,34,40
1443412940,47,38
1443427338,48,36
1443441746,40,40
1443456139,58,41
1443470539,42,51
1443484937,37,39
1443499340,51,34
1443513737,48,42
1443528143,42,44
1443542542,79,42
1443556939,56,35
1443571340,60,41
1443585738,65,56
1443600139,57,40
1443614540,53,54
1443628939,47,33
1443643337,53,36
1443657738,43,50
1443672135,37,57
1443686539,31,62
1443700941,53,61
1443715337,41,56
1443729738,55,55
1443744141,46,73
1443758541,50,54
1443772940,48,49
1443787345,45,47
1443801737,29,54
1443816138,39,47
1443830540,34,36
1443844940,58,37
1443859336,47,46
1443873745,46,54
1443888140,48,49
1443902539,46,47
1443916937,51,50
1443931340,44,80
1443945738,61,32
1443960142,44,33
1443974538,41,36
1443988940,60,45
1444003337,48,51
1444017739,55,40
1444032141,53,53
1444046545,48,43
1444060942,60,53
1444075340,48,45
1444089736,55,45
1444104137,40,39
1444118537,37,41
1444132946,52,54
1444147341,42,75
1444161740,37,63
1444176139,54,58
1444190537,70,44
1444204937,69,55
1444219346,54,44
1444233738,50,49
1444248137,47,45
1444262537,47,36
1444276940,45,40
1444291337,36,57
1444305743,35,38
1444320138,49,37
1444334538,63,37
1444348938,49,63
1444363340,40,56
1444377738,40,47
1444392148,42,48
1444406539,37,51
1444420941,45,45
1444435339,35,45
1444449740,55,39
1444464140,36,42
1444478542,37,50
1444492940,23,62
1444507338,38,47
1444521738,53,45
1444536137,45,44
1444550538,52,50
1444564946,52,42
1444579338,44,41
1444593740,45,58
1444608139,53,45
1444622541,48,39
1444636939,60,38
1444651348,57,22
1444665738,55,35
1444680136,50,38
1444694538,36,41
1444708940,60,47
1444723341,53,44
1444737744,49,45
1444752140,48,41
1444766540,32,52
1444780940,40,57
1444795337,48,51
1444809738,47,63
1444824145,57,54
1444838539,37,36
1444852942,35,43
1444867341,25,52
1444881740,49,50
1444896141,42,49
1444910542,61,49
1444924940,48,37
1444939341,48,47
1444953741,34,62
1444968139,52,55
1444982539,43,59
1444996946,42,57
1445011338,73,42
1445025738,39,35
1445040141,38,54
1445054541,53,47
1445068940,49,49
1445083349,29,38
1445097740,61,43
1445112142,56,35
1445126540,62,52
1445140939,50,42
1445155339,42,42
1445169748,48,55
1445184140,55,37
1445198540,45,46
1445212941,58,46
1445227341,48,47
1445241740,43,41
1445256145,51,59
1445270541,59,41
1445284939,50,66
1445299341,44,41
1445313742,32,45
1445328142,44,52
1445342547,46,41
1445356943,30,41
1445367743,36,48
1445382139,55,44
1445396544,38,43
1445410943,48,49
1445425350,31,49
1445439741,49,46
1445454138,45,41
1445468539,49,36
1445482940,55,44
1445497339,40,47
1445536985,116,115
1445551342,44,48
1445565745,46,50
1445580142,41,36
1445594575,42,51
1445608949,38,38
1445623352,55,54
1445637744,51,52
1445652144,43,44
1445666542,31,45
1445680976,42,38
1445695350,45,41
1445709742,38,47
1445724143,36,45
1445738547,37,35
1445752941,36,40
1445767393,44,37
1445781745,40,50
1445796139,31,58
1445810560,27,30
1445824941,34,32
