DateTime,AddedIPs,RemovedIPs
1446703509,0,8
1446717911,2,0
1446732311,2,0
1446746708,2,0
1446761109,1,0
1446775508,4,0
1446789910,0,5
1446804309,1,0
1446818710,7,0
1446876308,0,9
1446905111,1,0
1446933909,0,0
1447034709,0,0
1447049109,0,1
1447077909,1,0
1447092312,4,0
1447106712,2,0
1447135509,0,9
1447149910,2,0
1447164309,1,0
1447178709,2,0
1447193109,1,0
1447221908,0,5
1447250711,2,0
1447293909,1,0
1447308307,0,6
1447322709,4,0
1447337108,1,0
1447351508,3,0
1447365909,16,0
1447380308,4,0
1447394709,0,5
1447409116,1,0
1447423511,6,0
1447437909,1,0
1447452309,5,0
1447481109,0,13
1447509909,1,0
1447524308,1,0
1447567508,0,1
1447653908,1,0
1447697109,2,0
1447711509,5,0
1447725908,3,0
1447740308,0,8
1447769110,5,0
1447783508,1,0
1447797909,4,0
1447826709,0,6
1447855509,7,0
