DateTime,Entries,UniqueIPs
1446674751,175,175
1446689147,183,183
1446703548,194,194
1446717982,193,193
1446732361,183,183
1446746752,200,200
1446761164,199,199
1446775572,210,210
1446786504,214,214
1446800773,209,209
1446815184,208,208
1446829573,212,212
1446843961,200,200
1446858371,182,182
1446872770,183,183
1446887172,187,187
1446901592,165,165
1446915971,144,144
1446930363,127,127
1446944769,134,134
1446959167,141,141
1446973567,145,145
1446987989,140,140
1447002375,133,133
1447016770,136,136
1447031170,142,142
1447045562,150,150
1447059967,154,154
1447074383,150,150
1447088798,151,151
1447103173,150,150
1447117556,147,147
1447131949,134,134
1447146352,136,136
1447160776,137,137
1447175150,153,153
1447189551,134,134
1447203952,127,127
1447218351,134,134
1447232749,133,133
1447247169,131,131
1447261551,135,135
1447275946,135,135
1447290353,147,147
1447304753,151,151
1447319150,143,143
1447333565,136,136
1447347954,141,141
1447362354,157,157
1447376752,180,180
1447391151,187,187
1447405551,196,196
1447419970,214,214
1447434352,258,258
1447448754,271,271
1447463152,266,266
1447477548,271,271
1447491949,270,270
1447506377,256,256
1447520755,244,244
1447535155,237,237
1447549555,225,225
1447563946,192,192
1447578349,163,163
1447592764,123,123
1447607152,108,108
1447621554,100,100
1447635951,100,100
1447650354,108,108
1447664748,108,108
1447679172,114,114
1447693550,150,150
1447707951,169,169
1447722356,185,185
1447736753,189,189
1447751150,186,186
1447765573,192,192
1447779951,194,194
1447794353,193,193
1447808751,189,189
1447823150,191,191
1447837553,175,175
1447851968,154,154
1447866346,144,144
1447880753,140,140
