DateTime,AddedIPs,RemovedIPs
1444081530,1,1
1444083673,1,0
1444085651,0,1
1444087632,1,0
1444110332,0,1
1444112299,1,0
1444114452,0,1
1444116436,1,0
1444128856,0,2
1444130841,2,1
1444133362,1,0
1444135518,0,1
1444137493,1,0
1444162705,0,1
1444164849,1,0
1444168820,0,1
1444170978,1,0
1444172953,0,1
1444175139,1,0
1444179263,0,1
1444181236,1,0
1444185379,0,1
1444187373,1,1
1444189534,1,0
1444191522,0,1
1444193659,1,0
1444195639,0,2
1444197687,2,0
1444208056,0,1
1444210033,1,1
1444212026,1,0
1444214170,0,1
1444216160,1,0
1444218340,0,1
1444220315,1,0
1444222450,0,1
1444224443,1,1
1444226421,1,0
1444228579,0,1
1444230553,1,2
1444232747,2,0
1444234694,0,1
1444236857,1,0
1444238835,0,1
1444240825,1,0
1444244963,0,1
1444247140,1,0
1444257380,0,1
1444259360,1,0
1444269633,0,1
1444271814,1,0
1444277920,0,1
1444280051,1,0
1444288152,0,1
1444290346,1,0
1444296429,0,1
1444298433,1,1
1444300572,1,0
1444304738,0,1
1444308850,1,1
1444310842,1,0
1444312820,0,1
1444315035,1,1
1444319148,1,0
1444327223,0,1
1444329371,1,0
1444335502,0,1
1444337649,1,0
1444354035,0,1
1444356040,1,0
1444393116,0,2
1444395252,2,1
1444397236,1,0
1444405531,0,2
1444407499,2,0
1444453219,0,1
1444455379,1,0
1444457352,0,1
1444459528,1,0
1444471761,0,1
1444473919,1,0
1444475908,0,2
1444478228,1,0
1444480037,1,1
1444482014,1,0
1444490294,0,1
1444492457,1,0
1444506847,0,1
1444508842,1,0
1444591099,0,1
1444593246,1,0
1444615758,0,1
1444617920,1,0
1444661125,0,1
1444663094,1,0
1444669223,0,1
1444671368,1,0
1444691933,0,1
1444694052,1,0
1444696035,0,1
1444698031,1,0
1444704315,0,1
1444706310,0,1
1444708446,2,0
1444714587,0,2
1444716549,2,0
1444720690,0,1
1444724830,1,0
1444735098,0,1
1444737246,1,0
1444743373,0,2
