DateTime,Entries,UniqueIPs
1444071252,11,11
1444075219,10,10
1444077371,10,10
1444079354,10,10
1444081530,10,10
1444083673,11,11
1444085651,10,10
1444087632,11,11
1444110332,10,10
1444112299,11,11
1444114452,10,10
1444116436,11,11
1444128856,9,9
1444130841,10,10
1444133362,11,11
1444135518,10,10
1444137493,11,11
1444162705,10,10
1444164849,11,11
1444168820,10,10
1444170978,11,11
1444172953,10,10
1444175139,11,11
1444179263,10,10
1444181236,11,11
1444185379,10,10
1444187373,10,10
1444189534,11,11
1444191522,10,10
1444193659,11,11
1444195639,9,9
1444197687,11,11
1444208056,10,10
1444210033,10,10
1444212026,11,11
1444214170,10,10
1444216160,11,11
1444218340,10,10
1444220315,11,11
1444222450,10,10
1444224443,10,10
1444226421,11,11
1444228579,10,10
1444230553,9,9
1444232747,11,11
1444234694,10,10
1444236857,11,11
1444238835,10,10
1444240825,11,11
1444244963,10,10
1444247140,11,11
1444257380,10,10
1444259360,11,11
1444269633,10,10
1444271814,11,11
1444277920,10,10
1444280051,11,11
1444288152,10,10
1444290346,11,11
1444296429,10,10
1444298433,10,10
1444300572,11,11
1444304738,10,10
1444308850,10,10
1444310842,11,11
1444312820,10,10
1444315035,10,10
1444319148,11,11
1444327223,10,10
1444329371,11,11
1444335502,10,10
1444337649,11,11
1444354035,10,10
1444356040,11,11
1444393116,9,9
1444395252,10,10
1444397236,11,11
1444405531,9,9
1444407499,11,11
1444453219,10,10
1444455379,11,11
1444457352,10,10
1444459528,11,11
1444471761,10,10
1444473919,11,11
1444475908,9,9
1444478228,10,10
1444480037,10,10
1444482014,11,11
1444490294,10,10
1444492457,11,11
1444506847,10,10
1444508842,11,11
1444591099,10,10
1444593246,11,11
1444615758,10,10
1444617920,11,11
1444661125,10,10
1444663094,11,11
1444669223,10,10
1444671368,11,11
1444691933,10,10
1444694052,11,11
1444696035,10,10
1444698031,11,11
1444704315,10,10
1444706310,9,9
1444708446,11,11
1444714587,9,9
1444716549,11,11
1444720690,10,10
1444724830,11,11
1444735098,10,10
1444737246,11,11
1444743373,9,9
1444745350,11,11
1444749495,9,9
1444751653,11,11
1444761915,10,10
1444763901,11,11
1444766046,10,10
1444768037,11,11
1444786567,10,10
1444788557,11,11
1444794846,10,10
1444796836,11,11
1444802953,10,10
1444805126,11,11
1444807092,10,10
1444809253,11,11
1444815366,10,10
1444817357,10,10
1444819514,11,11
1444823646,10,10
1444825641,9,9
1444827613,11,11
1444846157,10,10
1444848317,11,11
1444850301,10,10
1444852446,11,11
1444854436,9,9
1444856411,11,11
1444864695,10,10
1444866852,11,11
1444879104,10,10
1444881246,11,11
1444885213,10,10
1444889349,11,11
1444899613,10,10
1444910045,11,11
1444918148,10,10
1444920322,9,9
1444922291,10,10
1444924453,11,11
1444938846,10,10
1444940836,11,11
1444953256,10,10
1444955232,10,10
1444957223,11,11
1444973776,10,10
1444975751,11,11
1444982053,10,10
1444984027,11,11
1444988169,9,9
1444990161,11,11
1444992314,10,10
1444994300,11,11
1445002574,10,10
1445004549,10,10
1445006721,10,10
1445008692,11,11
1445016968,10,10
1445018957,11,11
1445035518,10,10
1445037495,10,10
1445039653,11,11
1445041626,10,10
1445043666,11,11
1445047789,10,10
1445049916,10,10
1445054052,11,11
1445056029,10,10
1445058020,11,11
1445076551,10,10
1445078711,10,10
1445080698,10,10
1445082850,11,11
1445088975,10,10
1445090942,10,10
1445093113,9,9
1445095094,10,10
1445101218,11,11
1445111685,10,10
1445113629,11,11
1445117776,10,10
1445119765,11,11
1445121917,10,10
1445123910,11,11
1445128043,10,10
1445132179,11,11
1445134200,10,10
1445136336,11,11
1445140475,10,10
1445142443,10,10
1445148595,11,11
1445150719,10,10
1445152704,11,11
1445156839,10,10
1445158812,11,11
1445162978,10,10
1445165119,11,11
1445167096,9,9
1445169257,10,10
1445171226,11,11
1445175368,10,10
1445179516,10,10
1445183655,10,10
1445187617,11,11
1445189784,10,10
1445191755,11,11
1445195895,10,10
1445198056,10,10
1445202030,11,11
1445206159,9,9
1445208317,10,10
1445210300,11,11
1445212446,10,10
1445214436,11,11
1445217513,10,10
1445219651,11,11
1445221635,10,10
1445225794,11,11
1445227786,8,8
1445244442,11,11
1445248456,10,10
1445250433,10,10
1445252427,11,11
1445254569,9,9
1445256563,10,10
1445258736,11,11
1445263753,10,10
1445265919,11,11
1445267893,10,10
1445270050,11,11
1445272038,10,10
1445276176,11,11
1445278174,10,10
1445280381,11,11
1445284452,10,10
1445288433,11,11
1445296695,11,11
1445298855,10,10
1445300854,11,11
1445302844,11,11
1445304974,10,10
1445306960,11,11
1445311111,11,11
1445315245,11,11
1445317242,10,10
1445319377,11,11
1445321352,10,10
1445323526,10,10
1445325495,10,10
1445327656,10,10
1445329636,11,11
1445331649,10,10
1445333771,9,9
1445335761,11,11
1445337930,11,11
1445339903,11,11
1445342051,9,9
1445344038,11,11
1445346037,11,11
1445348178,10,10
1445350151,10,10
1445352329,10,10
1445354296,11,11
1445356458,10,10
1445358437,11,11
1445360440,11,11
1445364561,10,10
1445366730,11,11
1445372841,11,11
1445376981,10,10
1445378952,11,11
1445381125,11,11
1445383095,11,11
1445385258,11,11
1445387236,11,11
1445389256,10,10
1445391375,10,10
1445393367,11,11
1445397534,11,11
1445400312,11,11
1445404157,10,10
1445406341,11,11
1445408294,10,10
1445410449,10,10
1445414419,11,11
1445416570,11,11
1445418553,10,10
1445420718,11,11
1445422697,11,11
1445424851,10,10
1445426833,11,11
1445428820,10,10
1445430970,11,11
1445432952,10,10
1445437096,11,11
1445439249,11,11
