DateTime,AddedIPs,RemovedIPs
1437325757,0,45
1437330044,46,0
1437412158,0,46
1437420431,42,0
1437506831,31,38
1437589132,0,35
1437593236,37,0
1437677123,0,37
1437681262,47,0
1437763525,0,47
1437767662,42,0
1437849925,0,42
1437854062,45,0
1437940454,0,45
1437944415,42,0
1438030465,0,42
1438034430,43,0
1438120850,32,35
1438203269,0,40
1438211363,42,0
1438297230,0,42
1438301359,40,0
1438386874,0,40
1438390823,40,0
1438477223,39,35
1438562714,0,44
1438566858,42,0
1438649119,0,42
1438653264,47,0
1438739124,0,47
1438743265,44,0
1438948584,37,81
1439038834,40,0
1439122407,0,40
1439132877,33,0
1439212150,0,33
1439220435,30,0
1439304865,0,30
1439308837,37,0
1439395227,0,37
1439399363,41,0
1439481656,0,41
1439489917,44,0
1439572168,0,44
1439580488,45,0
1439647149,0,0
1439663787,0,45
1439667924,39,0
1439753230,0,39
1439757394,41,0
1439839633,0,41
1439843795,41,0
1439913628,0,41
1440419781,43,43
1440510316,43,0
1440596712,0,43
1440600851,45,0
1440666557,0,0
1440684020,0,45
1440688160,46,0
1440770982,0,46
1440775171,42,0
1440860965,0,42
1440865090,41,0
1440950958,0,41
1440955097,39,0
1441041033,0,39
1441045120,40,0
1441130420,0,40
1441134553,37,0
1441220950,0,37
1441225102,39,0
1441307351,0,39
1441311502,45,0
1441395373,0,45
1441399049,45,0
1441482345,0,45
1441486456,47,0
1441572329,0,47
1441576023,47,0
1441660698,0,47
1441664835,36,0
1441750892,0,36
1441754840,41,0
1441840698,0,41
1441844834,39,0
1441931236,39,35
1442015119,0,43
1442019257,49,0
1442102061,0,49
1442106033,45,0
1442192419,0,45
1442196562,45,0
1442282954,0,45
1442287094,43,0
1442369917,0,43
1442374031,44,0
1442456327,0,44
1442460437,39,0
1442543236,0,39
1442547385,49,0
1442629640,0,49
1442633885,46,0
1442716588,0,46
1442720737,44,0
1442805495,0,44
1442809647,44,0
1442891896,0,44
1442896050,43,0
1442982445,0,43
1442986591,42,0
1443068853,0,42
1443077126,39,0
1443159413,0,39
1443163555,41,0
1443245828,0,41
1443250005,43,0
1443336345,0,43
1443340478,45,0
1443426876,0,45
1443430839,42,0
1443516946,0,42
1443520869,42,0
1443607224,0,42
1443611372,44,0
1443693626,0,44
1443697771,39,0
1443780045,0,39
1443788324,44,0
1443874718,0,44
1443878850,40,0
1443962187,0,40
1443966369,39,0
1444048596,0,39
1444056868,40,0
1444139464,0,40
1444143461,36,0
1444229660,0,36
1444233631,45,0
1444320031,41,41
1444402459,0,45
1444410561,38,0
1444496435,0,38
1444500583,39,0
1444582866,0,39
1444591116,42,0
1444674984,0,42
1444679146,47,0
1444761933,0,47
1444766063,42,0
1444848355,0,42
1444852467,46,0
1444937779,0,46
1444941926,45,0
1445027780,0,45
1445031924,43,0
1445117787,0,43
1445121925,40,0
1445204197,0,40
1445208338,40,0
1445292581,0,40
1445296705,42,0
1445383104,0,42
1445387249,41,0
1445473130,0,41
1445477258,44,0
1445562571,0,44
1445566942,34,0
1445648975,0,34
1445657251,36,0
1445742034,0,36
1445746163,30,0
1445829507,0,30
1445833666,30,0
1445915930,0,30
1445924189,37,0
1446008442,0,37
1446012579,40,0
1446098963,0,40
1446103102,40,0
1446188471,0,40
1446192576,42,0
1446275200,0,42
1446279001,40,0
1446296443,0,0
1446300396,0,0
1446362862,0,40
1446367017,40,0
1446411852,0,0
1446415779,0,0
1446456977,33,36
1446547524,43,80
1446636446,39,39
1446723380,45,45
1446811780,45,45
1447455250,40,40
1447517471,43,0
1447607382,33,76
1447697903,45,45
1447785931,44,44
1447874841,43,43
