DateTime,AddedIPs,RemovedIPs
1434710176,37,0
1434796573,32,0
1434808815,0,40
1434882976,26,0
1434899350,0,34
1434969379,40,0
1434989957,0,71
1435055792,41,0
1435100959,0,34
1435142185,34,0
1435191510,0,36
1435228588,37,0
1435314987,26,42
1435331364,0,39
1435401387,31,0
1435417763,0,36
1435487799,36,0
1435574208,36,0
1435660586,36,0
1435746995,34,0
1435833399,33,0
1435919782,33,0
1436006188,35,0
1436026706,0,36
1436093110,32,24
1436181513,39,0
1436268459,38,36
1436305522,0,42
1436354850,39,33
1436441236,42,32
1436527637,35,38
1436613694,37,34
1436697376,30,0
1436767208,0,37
1436783780,36,0
1436834720,0,34
1436870177,39,0
1436914843,0,29
1436960192,33,38
1437046594,34,0
1437126855,0,32
1437130814,32,0
1437213300,0,44
1437217260,34,0
1437301142,0,32
1437305276,36,0
1437387502,0,36
1437391635,38,0
1437473902,0,33
1437478048,26,0
1437560302,0,26
1437564437,30,0
1437660837,45,41
1437730595,0,31
1437734731,32,0
1437816996,0,37
1437821126,33,0
1437903936,0,36
1437908073,28,0
1437989245,0,28
1437993400,41,0
1438079798,26,27
1438166190,42,35
1438252592,27,32
1438337901,0,37
1438349796,42,0
1438423776,0,30
1438427911,40,0
1438509867,0,29
1438513764,38,0
1438595661,0,38
1438599612,38,0
1438682060,0,37
1438686017,43,0
1438772072,36,36
1438948586,41,75
1439030734,35,41
1439118557,37,45
1439165922,0,30
1439204058,39,0
1439288320,0,31
1439292448,41,0
1439374717,0,25
1439378841,42,0
1439461118,0,33
1439465239,37,0
1439551642,36,42
1439638038,36,33
1439647152,0,0
1439720833,0,37
1439724985,38,0
1439806702,0,32
1439810832,40,0
1439897237,42,41
1439913630,0,108
1440419782,44,116
1440497894,0,34
1440506178,39,0
1440584297,0,39
1440592573,38,0
1440666558,0,35
1440680052,40,0
1440758175,0,40
1440766448,40,0
1440844574,0,40
1440852853,38,0
1440930976,0,46
1440938731,38,0
1441019354,0,40
1441027634,34,0
1441102154,0,37
1441114036,43,0
1441188064,0,39
1441200431,37,0
1441274416,0,41
1441286837,46,0
1441361909,0,44
1441370720,37,0
1441399051,0,36
1441457663,41,0
1441543521,37,0
1441620551,0,35
1441632454,42,0
1441710032,0,36
1441718359,37,0
1441796060,0,41
1441804157,33,0
1441881925,0,39
1441890018,40,0
1441968320,0,40
1441976422,33,0
1442056707,0,40
1442064985,38,0
1442143637,0,37
1442151832,40,0
1442229493,0,37
1442237795,36,0
1442316434,0,37
1442324714,42,0
1442398702,0,38
1442411125,44,0
1442485111,0,44
1442542728,39,0
1442583910,39,0
1442669799,39,0
1442755649,33,43
1442842583,42,0
1442928992,40,0
1443015383,37,0
1443097646,0,41
1443101784,42,0
1443184062,0,40
1443188217,40,0
1443270462,0,36
1443274629,37,0
1443356853,0,38
1443361003,30,0
1443443252,0,32
1443447410,36,0
1443529193,0,39
1443533255,37,0
1443619653,36,36
1443706053,39,33
1443788325,0,41
1443792450,36,0
1443878851,34,37
1443956994,0,35
1443965259,38,0
1444047530,0,44
1444051679,34,0
1444133930,0,39
1444138091,45,0
1444224460,38,36
1444306733,0,34
1444310857,36,0
1444393132,0,33
1444397249,33,0
1444478968,0,38
1444483109,34,0
1444565363,0,38
1444569505,31,0
1444654461,37,36
1444740861,35,38
1444827261,35,36
1444913507,36,43
1444999520,0,44
1445003649,41,0
1445085393,0,37
1445089529,33,0
1445175394,34,35
1445261889,34,38
1445346048,38,35
1445432053,38,39
1445537621,39,37
1445603858,0,39
1445607939,35,0
1445690232,0,37
1445694348,33,0
1445779123,36,42
1445866586,32,40
1445948869,0,32
1445952986,44,0
1446037360,34,30
1446123626,38,39
1446209142,0,37
1446213267,35,0
1446296444,27,36
1446300397,0,0
1446383382,33,36
1446411853,0,0
1446415781,0,0
1446472459,39,36
1446555618,40,34
1446644179,29,33
1446731663,39,38
1446820033,35,47
1447455251,41,252
1447533375,33,33
1447619797,41,38
1447706209,41,41
1447794037,34,33
1447879012,36,34
