DateTime,Entries,UniqueIPs
1437247828,1150,1191
1437301142,1118,1159
1437305276,1154,1195
1437387502,1123,1159
1437391635,1160,1197
1437473902,1129,1164
1437478048,1151,1190
1437560302,1126,1164
1437564437,1156,1194
1437660837,1160,1198
1437730595,1130,1167
1437734731,1162,1199
1437816996,1127,1162
1437821126,1156,1195
1437903936,1120,1159
1437908073,1143,1187
1437989245,1115,1159
1437993400,1155,1200
1438079798,1154,1199
1438166190,1162,1206
1438252592,1157,1201
1438337901,1120,1164
1438349796,1161,1206
1438423776,1132,1176
1438427911,1170,1216
1438509867,1150,1187
1438513764,1187,1225
1438595661,1150,1187
1438599612,1187,1225
1438682060,1150,1188
1438686017,1193,1231
1438772072,1194,1231
1438948586,1160,1197
1439030734,1151,1191
1439118557,1142,1183
1439165922,1153,1153
1439190565,1153,1153
1439194723,1153,1153
1439200210,1153,1153
1439204058,1192,1192
1439238876,1192,1192
1439288320,1161,1161
1439292448,1202,1202
1439374717,1177,1177
1439378841,1219,1219
1439461118,1186,1186
1439465239,1223,1223
1439551642,1217,1217
1439638038,1220,1220
1439647152,1220,1220
1439720833,1183,1183
1439724985,1221,1221
1439806702,1189,1189
1439810832,1229,1229
1439897237,1230,1230
1439913630,1122,1122
1440419782,1050,1050
1440497894,1016,1016
1440506178,1055,1055
1440584297,1016,1016
1440592573,1054,1054
1440666558,1019,1019
1440680052,1059,1059
1440758175,1019,1019
1440766448,1059,1059
1440844574,1019,1019
1440852853,1057,1057
1440930976,1011,1011
1440938731,1049,1049
1441019354,1009,1009
1441027634,1043,1043
1441102154,1006,1006
1441114036,1049,1049
1441188064,1010,1010
1441200431,1047,1047
1441274416,1006,1006
1441286837,1052,1052
1441361909,1008,1008
1441370720,1045,1045
1441399051,1009,1009
1441457663,1050,1050
1441543521,1087,1087
1441620551,1052,1052
1441632454,1094,1094
1441710032,1058,1058
1441718359,1095,1095
1441796060,1054,1054
1441804157,1087,1087
1441881925,1048,1048
1441890018,1088,1088
1441968320,1048,1048
1441976422,1081,1081
1442056707,1041,1041
1442064985,1079,1079
1442143637,1042,1042
1442151832,1082,1082
1442229493,1045,1045
1442237795,1081,1081
1442316434,1044,1044
1442324714,1086,1086
1442398702,1048,1048
1442411125,1092,1092
1442485111,1048,1048
1442542728,1087,1087
1442583910,1126,1126
1442669799,1165,1165
1442755649,1155,1155
1442842583,1197,1197
1442928992,1237,1237
1443015383,1274,1274
1443097646,1233,1233
1443101784,1275,1275
1443184062,1235,1235
1443188217,1275,1275
1443270462,1239,1239
1443274629,1276,1276
1443356853,1238,1238
1443361003,1268,1268
1443443252,1236,1236
1443447410,1272,1272
1443529193,1233,1233
1443533255,1270,1270
1443619653,1270,1270
1443706053,1276,1276
1443788325,1235,1235
1443792450,1271,1271
1443878851,1268,1268
1443956994,1233,1233
1443965259,1271,1271
1444047530,1227,1227
1444051679,1261,1261
1444133930,1222,1222
1444138091,1267,1267
1444224460,1269,1269
1444306733,1235,1235
1444310857,1271,1271
1444393132,1238,1238
1444397249,1271,1271
1444478968,1233,1233
1444483109,1267,1267
1444565363,1229,1229
1444569505,1260,1260
1444654461,1261,1261
1444740861,1258,1258
1444827261,1257,1257
1444913507,1250,1250
1444999520,1206,1206
1445003649,1247,1247
1445085393,1210,1210
1445089529,1243,1243
1445175394,1242,1242
1445261889,1238,1238
1445346048,1241,1241
1445432053,1240,1240
1445537621,1242,1242
1445603858,1203,1203
1445607939,1238,1238
1445690232,1201,1201
1445694348,1234,1234
1445779123,1228,1228
1445866586,1220,1220
1445948869,1188,1188
1445952986,1232,1232
1446037360,1236,1236
1446123626,1235,1235
1446209142,1198,1198
1446213267,1233,1233
1446296444,1224,1224
1446383382,1221,1221
1446472459,1224,1224
1446555618,1230,1230
1446644179,1226,1226
1446731663,1227,1227
1446820033,1215,1215
1447455251,1004,1004
1447533375,1004,1004
1447619797,1007,1007
1447706209,1007,1007
1447794037,1008,1008
1447879012,1010,1010
