DateTime,AddedIPs,RemovedIPs
1437305276,46,46
1437391635,49,49
1437478048,44,44
1437564437,46,46
1437660837,49,49
1437734731,48,48
1437821126,45,45
1437908073,45,45
1437993400,49,49
1438079798,45,45
1438166190,47,47
1438252592,46,46
1438349796,49,49
1438427911,48,48
1438513764,44,44
1438599612,47,47
1438686017,46,46
1438772072,47,47
1438948586,49,49
1439030734,43,43
1439118557,43,43
1439204058,48,48
1439292448,48,48
1439378841,48,48
1439465239,44,44
1439551642,46,46
1439638038,49,49
1439647152,0,0
1439724985,45,45
1439810832,44,44
1439897237,49,49
1439913630,0,0
1440419782,50,50
1440506178,47,47
1440592573,47,47
1440666558,0,0
1440680052,47,47
1440766448,45,45
1440852853,46,46
1440938731,49,49
1441027634,45,45
1441114036,49,49
1441200431,46,46
1441286837,49,49
1441370720,43,43
1441457663,48,48
1441543521,45,45
1441632454,47,47
1441718359,47,47
1441804157,45,45
1441890018,49,49
1441976422,45,45
1442064985,44,44
1442151832,47,47
1442237795,41,41
1442324714,49,49
1442411125,48,48
1442542728,46,46
1442583910,48,48
1442669799,46,46
1442755649,42,42
1442842583,47,47
1442928992,46,46
1443015383,45,45
1443101784,47,47
1443188217,47,47
1443274629,48,48
1443361003,41,41
1443447410,44,44
1443533255,48,48
1443619653,48,48
1443706053,44,44
1443792450,45,45
1443878851,41,41
1443965259,44,44
1444051679,46,46
1444138091,49,49
1444224460,49,49
1444310857,45,45
1444397249,46,46
1444483109,48,48
1444569505,40,40
1444654461,44,44
1444740861,47,47
1444827261,46,46
1444913507,46,46
1445003649,45,45
1445089529,48,48
1445175394,46,46
1445261889,46,46
1445346048,48,48
1445432053,46,46
1445537621,46,46
1445607939,45,45
1445694348,43,43
1445779123,45,45
1445866586,43,43
1445952986,49,49
1446037360,49,49
1446123626,47,47
1446213267,47,47
1446296444,47,47
1446300397,0,0
1446383382,41,41
1446411853,0,0
1446415781,0,0
1446472459,46,46
1446555618,49,49
1446644179,45,45
1446731663,44,44
1446820033,47,47
1447455251,49,49
1447533375,45,45
1447619797,47,47
1447706209,44,44
1447794037,43,43
1447879012,47,47
