DateTime,AddedIPs,RemovedIPs
1434710174,42,0
1434747250,0,37
1434796571,37,0
1434841746,0,34
1434882973,34,0
1434915884,0,31
1434969376,35,0
1434989951,0,37
1435055789,38,0
1435100956,0,36
1435142182,43,0
1435191507,0,34
1435195638,0,33
1435228586,42,0
1435314984,31,39
1435364335,0,41
1435401385,32,0
1435487789,40,0
1435574201,38,0
1435660583,33,0
1435746986,39,0
1435833388,34,0
1435919779,33,0
1436006185,35,0
1436026703,0,38
1436093106,31,0
1436097249,0,30
1436181500,41,0
1436268444,38,41
1436305518,0,39
1436354838,37,33
1436441233,39,36
1436527634,43,39
1436613673,38,37
1436697373,38,0
1436767747,0,39
1436784307,36,0
1436834717,0,42
1436870710,39,0
1436914837,0,37
1436956576,42,0
1436960708,0,39
1437042972,37,0
1437126851,0,39
1437130810,39,0
1437213296,0,41
1437217256,39,0
1437301135,0,33
1437305270,32,0
1437387496,0,37
1437391629,27,0
1437473896,0,33
1437478042,34,0
1437560296,0,31
1437564431,41,0
1437660830,40,39
1437730587,0,35
1437734724,31,0
1437816990,0,43
1437821120,37,0
1437903928,0,42
1437908067,40,0
1437989240,0,32
1437997541,38,0
1438079792,0,36
1438083923,36,0
1438166184,0,37
1438170315,39,0
1438252586,0,31
1438256717,39,0
1438337895,0,37
1438349790,42,0
1438423770,0,35
1438427905,38,0
1438509861,0,34
1438513757,42,0
1438595656,0,30
1438599606,39,0
1438682054,0,35
1438686012,40,0
1438772066,35,42
1438948580,45,82
1439030729,34,36
1439118552,33,36
1439165916,0,37
1439204052,38,0
1439288315,0,41
1439292443,36,0
1439374711,0,34
1439378835,39,0
1439461113,0,35
1439465233,40,0
1439547513,0,37
1439551635,37,0
1439633902,0,41
1439638033,36,0
1439647146,0,0
1439720827,0,33
1439724979,38,0
1439806696,0,39
1439810827,37,0
1439897232,35,33
1439913625,0,111
1440419779,35,119
1440497893,0,39
1440506176,42,0
1440588431,0,45
1440592571,35,0
1440666556,0,0
1440675926,42,39
1440762329,38,36
1440848717,39,40
1440930975,0,38
1440934826,37,0
1441019352,0,44
1441023527,43,0
1441102151,0,44
1441110017,43,0
1441188062,0,39
1441196311,41,0
1441274414,0,40
1441282717,45,0
1441361906,0,45
1441370719,38,0
1441399048,0,38
1441457661,40,0
1441543519,41,0
1441620549,0,40
1441632452,41,0
1441710030,0,32
1441718356,43,0
1441796058,0,32
1441804155,33,0
1441881923,0,39
1441890015,41,0
1441968318,0,39
1441976419,33,0
1442056705,0,40
1442064983,40,0
1442143101,0,37
1442151829,40,0
1442229491,0,37
1442237793,35,0
1442316432,0,40
1442324712,37,0
1442398700,0,42
1442411123,43,0
1442485109,0,44
1442543235,42,0
1442580316,34,0
1442667258,39,0
1442753702,38,40
1442842581,38,0
1442928989,37,0
1443015380,37,0
1443097644,0,36
1443101782,40,0
1443184060,0,39
1443188214,38,0
1443266390,0,36
1443274627,37,0
1443352728,0,43
1443361001,36,0
1443439126,0,33
1443447407,37,0
1443524974,0,35
1443533251,41,0
1443611370,0,39
1443619651,36,0
1443702464,0,40
1443706582,40,0
1443784707,0,42
1443792982,35,0
1443871105,0,42
1443879378,30,0
1443953910,0,45
1443966368,39,0
1444048595,0,39
1444052739,29,0
1444134981,0,37
1444139462,41,0
1444221382,0,35
1444225604,37,0
1444307784,0,39
1444311992,35,0
1444394188,0,38
1444398329,30,0
1444481131,0,40
1444485257,30,0
1444566979,0,37
1444571134,33,0
1444655368,34,36
1444741764,32,35
1444828167,39,35
1444914567,34,40
1445000957,43,41
1445087364,40,39
1445169281,0,38
1445173259,33,0
1445256585,0,32
1445261886,34,0
1445342058,0,39
1445346046,38,0
1445432051,34,40
1445537618,33,33
1445603824,0,37
1445607937,44,0
1445690226,0,40
1445694345,34,0
1445779116,33,40
1445866584,35,34
1445948865,0,34
1445952983,42,0
1446037334,41,36
1446123623,0,38
1446127788,40,0
1446209140,0,38
1446213264,39,0
1446296442,0,33
1446300394,32,0
1446383380,37,41
1446411851,0,0
1446415777,0,0
1446472457,39,35
1446559769,38,33
1446644177,32,35
1446731661,44,30
1446818074,38,41
1447455249,43,245
1447533374,34,40
1447619796,38,38
1447706207,35,40
1447794036,34,37
1447879010,33,31
