DateTime,Entries,UniqueIPs
1437247816,350,366
1437301135,307,322
1437305270,343,358
1437387496,307,318
1437391629,339,360
1437473896,303,321
1437478042,346,366
1437560296,307,323
1437564431,349,367
1437660830,351,366
1437734724,349,364
1437821120,345,362
1437908067,347,364
1437993392,303,319
1437997541,343,363
1438079792,311,322
1438083923,352,366
1438166184,313,325
1438170315,356,369
1438207220,313,324
1438256717,356,368
1438337895,310,321
1438349790,356,368
1438423770,320,329
1438427905,363,376
1438509861,323,333
1438513757,368,378
1438599606,367,377
1438686012,367,379
1438772066,364,377
1438948580,324,336
1439030729,320,330
1439118552,311,321
1439190559,321,321
1439194717,321,321
1439200204,321,321
1439204052,318,318
1439238870,318,318
1439288315,276,276
1439292443,317,317
1439374711,270,270
1439378835,312,312
1439411802,267,267
1439465233,311,311
1439551635,350,350
1439633902,309,309
1439638033,351,351
1439647146,351,351
1439720827,314,314
1439724979,357,357
1439806696,321,321
1439810827,363,363
1439897232,361,361
1439913625,233,233
1440419779,146,146
1440502032,97,97
1440506176,143,143
1440592571,184,184
1440666556,184,184
1440675926,230,230
1440762329,272,272
1440766446,229,229
1440848717,272,272
1440934826,313,313
1441023527,358,358
1441110017,363,363
1441196311,365,365
1441278549,322,322
1441282717,369,369
1441370719,364,364
1441453525,326,326
1441457661,368,368
1441535780,326,326
1441543519,369,369
1441624696,324,324
1441632452,371,371
1441714158,326,326
1441718356,372,372
1441800018,327,327
1441804155,366,366
1441886049,321,321
1441890015,366,366
1441968318,319,319
1441976419,359,359
1442060847,318,318
1442064983,360,360
1442147250,320,320
1442151829,363,363
1442233640,318,318
1442237793,355,355
1442320575,312,312
1442324712,351,351
1442407019,308,308
1442411123,352,352
1442493386,310,310
1442543235,357,357
1442580316,355,355
1442667258,357,357
1442753702,358,358
1442838441,320,320
1442842581,362,362
1442928989,360,360
1443015380,355,355
1443101782,354,354
1443184060,309,309
1443188214,351,351
1443270459,315,315
1443274627,358,358
1443356851,312,312
1443361001,353,353
1443443249,311,311
1443447407,350,350
1443533251,354,354
1443619651,353,353
1443702464,308,308
1443706582,350,350
1443792982,349,349
1443879378,343,343
1443962186,304,304
1443966368,344,344
1444048595,304,304
1444052739,338,338
1444134981,293,293
1444139462,337,337
1444221382,294,294
1444225604,334,334
1444307784,296,296
1444311992,336,336
1444394188,292,292
1444398329,329,329
1444481131,294,294
1444485257,333,333
1444571134,335,335
1444655368,334,334
1444741764,339,339
1444828167,340,340
1444914567,339,339
1445000957,347,347
1445087364,353,353
1445173259,356,356
1445256585,318,318
1445261886,356,356
1445346046,357,357
1445432051,350,350
1445537618,347,347
1445603824,304,304
1445607937,349,349
1445690226,307,307
1445694345,347,347
1445774954,306,306
1445779116,343,343
1445862439,306,306
1445866584,344,344
1445948865,302,302
1445952983,347,347
1446033263,305,305
1446037334,350,350
1446115541,314,314
1446127788,359,359
1446209140,319,319
1446213264,361,361
1446296442,317,317
1446300394,354,354
1446383380,355,355
1446472457,358,358
1446559769,360,360
1446644177,351,351
1446731661,352,352
1446818074,354,354
1447455249,50,50
1447533374,94,94
1447619796,139,139
1447706207,179,179
1447794036,214,214
1447879010,254,254
