DateTime,AddedIPs,RemovedIPs
1443789747,35,83
1443814332,112,73
1443824535,69,24
1443832933,104,22
1443841943,34,15
1443852751,58,40
1443863554,48,79
1443871942,27,21
1443882138,32,21
1443892941,32,45
1443903136,12,19
1443912733,106,46
1443919944,27,35
1443927740,26,18
1443937942,19,31
1443946942,31,45
1443955939,13,29
1443965532,21,18
1443974533,24,40
1443982917,27,15
1443992524,13,16
1444001519,66,43
1444009932,11,33
1444017736,25,17
1444026736,29,12
1444035129,27,25
1444043534,22,47
1444051335,23,0
1444060927,19,39
1444070522,24,28
1444079529,17,14
1444087933,55,37
1444094539,25,51
1444102934,37,17
1444111945,22,22
1444119747,18,40
1444128150,24,22
1444137743,20,22
1444147333,14,14
1444155729,16,51
1444164130,9,18
1444171330,66,15
1444179131,26,11
1444187546,25,25
1444195339,19,20
1444203142,30,22
1444210948,27,29
1444221140,16,47
1444230139,12,20
1444238532,18,15
1444246327,27,23
1444254127,2,32
1444261934,19,95
1444268540,17,109
1444276936,27,35
1444285329,11,27
1444294327,15,103
1444303337,19,0
1444311728,22,76
1444318928,16,0
1444327329,18,39
1444335139,7,41
1444342331,6,203
1444349533,13,0
1444355526,16,44
1444363333,16,16
1444371137,15,83
1444380139,14,103
1444389141,24,0
1444397534,13,80
1444404728,13,0
1444411922,20,31
1444418526,13,35
1444425726,16,50
1444432926,10,0
1444440127,12,51
1444447328,24,0
1444455723,13,43
1444464126,14,86
1444471327,10,0
1444479121,24,38
1444485728,10,19
1444492925,55,27
1444500720,15,23
1444508512,12,14
1444515722,10,58
1444522319,11,19
1444529528,25,30
1444536730,102,0
1444545122,36,55
1444552929,15,23
1444560134,12,25
1444567325,24,37
1444574516,13,27
1444582319,21,22
1444589520,16,23
1444596119,8,17
1444603329,8,35
1444611131,16,0
1444618330,12,46
1444626131,112,20
1444634524,14,31
1444642340,11,0
1444649532,34,62
1444656721,13,26
1444663922,25,0
1444671122,50,29
1444679521,11,38
1444687928,14,12
1444693925,22,0
1444701122,27,47
1444708936,96,14
1444717334,29,21
1444725729,12,27
1444735333,63,22
1444743720,22,31
1444758125,0,38
1444766527,47,35
1444772520,9,0
1444780320,16,28
1444788127,16,36
1444795318,13,17
1444803728,20,33
1444813320,31,0
1444820532,80,45
1444828927,17,32
1444837923,14,30
1444846319,17,54
1444853531,17,0
1444861928,6,49
1444869125,8,0
1444876336,13,23
1444884733,34,29
1444893735,26,61
1444902752,6,29
1444911738,15,35
1444920730,22,29
1444929127,100,33
1444938124,17,25
1444944722,2,24
1444951919,33,21
1444959124,34,24
1444965727,12,21
1444974727,11,29
1444983130,19,39
1444992727,15,18
1445001731,17,28
1445010125,10,39
1445017921,66,25
1445025726,12,32
1445032328,10,0
1445039534,9,19
1445046727,14,51
1445055740,36,24
1445064135,19,29
1445073146,21,26
1445082734,8,32
1445091731,26,30
1445100137,101,37
1445108529,14,66
1445115735,10,0
1445122935,23,18
1445129533,25,23
1445136733,29,29
1445145132,18,46
1445154739,9,39
1445164347,30,47
1445173335,21,20
1445181737,13,50
1445190131,374,18
1445199126,20,0
1445207527,21,67
1445214135,23,0
1445222523,30,14
1445239343,37,80
1445248348,18,7
1445257336,10,24
1445266331,22,0
1445275330,84,72
1445283133,13,28
1445290328,8,0
1445296937,17,30
1445303543,14,30
1445311949,30,0
1445320939,22,41
1445330545,17,23
1445338338,14,35
1445347336,24,33
1445356331,18,46
1445364737,35,42
1445372536,16,0
1445379737,11,38
1445386337,19,19
1445394146,20,37
1445402545,6,19
1445412138,10,36
1445420534,13,29
1445429531,16,23
1445439128,18,26
1445447529,97,69
1445456528,8,27
1445464934,24,24
1445472123,20,40
1445479330,21,25
1445487138,30,30
1445496739,18,53
1445505148,14,44
1445536927,126,152
1445543539,16,45
1445550726,20,26
1445557935,24,24
1445565135,21,36
1445573530,24,15
1445581322,7,32
1445589729,28,47
1445598735,17,33
1445608322,25,24
1445616121,53,37
1445623323,54,0
1445630533,14,31
1445638333,20,43
1445646133,15,37
1445653930,25,20
1445661729,17,23
1445671925,20,43
1445680337,11,19
1445689331,10,27
1445697726,26,13
1445706731,72,8
1445712724,9,23
1445720528,8,36
1445727730,30,37
1445734930,13,20
1445742133,20,43
1445749942,18,0
1445757140,13,31
1445766155,14,50
1445775730,21,29
1445784728,9,22
1445792522,70,27
1445799728,61,33
1445806932,22,20
1445814130,19,17
1445820735,13,38
1445827937,10,18
1445836340,48,35
1445845336,20,53
1445854944,7,28
1445864532,18,31
1445872320,11,22
1445878923,82,16
1445886127,8,22
1445892725,13,18
1445899929,16,51
1445907731,32,48
1445914930,20,10
1445922739,13,20
1445929934,13,25
1445938938,19,21
1445947929,16,42
1445955120,23,28
1445964122,23,13
1445970734,158,24
1445977926,17,35
1445985128,17,46
1445992327,45,18
1445999527,20,13
1446007333,69,45
1446016937,22,68
1446025935,16,46
1446035526,10,21
1446043927,29,30
1446051729,74,29
1446059539,11,0
1446068522,11,45
1446074524,28,0
1446081731,17,38
1446089535,23,18
1446097937,18,34
1446106940,13,36
1446115935,10,26
1446126024,20,36
1446133321,26,39
1446141729,152,23
1446149524,19,34
1446156137,11,40
1446163343,38,34
1446171149,25,26
1446180738,48,14
1446190339,19,39
1446199351,26,29
1446208941,20,50
1446216727,25,37
1446225126,51,26
1446232338,91,46
1446239531,17,0
1446248539,26,41
1446256325,24,94
1446264136,34,48
1446272532,23,26
1446280929,26,44
1446289334,21,24
1446296523,8,34
1446303727,29,0
1446318734,117,85
1446327726,20,0
1446336130,27,0
1446343925,29,39
1446352920,32,22
1446359521,11,13
1446366721,10,27
1446373953,13,39
1446381135,12,0
1446388332,26,76
1446395526,15,0
1446402134,105,0
1446409339,14,43
1446417148,13,0
1446424944,29,70
1446432146,15,39
1446441751,22,0
1446450147,20,60
1446459132,21,28
1446467527,15,45
1446474730,15,54
1446481931,52,0
1446489132,58,50
1446496345,17,38
1446503542,15,0
1446510736,24,15
1446519146,24,70
1446528139,23,54
1446537139,7,30
1446545533,6,0
1446556334,29,40
1446565323,12,66
1446571931,128,0
1446579726,10,27
1446588734,14,26
1446597745,45,35
1446608525,27,27
1446620532,21,62
1446630733,22,36
1446639739,27,28
1446648732,24,38
1446666128,61,78
1446674597,23,17
1446682336,21,26
1446691330,17,21
1446703331,23,53
1446710547,13,0
1446717135,9,52
1446725541,17,31
1446733937,12,31
1446740530,16,34
1446748334,128,0
1446755543,23,30
1446763344,4,24
1446772943,33,36
1446781342,22,26
1446790931,20,27
1446799335,6,35
1446808334,22,36
1446814932,21,41
1446822121,17,33
1446828727,91,0
1446836534,64,29
1446843738,12,20
1446850941,21,13
1446858736,18,20
1446867737,26,38
1446877342,18,31
1446885126,20,0
1446892940,17,43
1446900130,14,27
1446909127,10,17
1446915733,67,12
1446922933,123,17
1446930741,9,26
1446939736,27,29
1446948743,15,11
1446957747,42,19
1446967343,17,28
1446977066,19,21
1446986069,14,22
1446994465,26,45
1447002133,16,0
1447009333,37,13
1447017140,8,21
1447023735,10,13
1447030930,8,13
1447038734,9,14
1447047736,14,40
1447056128,9,19
1447063324,12,0
1447071136,17,20
1447077726,16,11
1447085530,6,18
1447093335,93,48
1447101736,23,16
1447111334,21,25
1447120336,20,32
1447141946,0,66
1447149735,45,0
1447156937,5,36
1447164130,14,20
1447171341,20,21
1447179138,87,22
1447188741,13,27
1447197134,8,21
1447203734,20,18
1447212140,26,23
1447221137,20,24
1447229532,6,22
1447238547,17,38
1447245131,16,36
1447252334,17,19
1447259531,20,32
1447266734,142,20
1447273334,6,28
1447281745,9,33
1447290142,34,45
1447298536,18,0
1447306936,26,23
1447315938,22,39
1447323736,16,44
1447332145,5,38
1447340546,23,0
1447354930,63,71
1447362145,10,16
1447369941,16,23
1447378941,26,29
1447385540,8,0
1447392728,15,22
1447399937,11,31
1447405939,7,11
1447411345,11,25
1447418536,17,0
1447425736,18,33
1447433544,13,26
1447441338,64,19
1447447935,3,17
1447455745,12,12
1447462941,16,23
1447470137,14,31
1447477936,21,16
1447486936,15,20
1447493539,9,0
1447500135,11,39
1447507939,12,46
1447514535,19,20
1447522335,106,0
1447529541,14,22
1447537347,12,30
1447537350,0,39
1447543945,27,27
1447551736,17,0
1447560744,23,39
1447567340,11,20
1447575738,14,28
1447584144,6,0
1447584147,0,20
1447590138,16,0
1447595536,13,21
1447602745,5,0
1447611145,95,20
1447620143,15,38
1447629146,24,30
1447636940,17,0
1447645936,32,25
1447654339,6,16
1447662731,8,27
1447669939,9,0
1447676527,10,24
1447683726,12,0
1447690329,10,28
1447698134,43,14
1447705336,9,21
1447712535,10,14
1447719741,12,12
1447727541,10,22
1447734730,12,18
1447741930,6,30
1447749130,13,21
1447755729,4,32
1447762331,17,0
1447770127,17,17
1447777327,13,24
1447784534,182,24
1447791132,5,21
1447798340,16,0
1447806141,25,17
1447813932,15,30
1447820541,28,54
1447827744,17,0
1447835545,10,0
1447842747,16,69
1447849341,17,28
1447855936,20,0
1447863737,12,29
