DateTime,Entries,UniqueIPs
1443722534,18331,18331
1443745930,18273,18273
1443754320,18282,18282
1443762131,18262,18262
1443769942,18289,18289
1443779544,18264,18264
1443789747,18216,18216
1443814332,18255,18255
1443824535,18300,18300
1443832933,18382,18382
1443841943,18401,18401
1443852751,18419,18419
1443863554,18388,18388
1443871942,18394,18394
1443882138,18405,18405
1443892941,18392,18392
1443903136,18385,18385
1443912733,18445,18445
1443919944,18437,18437
1443927740,18445,18445
1443937942,18433,18433
1443946942,18419,18419
1443955939,18403,18403
1443965532,18406,18406
1443974533,18390,18390
1443982917,18402,18402
1443992524,18399,18399
1444001519,18422,18422
1444009932,18400,18400
1444017736,18408,18408
1444026736,18425,18425
1444035129,18427,18427
1444043534,18402,18402
1444051335,18425,18425
1444060927,18405,18405
1444070522,18401,18401
1444079529,18404,18404
1444087933,18422,18422
1444094539,18396,18396
1444102934,18416,18416
1444111945,18416,18416
1444119747,18394,18394
1444128150,18396,18396
1444137743,18394,18394
1444147333,18394,18394
1444155729,18359,18359
1444164130,18350,18350
1444171330,18401,18401
1444179131,18416,18416
1444187546,18416,18416
1444195339,18415,18415
1444203142,18423,18423
1444210948,18421,18421
1444221140,18390,18390
1444230139,18382,18382
1444238532,18385,18385
1444246327,18389,18389
1444254127,18359,18359
1444261934,18283,18283
1444268540,18191,18191
1444276936,18183,18183
1444285329,18167,18167
1444294327,18079,18079
1444303337,18098,18098
1444311728,18044,18044
1444318928,18060,18060
1444327329,18039,18039
1444335139,18005,18005
1444342331,17808,17808
1444349533,17821,17821
1444355526,17793,17793
1444363333,17793,17793
1444371137,17725,17725
1444380139,17636,17636
1444389141,17660,17660
1444397534,17593,17593
1444404728,17606,17606
1444411922,17595,17595
1444418526,17573,17573
1444425726,17539,17539
1444432926,17549,17549
1444440127,17510,17510
1444447328,17534,17534
1444455723,17504,17504
1444464126,17432,17432
1444471327,17442,17442
1444479121,17428,17428
1444485728,17419,17419
1444492925,17447,17447
1444500720,17439,17439
1444508512,17437,17437
1444515722,17389,17389
1444522319,17381,17381
1444529528,17376,17376
1444536730,17478,17478
1444545122,17459,17459
1444552929,17451,17451
1444560134,17438,17438
1444567325,17425,17425
1444574516,17411,17411
1444582319,17410,17410
1444589520,17403,17403
1444596119,17394,17394
1444603329,17367,17367
1444611131,17383,17383
1444618330,17349,17349
1444626131,17441,17441
1444634524,17424,17424
1444642340,17435,17435
1444649532,17407,17407
1444656721,17394,17394
1444663922,17419,17419
1444671122,17440,17440
1444679521,17413,17413
1444687928,17415,17415
1444693925,17437,17437
1444701122,17417,17417
1444708936,17499,17499
1444717334,17507,17507
1444725729,17492,17492
1444735333,17533,17533
1444743720,17524,17524
1444758125,17486,17486
1444766527,17498,17498
1444772520,17507,17507
1444780320,17495,17495
1444788127,17475,17475
1444795318,17471,17471
1444803728,17458,17458
1444813320,17489,17489
1444820532,17524,17524
1444828927,17509,17509
