DateTime,AddedIPs,RemovedIPs
1443713533,268,272
1443722534,299,306
1443745930,424,1520
1443754320,252,233
1443762131,419,170
1443769942,857,165
1443779544,723,296
1443789747,382,399
1443814332,520,1133
1443824535,324,672
1443832933,382,252
1443841943,511,244
1443852751,814,331
1443863554,550,371
1443871942,316,338
1443882138,243,396
1443892941,222,443
1443903136,166,439
1443912733,354,277
1443919944,315,138
1443927740,490,231
1443937942,308,322
1443946942,291,444
1443955939,196,279
1443965532,252,318
1443974533,199,288
1443982917,223,515
1443992524,301,296
1444001519,295,428
1444009932,282,288
1444017736,331,169
1444026736,520,267
1444035129,447,236
1444043534,309,264
1444051335,218,261
1444060927,218,335
1444070522,206,270
1444079529,246,355
1444087933,280,254
1444094539,260,155
1444102934,340,197
1444111945,284,270
1444119747,303,241
1444128150,229,280
1444137743,265,300
1444147333,185,304
1444155729,191,291
1444164130,194,239
1444171330,306,221
1444179131,271,139
1444187546,320,182
1444195339,245,239
1444203142,293,219
1444210948,235,223
1444221140,208,363
1444230139,158,316
1444238532,178,289
1444246327,207,212
1444254127,165,213
1444261934,268,190
1444268540,276,151
1444276936,329,214
1444285329,240,212
1444294327,231,302
1444303337,217,333
1444311728,220,290
1444318928,148,195
1444327329,192,227
1444335139,176,210
1444342331,164,295
1444349533,274,210
1444355526,158,110
1444363333,234,167
1444371137,319,215
1444380139,259,297
1444389141,187,248
1444397534,170,190
1444404728,156,232
1444411922,173,222
1444418526,185,156
1444425726,171,189
1444432926,214,134
1444440127,219,158
1444447328,239,174
1444455723,234,257
1444464126,193,206
1444471327,188,215
1444479121,166,223
1444485728,136,213
1444492925,213,306
1444500720,152,243
1444508512,172,193
1444515722,167,140
1444522319,157,164
1444529528,341,152
1444536730,311,129
1444545122,223,204
1444552929,196,216
1444560134,168,217
1444567325,144,229
1444574516,130,183
1444582319,190,229
1444589520,176,170
1444596119,187,184
1444603329,178,129
1444611131,261,179
1444618330,225,187
1444626131,300,166
1444634524,192,263
1444642340,172,199
1444649532,193,265
1444656721,164,218
1444663922,194,197
1444671122,246,207
1444679521,172,182
1444687928,183,230
1444693925,203,164
1444701122,252,165
1444708936,306,178
1444717334,242,233
1444725729,204,275
