DateTime,Entries,UniqueIPs
1443713533,5106,5106
1443722534,5099,5099
1443745930,4003,4003
1443754320,4022,4022
1443762131,4271,4271
1443769942,4963,4963
1443779544,5390,5390
1443789747,5373,5373
1443814332,4760,4760
1443824535,4412,4412
1443832933,4542,4542
1443841943,4809,4809
1443852751,5292,5292
1443863554,5471,5471
1443871942,5449,5449
1443882138,5296,5296
1443892941,5075,5075
1443903136,4802,4802
1443912733,4879,4879
1443919944,5056,5056
1443927740,5315,5315
1443937942,5301,5301
1443946942,5148,5148
1443955939,5065,5065
1443965532,4999,4999
1443974533,4910,4910
1443982917,4618,4618
1443992524,4623,4623
1444001519,4490,4490
1444009932,4484,4484
1444017736,4646,4646
1444026736,4899,4899
1444035129,5110,5110
1444043534,5155,5155
1444051335,5112,5112
1444060927,4995,4995
1444070522,4931,4931
1444079529,4822,4822
1444087933,4848,4848
1444094539,4953,4953
1444102934,5096,5096
1444111945,5110,5110
1444119747,5172,5172
1444128150,5121,5121
1444137743,5086,5086
1444147333,4967,4967
1444155729,4867,4867
1444164130,4822,4822
1444171330,4907,4907
1444179131,5039,5039
1444187546,5177,5177
1444195339,5183,5183
1444203142,5257,5257
1444210948,5269,5269
1444221140,5114,5114
1444230139,4956,4956
1444238532,4845,4845
1444246327,4840,4840
1444254127,4792,4792
1444261934,4870,4870
1444268540,4995,4995
1444276936,5110,5110
1444285329,5138,5138
1444294327,5067,5067
1444303337,4951,4951
1444311728,4881,4881
1444318928,4834,4834
1444327329,4799,4799
1444335139,4765,4765
1444342331,4634,4634
1444349533,4698,4698
1444355526,4746,4746
1444363333,4813,4813
1444371137,4917,4917
1444380139,4879,4879
1444389141,4818,4818
1444397534,4798,4798
1444404728,4722,4722
1444411922,4673,4673
1444418526,4702,4702
1444425726,4684,4684
1444432926,4764,4764
1444440127,4825,4825
1444447328,4890,4890
1444455723,4867,4867
1444464126,4854,4854
1444471327,4827,4827
1444479121,4770,4770
1444485728,4693,4693
1444492925,4600,4600
1444500720,4509,4509
1444508512,4488,4488
1444515722,4515,4515
1444522319,4508,4508
1444529528,4697,4697
1444536730,4879,4879
1444545122,4898,4898
1444552929,4878,4878
1444560134,4829,4829
1444567325,4744,4744
1444574516,4691,4691
1444582319,4652,4652
1444589520,4658,4658
1444596119,4661,4661
1444603329,4710,4710
1444611131,4792,4792
1444618330,4830,4830
1444626131,4964,4964
1444634524,4893,4893
1444642340,4866,4866
1444649532,4794,4794
1444656721,4740,4740
1444663922,4737,4737
1444671122,4776,4776
1444679521,4766,4766
1444687928,4719,4719
1444693925,4758,4758
1444701122,4845,4845
1444708936,4973,4973
1444717334,4982,4982
1444725729,4911,4911
1444735333,4877,4877
1444743720,4797,4797
1444766527,4703,4703
1444772520,4738,4738
1444780320,4842,4842
1444788127,4910,4910
1444795318,4967,4967
1444803728,4929,4929
1444813320,4876,4876
1444820532,4922,4922
1444828927,4839,4839
1444837923,4784,4784
1444846319,4751,4751
1444853531,4732,4732
1444861928,4784,4784
1444869125,4885,4885
1444876336,4978,4978
1444884733,5024,5024
1444893735,5055,5055
1444902752,4948,4948
1444911738,4821,4821
1444920730,4741,4741
1444929127,4767,4767
1444938124,4657,4657
1444944722,4674,4674
1444951919,4752,4752
1444959124,4815,4815
1444965727,4908,4908
1444974727,4909,4909
1444983130,4887,4887
1444992727,4783,4783
1445001731,4723,4723
1445010125,4636,4636
1445017921,4669,4669
1445025726,4718,4718
1445032328,4749,4749
1445039534,4821,4821
1445046727,4890,4890
1445055740,4944,4944
1445064135,4957,4957
1445073146,4974,4974
1445082734,4874,4874
1445091731,4764,4764
1445100137,4716,4716
1445108529,4735,4735
1445115735,4784,4784
1445122935,4866,4866
1445129533,4959,4959
1445136733,5040,5040
1445145132,5112,5112
1445154739,5040,5040
1445164347,4997,4997
1445173335,4835,4835
1445181737,4747,4747
1445190131,5078,5078
1445199126,5104,5104
1445207527,5129,5129
1445214135,5222,5222
1445222523,5307,5307
1445239343,5355,5355
1445248348,5330,5330
1445257336,5204,5204
1445266331,5036,5036
1445275330,5018,5018
1445283133,4984,4984
1445290328,5016,5016
1445296937,5101,5101
1445303543,5369,5369
1445311949,5489,5489
1445320939,5523,5523
1445330545,5431,5431
1445338338,5273,5273
