DateTime,Entries,UniqueIPs
1442906504,15919,15919
1442916109,16062,16062
1442925102,16007,16007
1442934100,16015,16015
1442942499,16047,16047
1442956887,16086,16086
1442970698,16029,16029
1442978500,16015,16015
1442985695,15978,15978
1442998900,15964,15964
1443006106,15951,15951
1443014500,15912,15912
1443024101,16018,16018
1443033105,16066,16066
1443041500,15982,15982
1443055891,15934,15934
1443070303,15801,15801
1443078698,15778,15778
1443086500,15729,15729
1443094901,15693,15693
1443108693,15672,15672
1443115897,15713,15713
1443130292,15686,15686
1443144096,15647,15647
1443151896,15681,15681
1443159692,15613,15613
1443174097,15605,15605
1443187897,15533,15533
1443202297,15607,15607
1443216692,15530,15530
1443230489,15497,15497
1443237695,15521,15521
1443245501,15423,15423
1443259896,15454,15454
1443267695,15389,15389
1443276696,15381,15381
1443290491,15532,15532
1443304895,15516,15516
1443319297,15541,15541
1443333098,15531,15531
1443347503,15478,15478
1443361901,15463,15463
1443369094,15453,15453
1443376903,17824,17824
1443391300,17809,17809
1443405109,17864,17864
1443413497,17820,17820
1443423101,17807,17807
1443431503,17840,17840
1443440495,17826,17826
1443449495,17757,17757
1443457895,17856,17856
1443466891,17872,17872
1443476498,17883,17883
1443487290,17883,17883
1443496897,17869,17869
1443505308,17859,17859
1443513098,17881,17881
1443520902,17880,17880
1443528706,17874,17874
1443537698,17868,17868
1443551503,17940,17940
1443558699,17795,17795
1443567700,17809,17809
1443576705,17790,17790
1443585708,17767,17767
1443594107,17709,17709
1443602500,17649,17649
1443612105,17670,17670
1443621698,17644,17644
1443630699,17663,17663
1443639105,17858,17858
1443649904,17804,17804
1443660104,17804,17804
1443668496,17855,17855
1443678703,17840,17840
1443687106,17778,17778
1443696109,17754,17754
1443703901,17780,17780
1443713506,17745,17745
1443722504,17859,17859
1443745905,17806,17806
1443754300,17816,17816
1443762107,17776,17776
1443769915,17759,17759
1443779515,17772,17772
1443789711,17753,17753
1443814308,17793,17793
1443824505,17837,17837
1443832906,17906,17906
1443841914,17899,17899
1443852712,17932,17932
1443863518,17980,17980
1443871908,17911,17911
1443882108,17943,17943
1443892905,17931,17931
1443903107,17924,17924
1443912705,17983,17983
1443919910,17957,17957
1443927710,17923,17923
1443937912,17942,17942
1443946907,17957,17957
1443955911,17940,17940
1443965502,17927,17927
1443974502,17918,17918
1443982894,17871,17871
1443992499,17883,17883
1444001496,17949,17949
1444009907,17929,17929
1444017706,17954,17954
1444026708,17950,17950
1444035103,17957,17957
1444043502,17980,17980
1444051299,17974,17974
1444060897,17955,17955
1444070495,17937,17937
1444079499,17922,17922
1444087905,17976,17976
1444094508,17933,17933
1444102906,17931,17931
1444111908,17952,17952
1444119713,17946,17946
1444128114,17947,17947
1444137712,17936,17936
1444147305,17926,17926
1444155702,17942,17942
1444164099,17881,17881
1444171300,17947,17947
1444179102,17945,17945
1444187510,17967,17967
1444195309,17945,17945
1444203108,17928,17928
1444210912,17954,17954
1444221108,17931,17931
1444230106,17928,17928
1444238500,17946,17946
1444246299,17950,17950
1444254100,17922,17922
1444268505,17863,17863
1444276905,17748,17748
1444285298,17733,17733
1444294296,17647,17647
1444303305,17637,17637
1444311701,17659,17659
1444318899,17589,17589
1444327300,17607,17607
1444335106,17582,17582
1444349503,17394,17394
1444363302,17381,17381
1444371107,17299,17299
1444380105,17214,17214
1444389108,17237,17237
1444397505,17206,17206
1444411896,17200,17200
1444425695,17164,17164
1444440099,17135,17135
1444447298,17108,17108
1444455696,17080,17080
1444464099,17009,17009
1444471297,16980,16980
1444485699,17014,17014
1444492897,16987,16987
1444500696,17003,17003
1444508490,16985,16985
1444522295,16958,16958
1444536705,17054,17054
1444545097,17034,17034
1444552899,17026,17026
1444567297,17038,17038
1444574492,16986,16986
1444582295,16960,16960
1444596093,16963,16963
1444603303,16939,16939
1444611101,16910,16910
1444618302,16922,16922
1444626103,17013,17013
1444634499,16996,16996
1444642302,16947,16947
1444656693,16956,16956
1444671097,17002,17002
1444679496,16975,16975
1444693895,16974,16974
1444701095,16982,16982
1444708904,17061,17061
1444717303,17045,17045
1444725699,17036,17036
1444735299,17091,17091
1444743697,17064,17064
1444758096,17047,17047
1444772494,17038,17038
1444780295,17022,17022
1444788098,17037,17037
1444795293,17033,17033
1444803697,17020,17020
1444813294,17006,17006
1444820503,17052,17052
