DateTime,Entries,UniqueIPs
1442883097,2329,2329
1442890300,2443,2443
1442898105,2524,2524
1442906504,2560,2560
1442916109,2638,2638
1442925102,2480,2480
1442934100,2349,2349
1442942499,2217,2217
1442956887,2165,2165
1442970698,2256,2256
1442978500,2273,2273
1442985695,2325,2325
1442998900,2398,2398
1443006106,2490,2490
1443014500,2428,2428
1443024101,2485,2485
1443033105,2414,2414
1443041500,2382,2382
1443055891,2351,2351
1443070303,2470,2470
1443078698,2475,2475
1443086500,2470,2470
1443094901,2423,2423
1443108693,2278,2278
1443115897,2439,2439
1443130292,2339,2339
1443144096,2396,2396
1443151896,2440,2440
1443159692,2480,2480
1443174097,2440,2440
1443187897,2349,2349
1443202297,2375,2375
1443216692,2304,2304
1443230489,2382,2382
1443237695,2452,2452
1443245501,2469,2469
1443259896,2460,2460
1443267695,2383,2383
1443276696,2315,2315
1443290491,2254,2254
1443304895,2311,2311
1443319297,2263,2263
1443333098,2420,2420
1443347503,2398,2398
1443361901,2265,2265
1443369094,2279,2279
1443376903,4601,4601
1443391300,4642,4642
1443405109,4780,4780
1443413497,4834,4834
1443423101,4742,4742
1443431503,4670,4670
1443440495,4606,4606
1443449495,4552,4552
1443457895,4606,4606
1443466891,4622,4622
1443476498,4303,4303
1443487290,3470,3470
1443496897,3482,3482
1443505308,3735,3735
1443513098,3755,3755
1443520902,4625,4625
1443528706,4692,4692
1443537698,4661,4661
1443551503,4580,4580
1443558699,4562,4562
1443567700,4539,4539
1443576705,4496,4496
1443585708,4587,4587
1443594107,4759,4759
1443602500,4870,4870
1443612105,4881,4881
1443621698,4791,4791
1443630699,4762,4762
1443639105,4880,4880
1443649904,4586,4586
1443660104,4426,4426
1443668496,4135,4135
1443678703,4153,4153
1443687106,4544,4544
1443696109,4629,4629
1443703901,4941,4941
1443713506,4930,4930
1443722504,4916,4916
1443745905,3826,3826
1443754300,3847,3847
1443762107,4106,4106
1443769915,4801,4801
1443779515,5227,5227
1443789711,5203,5203
1443814308,4584,4584
1443824505,4240,4240
1443832906,4377,4377
1443841914,4644,4644
1443852712,5128,5128
1443863518,5298,5298
1443871908,5262,5262
1443882108,5111,5111
1443892905,4895,4895
1443903107,4631,4631
1443912705,4716,4716
1443919910,4885,4885
1443927710,5141,5141
1443937912,5125,5125
1443946907,4971,4971
1443955911,4894,4894
1443965502,4832,4832
1443974502,4749,4749
1443982894,4463,4463
1443992499,4460,4460
1444001496,4333,4333
1444009907,4324,4324
1444017706,4482,4482
1444026708,4738,4738
1444035103,4945,4945
1444043502,4988,4988
1444051299,4939,4939
1444060897,4817,4817
1444070495,4754,4754
1444079499,4648,4648
1444087905,4675,4675
1444094508,4775,4775
1444102906,4913,4913
1444111908,4933,4933
1444119713,4984,4984
1444128114,4933,4933
1444137712,4907,4907
1444147305,4783,4783
1444155702,4689,4689
1444164099,4649,4649
1444171300,4731,4731
1444179102,4858,4858
1444187510,4993,4993
1444195309,5002,5002
1444203108,5070,5070
1444210912,5093,5093
1444221108,4949,4949
1444230106,4791,4791
1444238500,4680,4680
1444246299,4679,4679
1444254100,4626,4626
1444268505,4836,4836
1444276905,4953,4953
1444285298,4983,4983
1444294296,4905,4905
1444303305,4781,4781
1444311701,4712,4712
1444318899,4662,4662
1444327300,4624,4624
1444335106,4597,4597
1444349503,4527,4527
1444363302,4650,4650
1444371107,4758,4758
1444380105,4719,4719
1444389108,4657,4657
1444397505,4625,4625
1444411896,4491,4491
1444425695,4506,4506
1444440099,4654,4654
1444447298,4712,4712
1444455696,4687,4687
1444464099,4671,4671
1444471297,4649,4649
1444485699,4524,4524
1444492897,4432,4432
1444500696,4343,4343
1444508490,4326,4326
1444522295,4330,4330
1444536705,4708,4708
1444545097,4733,4733
1444552899,4724,4724
1444567297,4586,4586
1444574492,4527,4527
1444582295,4481,4481
1444596093,4489,4489
1444603303,4535,4535
1444611101,4610,4610
1444618302,4656,4656
1444626103,4794,4794
1444634499,4727,4727
1444642302,4696,4696
1444656693,4566,4566
1444671097,4596,4596
1444679496,4583,4583
1444693895,4581,4581
1444701095,4668,4668
1444708904,4801,4801
1444717303,4811,4811
1444725699,4735,4735
1444735299,4691,4691
1444743697,4612,4612
1444772494,4551,4551
1444780295,4653,4653
1444788098,4723,4723
1444795293,4788,4788
1444803697,4749,4749
1444813294,4689,4689
1444820503,4728,4728
1444828898,4647,4647
1444837897,4593,4593
1444846290,4562,4562
1444853497,4542,4542
1444861897,4589,4589
1444876304,4777,4777
1444884704,4843,4843
1444893707,4878,4878
1444902704,4786,4786
1444911707,4657,4657
1444920702,4570,4570
1444929100,4596,4596
1444938098,4479,4479
1444951894,4572,4572
1444965699,4730,4730
1444974701,4728,4728
1444983099,4711,4711
1444992697,4613,4613
1445001700,4553,4553
1445010096,4460,4460
1445017900,4492,4492
1445032302,4558,4558
1445046702,4694,4694
1445055706,4751,4751
1445064104,4763,4763
1445073114,4781,4781
1445082706,4680,4680
1445091700,4565,4565
1445100106,4531,4531
1445108500,4551,4551
1445122905,4690,4690
1445136703,4851,4851
1445145102,4923,4923
1445154708,4848,4848
1445164315,4809,4809
1445173307,4654,4654
1445181704,4565,4565
1445190101,4899,4899
1445199099,4922,4922
1445207498,4945,4945
1445214100,5033,5033
1445239304,5176,5176
1445248313,5149,5149
1445257308,5027,5027
1445266303,4860,4860
1445275301,4834,4834
1445283108,4800,4800
1445296906,4912,4912
1445303513,5177,5177
1445311916,5302,5302
1445320906,5340,5340
1445330508,5243,5243
1445338307,5088,5088
1445347303,4961,4961
1445356300,4850,4850
1445364706,4805,4805
1445372504,4808,4808
1445386308,4925,4925
1445394110,5015,5015
1445402509,5052,5052
1445412107,4990,4990
1445420507,4942,4942
1445429501,4757,4757
1445439099,4516,4516
1445447503,4505,4505
1445456499,4533,4533
1445464903,4864,4864
1445479300,4978,4978
1445487105,5002,5002
1445496712,4884,4884
1445505115,4718,4718
1445536905,4172,4172
1445550701,4573,4573
1445565105,4988,4988
1445573499,5051,5051
1445581294,5012,5012
1445589703,4945,4945
1445598704,4868,4868
1445608297,4713,4713
1445616094,4720,4720
1445630499,4903,4903
1445638301,4959,4959
1445646102,5044,5044
