DateTime,AddedIPs,RemovedIPs
1445964964,21,14
1445968563,20,34
1445972164,8,47
1445975763,19,16
1445979364,17,0
1445982964,26,72
1445986563,47,0
1445990163,24,13
1445993764,11,23
1445997363,28,24
1446000963,31,29
1446004564,22,11
1446008164,27,25
1446011763,18,24
1446015363,16,65
1446018963,30,24
1446022563,18,68
1446026163,35,0
1446029764,30,0
1446033363,26,0
1446036964,51,0
1446040563,22,20
1446044163,27,43
1446047763,34,0
1446054964,24,55
1446058564,13,0
1446062163,21,20
1446065763,12,18
1446069364,26,31
1446072964,44,63
1446076564,12,0
1446080164,4,16
1446083763,27,59
1446087363,31,9
1446090963,16,0
1446094563,27,16
1446098163,26,20
1446101763,11,29
1446105363,26,40
1446108963,23,0
1446112563,30,48
1446116164,31,29
1446119763,21,0
1446123363,28,56
1446126964,22,40
1446130563,25,0
1446134163,21,77
1446137763,42,0
1446141364,20,0
1446144966,12,39
1446148563,25,0
1446152164,14,14
1446155764,19,21
1446159363,36,26
1446166563,50,23
1446170163,41,55
1446173764,30,14
1446177364,20,0
1446180965,26,16
1446184563,28,20
1446188164,17,33
1446191764,43,0
1446195363,26,24
1446198964,28,32
1446202564,13,45
1446206163,20,0
1446209764,9,24
1446213363,15,23
1446216964,14,48
1446220564,23,0
1446224163,14,41
1446227763,20,25
1446231363,15,44
1446234965,20,0
1446238564,13,65
1446242164,15,38
1446245764,28,46
1446249363,16,0
1446252964,3,25
1446256564,18,0
1446260165,30,54
1446263764,19,35
1446267363,12,28
1446270964,14,36
1446274563,23,45
1446278163,15,0
1446281763,22,67
1446285363,49,0
1446288963,29,31
1446292563,19,16
1446296163,18,0
1446299763,23,36
1446303364,26,19
1446306963,26,24
1446310564,20,19
1446314163,24,21
1446317763,23,0
1446321363,30,30
1446324964,18,0
1446328563,20,28
1446332164,33,40
1446335763,33,7
1446339363,6,22
1446342963,13,23
1446346564,27,0
1446350163,20,11
1446353763,18,14
1446357364,21,14
1446360964,18,13
1446364564,8,43
1446368163,11,0
1446371763,24,46
1446375363,17,13
1446378963,18,23
1446382563,16,22
1446386164,23,0
1446389763,21,25
1446393363,20,43
1446396965,42,0
1446400563,15,20
1446404164,14,47
1446407764,31,0
1446411364,17,36
1446414963,22,28
1446418564,38,0
1446422163,30,19
1446425763,11,12
1446436564,39,66
1446440163,29,29
1446443763,25,11
1446447364,30,0
1446450963,19,24
1446458163,40,18
1446461763,22,20
1446465364,21,0
1446468963,15,19
1446472563,15,33
1446476164,14,0
1446479763,25,55
1446486964,30,23
1446490563,22,62
1446494163,26,0
1446497764,13,45
1446501364,23,0
1446504963,55,62
1446508564,35,0
1446512163,7,24
1446515764,17,57
1446519363,24,0
1446522963,11,25
1446526563,21,0
1446530164,26,28
1446533764,29,48
1446537366,26,28
1446540964,16,0
1446544563,23,14
1446548164,21,0
1446551763,28,31
1446555364,18,0
1446558963,18,36
1446562564,18,22
1446566164,14,33
1446569763,18,0
1446573363,22,18
1446576963,9,0
1446580564,26,37
1446584163,9,0
1446587763,20,70
1446591364,54,0
1446598563,44,65
1446602164,13,27
1446605764,25,0
1446609364,11,10
1446616563,32,54
1446623763,38,49
1446627363,23,37
1446630964,31,0
1446634563,17,42
1446638164,18,0
1446641764,14,38
1446645363,17,0
1446648964,15,37
1446652564,32,0
1446666963,74,63
1446670564,19,39
1446677764,37,57
1446681364,27,43
1446688563,13,22
1446692163,20,38
1446695763,12,0
1446699364,18,31
1446702963,21,0
1446706563,22,31
1446710164,24,16
1446713763,23,23
1446717364,45,0
1446720964,25,10
1446724564,25,40
1446728163,16,16
1446731764,16,29
1446735363,16,34
1446738964,19,0
1446742563,5,81
1446746164,18,0
1446749764,15,0
1446753364,16,16
1446756964,14,49
1446760564,25,0
1446764164,36,24
1446767763,25,0
1446771363,13,26
1446774963,12,23
1446778563,12,0
1446782163,4,8
1446785764,17,38
1446789363,9,0
1446792964,21,43
1446796563,33,0
1446800163,38,67
1446803763,24,0
1446807363,11,33
1446810963,33,0
1446814563,9,37
1446818164,16,0
1446821764,19,19
1446825364,16,24
1446828964,24,17
1446832563,17,21
1446836164,30,32
1446839764,30,14
1446846963,20,54
1446854164,54,25
1446857764,18,0
1446861363,13,16
1446868564,30,49
1446872163,21,0
1446875764,27,32
1446879366,32,46
1446882964,30,34
1446886566,30,0
1446890163,30,32
1446893764,19,0
1446897363,10,16
1446900963,27,9
1446908164,31,34
1446911763,20,37
1446915363,14,20
1446918963,16,30
1446922564,17,0
1446926163,14,56
1446929763,17,0
1446933364,21,54
1446936963,26,0
1446944164,37,6
1446947764,7,58
1446954963,31,0
1446958564,25,40
1446962163,22,34
1446965763,23,0
1446969363,23,19
1446972964,10,50
1446976563,30,0
1446980164,43,34
1446983763,67,33
1446987364,29,44
1446990964,28,0
1446994564,18,22
1446998163,32,0
1447001763,17,44
1447005363,12,0
1447008964,11,25
1447012565,12,0
1447016164,20,30
1447019763,21,0
1447023363,24,49
1447026964,21,0
1447030563,15,36
1447034163,6,0
1447037764,22,30
1447044963,40,24
1447048563,19,41
1447052164,22,0
1447055763,21,35
1447059363,22,0
1447062963,26,48
1447066563,13,0
1447070164,14,74
1447073764,22,0
1447077364,19,28
1447080964,18,0
1447088164,31,55
1447091764,9,41
1447095364,10,0
1447098966,16,45
1447102564,14,0
1447106164,17,60
1447109763,42,0
1447113364,32,30
1447116964,14,0
1447124164,23,48
1447127763,14,10
1447131363,18,59
1447134964,26,0
1447138563,13,50
1447142164,32,0
1447145763,39,41
1447149364,43,0
1447152963,48,26
1447156564,36,0
1447160163,17,41
1447163764,25,0
1447167364,20,39
1447170964,23,0
1447174564,14,12
1447178164,27,0
1447181763,38,22
1447185364,18,0
1447188963,18,30
1447192564,19,0
1447196163,26,65
1447199763,13,0
1447203363,9,58
1447206964,20,0
1447210563,34,7
1447214163,8,0
1447217764,8,39
1447221364,9,0
1447224963,12,41
1447228564,11,0
1447232164,15,38
1447235764,11,32
1447239364,9,68
1447242963,11,0
1447246563,15,49
1447250163,10,0
1447257365,11,49
1447260963,8,59
1447264564,9,0
1447268163,11,49
1447271764,13,27
1447275363,8,50
1447278963,24,31
1447282564,22,0
1447286163,18,17
1447289763,7,28
1447293364,26,18
1447296963,25,0
1447300564,6,9
1447304163,14,15
1447307764,12,24
1447311363,6,0
1447314964,10,12
1447318563,13,46
1447322164,17,0
1447325764,10,6
1447329364,8,13
1447332968,11,27
1447336564,11,21
1447340163,13,0
1447343764,15,0
1447347364,9,29
1447350963,10,0
1447354563,9,26
1447358165,14,0
1447361763,5,7
1447368963,30,40
1447372564,13,34
1447376164,6,0
1447379764,12,18
1447383364,25,0
1447386963,7,14
1447390564,11,0
1447394163,12,19
1447397763,16,0
1447401363,6,40
1447404963,15,0
1447408563,15,22
1447412165,11,0
1447415764,12,16
1447419363,21,0
1447422963,27,33
1447426564,17,0
1447430164,24,21
1447433763,23,0
1447437363,25,25
1447440963,19,0
1447444564,43,13
1447448163,27,0
1447451764,76,25
1447455364,51,0
1447458964,25,19
1447462564,12,10
1447466163,43,3
1447469763,28,4
1447473364,30,10
1447476963,55,15
1447480564,42,8
1447484163,17,10
1447487764,13,11
1447491364,19,12
1447494963,37,0
1447498563,9,35
1447502164,11,0
1447505764,15,43
1447512963,37,32
1447520163,40,31
1447523763,22,0
1447527363,35,15
1447534563,47,123
1447538163,26,27
1447541763,36,13
1447545364,16,11
1447548964,9,0
1447552564,31,25
1447556164,25,19
1447559763,18,39
1447563363,27,52
1447566964,23,30
1447574164,39,36
1447577764,26,48
1447581364,21,0
1447584963,15,31
1447588563,30,0
1447592163,21,73
1447595763,19,0
1447599364,35,54
1447602964,26,0
1447606564,26,24
1447610166,42,47
1447613763,25,53
1447617363,58,0
1447620964,37,0
1447624563,27,15
1447628163,19,16
1447631764,11,21
1447635363,14,0
1447638964,28,57
1447642563,40,6
1447646164,8,18
1447649765,26,0
1447653364,26,48
1447656964,5,0
1447660564,12,14
1447664163,7,0
1447667763,27,40
1447671364,31,0
1447674963,32,56
1447678563,34,0
1447682164,16,37
1447685763,39,0
1447689364,20,26
