DateTime,AddedIPs,RemovedIPs
1443824521,16,3
1443832919,6,4
1443841929,10,5
1443852728,7,13
1443863536,3,10
1443871925,8,7
1443882122,8,9
1443892922,8,10
1443903121,6,4
1443912719,7,4
1443919926,7,5
1443927725,7,8
1443937928,9,7
1443946925,7,4
1443955925,4,3
1443965516,6,8
1443974517,1,11
1443982906,9,4
1443992513,5,4
1444001508,8,4
1444009918,5,8
1444017720,3,5
1444026723,8,7
1444035117,6,9
1444043517,5,8
1444051318,10,0
1444060912,7,13
1444070510,2,6
1444079513,7,10
1444087919,7,14
1444094523,6,4
1444102921,5,4
1444111924,7,2
1444119730,5,11
1444128131,3,6
1444137727,2,6
1444147319,8,3
1444155717,7,16
1444164114,4,8
1444171314,13,3
1444179117,3,4
1444187524,6,7
1444195324,9,4
1444203124,7,4
1444210928,5,7
1444221123,7,15
1444230121,6,6
1444238517,7,6
1444246314,4,8
1444254113,3,3
1444261919,6,6
1444268520,10,12
1444276920,5,5
1444285313,4,8
1444294311,6,7
1444303320,7,0
1444311714,5,14
1444318913,8,0
1444327313,7,7
1444335119,4,5
1444342317,11,6
1444349516,6,0
1444355514,3,3
1444363316,4,4
1444371120,6,13
1444380119,6,10
1444389122,5,0
1444397520,3,8
1444404712,5,0
1444411908,5,5
1444418513,4,7
1444425711,4,7
1444432910,6,0
1444440113,4,4
1444447312,5,0
1444455709,8,8
1444464113,7,4
1444471312,6,0
1444479110,4,2
1444485712,6,6
1444492911,11,3
1444500710,8,6
1444508501,9,12
1444515707,3,7
1444522307,6,7
1444529514,8,4
1444536718,7,0
1444545111,5,5
1444552913,6,7
1444560118,6,7
1444567310,7,7
1444574506,2,7
1444582308,6,3
1444589507,5,10
1444596106,5,10
1444603316,6,8
1444611115,6,0
1444618315,8,9
1444626118,6,6
1444634512,3,6
1444642317,7,0
1444649520,11,10
1444656707,6,7
1444663906,6,0
1444671109,6,6
1444679510,7,8
1444687914,2,8
1444693909,4,0
1444701109,5,15
1444708919,9,5
1444717316,5,5
1444725713,8,9
1444735313,6,7
1444743710,3,7
1444758109,0,10
1444766513,6,6
1444772509,3,0
1444780308,10,4
1444788112,7,14
1444795306,5,7
1444803715,8,7
1444813308,6,0
1444820517,10,9
1444828914,7,2
1444837911,6,6
1444846304,8,13
1444853514,5,0
1444861910,8,13
1444869109,8,0
1444876319,8,11
1444884719,8,6
1444893723,8,12
1444902737,3,5
1444911721,5,9
1444920716,5,3
1444929113,6,3
1444938111,2,6
1444944711,7,4
1444951906,7,8
1444959113,6,8
1444965712,7,5
1444974715,8,7
1444983113,9,10
1444992712,6,5
1445001717,6,8
1445010110,6,4
1445017913,3,6
1445025713,3,5
1445032315,3,0
1445039519,5,6
1445046716,8,14
1445055723,10,4
1445064118,6,5
1445073130,6,9
1445082719,5,5
1445091716,2,7
1445100119,5,5
1445108513,7,14
1445115719,5,0
1445122920,7,6
1445129519,3,7
1445136718,7,4
1445145116,6,4
1445154722,9,3
1445164331,3,4
1445173321,5,3
1445181722,7,14
1445190116,11,7
1445199113,7,0
1445207514,8,8
1445214119,4,0
1445222510,9,9
1445239325,7,15
1445248330,7,9
1445257323,7,3
1445266317,4,0
1445275315,9,4
1445283121,6,9
1445290311,6,0
1445296921,8,4
1445303529,8,0
1445311932,4,10
1445320924,7,7
1445330525,7,6
1445338323,4,8
1445347319,4,8
1445356315,8,8
1445364720,7,8
1445372519,6,0
1445379719,5,14
1445386323,6,7
1445394126,6,5
1445402525,6,2
1445412125,6,8
1445420521,9,8
1445429517,6,6
1445439112,4,12
1445447516,11,0
1445456513,6,14
1445464919,6,2
1445472109,5,10
1445479315,7,4
1445487121,4,4
1445496727,8,10
1445505130,7,7
1445536917,9,26
1445543523,7,4
1445550714,10,4
1445557923,12,8
1445565119,6,7
1445573515,5,4
1445581309,7,5
1445589717,6,12
1445598718,8,5
1445608310,7,4
1445616109,10,4
1445623309,10,0
1445630516,5,6
1445638316,5,1
1445646121,10,8
1445653913,7,5
1445661713,3,6
1445671910,4,10
1445680325,3,4
1445689311,6,6
1445697713,3,5
1445706714,5,6
1445712712,4,3
1445720513,2,7
1445727718,7,5
1445734915,8,7
1445742119,6,6
1445749926,8,8
1445757122,6,4
1445766127,3,12
1445775719,6,7
1445784714,3,4
1445792511,15,7
1445799713,3,3
1445806915,5,7
1445814116,7,4
1445820718,1,6
1445827921,4,5
1445836324,9,5
1445845320,6,11
1445854932,3,6
1445864515,8,9
1445872307,4,7
1445878912,14,6
1445886115,10,3
1445892711,8,7
1445899916,8,11
1445907720,4,7
1445914917,7,6
1445922720,10,8
1445929914,3,4
1445938921,7,6
1445947914,2,6
1445955106,4,10
1445964109,6,7
1445970718,4,5
1445977914,8,7
1445985112,5,8
1445992315,4,10
1445999513,6,10
1446007315,7,6
1446016920,4,2
1446025919,4,7
1446035511,8,6
1446043914,6,2
1446051713,12,7
1446059522,8,0
1446068509,8,7
1446074513,6,0
1446081713,4,4
1446089519,9,8
