DateTime,Entries,UniqueIPs
1443824521,2570,2570
1443832919,2572,2572
1443841929,2577,2577
1443852728,2571,2571
1443863536,2564,2564
1443871925,2565,2565
1443882122,2564,2564
1443892922,2562,2562
1443903121,2564,2564
1443912719,2567,2567
1443919926,2569,2569
1443927725,2568,2568
1443937928,2570,2570
1443946925,2573,2573
1443955925,2574,2574
1443965516,2572,2572
1443974517,2562,2562
1443982906,2567,2567
1443992513,2568,2568
1444001508,2572,2572
1444009918,2569,2569
1444017720,2567,2567
1444026723,2568,2568
1444035117,2565,2565
1444043517,2562,2562
1444051318,2572,2572
1444060912,2566,2566
1444070510,2562,2562
1444079513,2559,2559
1444087919,2552,2552
1444094523,2554,2554
1444102921,2555,2555
1444111924,2560,2560
1444119730,2554,2554
1444128131,2551,2551
1444137727,2547,2547
1444147319,2552,2552
1444155717,2543,2543
1444164114,2539,2539
1444171314,2549,2549
1444179117,2548,2548
1444187524,2547,2547
1444195324,2552,2552
1444203124,2555,2555
1444210928,2553,2553
1444221123,2545,2545
1444230121,2545,2545
1444238517,2546,2546
1444246314,2542,2542
1444254113,2542,2542
1444261919,2542,2542
1444268520,2540,2540
1444276920,2540,2540
1444285313,2536,2536
1444294311,2535,2535
1444303320,2542,2542
1444311714,2533,2533
1444318913,2541,2541
1444327313,2541,2541
1444335119,2540,2540
1444342317,2545,2545
1444349516,2551,2551
1444355514,2551,2551
1444363316,2551,2551
1444371120,2544,2544
1444380119,2540,2540
1444389122,2545,2545
1444397520,2540,2540
1444404712,2545,2545
1444411908,2545,2545
1444418513,2542,2542
1444425711,2539,2539
1444432910,2545,2545
1444440113,2545,2545
1444447312,2550,2550
1444455709,2550,2550
1444464113,2553,2553
1444471312,2559,2559
1444479110,2561,2561
1444485712,2561,2561
1444492911,2569,2569
1444500710,2571,2571
1444508501,2568,2568
1444515707,2564,2564
1444522307,2563,2563
1444529514,2567,2567
1444536718,2574,2574
1444545111,2574,2574
1444552913,2573,2573
1444560118,2572,2572
1444567310,2572,2572
1444574506,2567,2567
1444582308,2570,2570
1444589507,2565,2565
1444596106,2560,2560
1444603316,2558,2558
1444611115,2564,2564
1444618315,2563,2563
1444626118,2563,2563
1444634512,2560,2560
1444642317,2567,2567
1444649520,2568,2568
1444656707,2567,2567
1444663906,2573,2573
1444671109,2573,2573
1444679510,2572,2572
1444687914,2566,2566
1444693909,2570,2570
1444701109,2560,2560
1444708919,2564,2564
1444717316,2564,2564
1444725713,2563,2563
1444735313,2562,2562
1444743710,2558,2558
1444758109,2548,2548
1444766513,2548,2548
1444772509,2551,2551
1444780308,2557,2557
1444788112,2550,2550
1444795306,2548,2548
1444803715,2549,2549
1444813308,2555,2555
1444820517,2556,2556
1444828914,2561,2561
1444837911,2561,2561
1444846304,2556,2556
1444853514,2561,2561
1444861910,2556,2556
1444869109,2564,2564
1444876319,2561,2561
1444884719,2563,2563
1444893723,2559,2559
1444902737,2557,2557
1444911721,2553,2553
1444920716,2555,2555
1444929113,2558,2558
1444938111,2554,2554
1444944711,2557,2557
1444951906,2556,2556
1444959113,2554,2554
1444965712,2556,2556
1444974715,2557,2557
1444983113,2556,2556
1444992712,2557,2557
1445001717,2555,2555
