DateTime,AddedIPs,RemovedIPs
1443754310,26,26
1443762119,25,26
1443769929,25,24
1443779531,26,26
1443789727,25,26
1443814321,22,23
1443824521,26,23
1443832919,21,25
1443841929,24,23
1443852728,23,24
1443863536,24,23
1443871925,24,22
1443882122,26,26
1443892922,23,26
1443903121,19,17
1443912719,23,25
1443919926,19,20
1443927725,25,21
1443937928,25,26
1443946925,26,25
1443955925,23,25
1443965516,24,24
1443974517,22,23
1443982906,24,21
1443992513,27,26
1444001508,24,27
1444009918,25,23
1444017720,25,26
1444026723,24,25
1444035117,25,24
1444043517,22,25
1444051318,23,21
1444060912,24,23
1444070510,24,25
1444079513,23,24
1444087919,26,22
1444094523,24,24
1444102921,24,27
1444111924,25,23
1444119730,22,25
1444128131,27,23
1444137727,21,26
1444147319,26,21
1444155717,24,26
1444164114,24,25
1444171314,25,24
1444179117,24,24
1444187524,23,24
1444195324,26,24
1444203124,24,26
1444210928,25,23
1444221123,23,25
1444230121,25,24
1444238517,22,22
1444246314,25,25
1444254113,23,23
1444261919,25,25
1444268520,22,23
1444276920,24,24
1444285313,23,22
1444294311,23,24
1444303320,24,22
1444311714,24,25
1444318913,20,20
1444327313,23,24
1444335119,25,24
1444342317,22,21
1444349516,23,26
1444355514,24,23
1444363316,23,24
1444371120,24,21
1444380119,24,26
1444389122,25,24
1444397520,24,24
1444404712,23,23
1444411908,26,25
1444418513,23,25
1444425711,22,21
1444432910,24,24
1444440113,25,25
1444447312,20,21
1444455709,25,24
1444464113,23,23
1444471312,22,23
1444479110,24,24
1444485712,24,23
1444492911,24,24
1444500710,24,24
1444508501,24,22
1444515707,21,25
1444522307,21,19
1444529514,26,25
1444536718,21,24
1444545111,24,21
1444552913,24,26
1444560118,20,21
1444567310,21,20
1444574506,21,21
1444582308,24,23
1444589507,22,23
1444596106,23,22
1444603316,22,21
1444611115,22,24
1444618315,21,21
1444626118,22,23
1444634512,24,23
1444642317,23,23
1444649520,24,23
1444656707,22,23
1444663906,25,24
1444671109,23,25
1444679510,24,20
1444687914,22,25
1444693909,22,24
1444701109,25,20
1444708919,24,26
1444717316,21,25
1444725713,26,21
1444735313,23,25
1444743710,22,24
1444766513,23,21
1444772509,24,23
1444780308,19,21
1444788112,22,23
1444795306,24,22
1444803715,25,24
1444813308,23,25
1444820517,27,23
1444828914,26,26
1444837911,26,27
1444846304,25,26
1444853514,24,25
1444861910,25,24
1444869109,26,25
1444876319,26,26
1444884719,25,26
1444893723,23,25
1444902737,24,23
1444911721,25,24
1444920716,22,25
1444929113,24,22
1444938111,24,23
1444944711,22,21
1444951906,24,24
