DateTime,AddedIPs,RemovedIPs
1440225236,16,0
1440248053,56,35
1440250975,12,0
1440263786,57,127
1440265242,21,0
1440276732,18,26
1440280450,39,21
1440296232,88,97
1440302821,15,21
1440309710,53,55
1440311923,16,24
1440337884,21,83
1440342813,92,0
1440347464,67,0
1440351859,21,50
1440362874,15,35
1440369702,63,64
1440383077,79,61
1440388847,11,16
1440394357,63,0
1440398659,16,73
1440423814,16,0
1440427487,50,0
1440428977,61,88
1440437845,11,65
1440448449,23,52
1440453173,63,0
1440472547,70,133
1440477812,54,0
1440484370,26,72
1440505528,52,26
1440510664,21,0
1440524573,26,131
1440528818,100,27
1440535564,16,27
1440542158,61,73
1440555176,75,0
1440563757,36,49
1440571487,26,87
1440597921,30,85
1440601277,65,0
1440601983,55,0
1440611788,11,27
1440621900,27,90
1440636518,68,98
1440641142,65,0
1440649174,32,100
1440660097,7,23
1440683847,39,34
1440689891,58,85
1440699691,56,32
1440708325,34,48
1440716440,50,0
1440726422,69,59
1440733516,29,62
1440735665,18,0
1440744279,23,8
1440762868,77,42
1440773421,109,44
1440783383,29,63
1440793793,28,39
1440800189,62,29
1440821663,66,112
1440829683,32,36
1440848852,52,54
1440855844,26,162
1440867025,81,0
1440870523,29,32
1440881340,26,0
1440886174,55,124
1440898399,65,0
1440906144,29,0
1440909101,27,43
1440916978,32,0
1440936318,54,75
1440942830,16,0
1440944950,33,0
1440956351,24,127
1440966740,18,0
1440974098,54,80
1440984511,63,51
1440995240,34,52
1441002722,27,41
1441021630,60,0
1441028250,14,72
1441039396,60,34
1441042055,22,0
1441052803,29,0
1441055610,30,50
1441078284,53,99
1441081068,36,0
1441088976,26,64
1441107833,62,0
1441117012,24,77
1441126149,54,0
1441129082,28,49
1441139658,20,57
1441154006,54,48
1441158206,55,0
1441165539,26,0
1441167859,23,69
1441175751,21,40
1441193324,54,0
1441202322,21,40
1441209453,87,29
1441214589,27,78
1441226130,18,0
1441235545,58,33
1441252206,60,113
1441254487,26,37
1441262475,21,0
1441282248,71,79
1441287389,28,0
1441290823,62,0
1441301280,31,149
1441311629,17,0
1441316107,57,27
1441338240,24,68
1441347745,77,70
1441367857,59,46
1441374029,34,141
1441383790,76,0
1441387490,20,0
1441397744,17,59
1441405339,57,51
1441423689,62,60
1441424158,28,0
1441434312,31,41
1441454726,58,57
1441460268,22,0
1441473748,50,84
1441484089,43,20
1441489202,40,27
1441509592,24,52
1441512843,44,55
1441522467,68,92
1441546834,37,64
1441551168,45,53
1441559009,76,0
1441560378,27,37
1441575679,60,63
1441597359,36,82
1441600904,55,0
1441601394,33,0
1441608000,28,59
1441629923,62,0
1441633515,18,26
1441637224,65,0
