DateTime,Entries,UniqueIPs
1440250975,6938,6938
1440263786,6960,6960
1440265242,6967,6967
1440276732,6959,6959
1440280450,6945,6945
1440296232,6963,6963
1440302821,6965,6965
1440309710,6973,6973
1440311923,6978,6978
1440337884,6914,6914
1440342813,6959,6959
1440347464,6929,6929
1440351859,6939,6939
1440362874,6929,6929
1440369702,6913,6913
1440383077,6912,6912
1440388847,6860,6860
1440394357,6881,6881
1440398659,6866,6866
1440423814,6844,6844
1440427487,6863,6863
1440428977,6873,6873
1440437845,6878,6878
1440448449,6859,6859
1440453173,6837,6837
1440472547,6816,6816
1440477812,6839,6839
1440484370,6834,6834
1440505528,6804,6804
1440510664,6810,6810
1440524573,6786,6786
1440528818,6862,6862
1440535564,6834,6834
1440542158,6857,6857
1440555176,6851,6851
1440563757,6804,6804
1440571487,6784,6784
1440597921,6745,6745
1440601277,6750,6750
1440601983,6773,6773
1440611788,6777,6777
1440621900,6764,6764
1440636518,6736,6736
1440641142,6763,6763
1440649174,6682,6682
1440660097,6614,6614
1440660097,6614,6614
1440683847,6630,6630
1440689891,6629,6629
1440699691,6661,6661
1440708325,6624,6624
1440716440,6643,6643
1440726422,6676,6676
1440733516,6612,6612
1440735665,6616,6616
1440744279,6586,6586
1440762868,6567,6567
1440773421,6600,6600
1440783383,6617,6617
1440793793,6593,6593
1440800189,6620,6620
1440821663,6535,6535
1440829683,6546,6546
1440848852,6539,6539
1440855844,6484,6484
1440867025,6493,6493
1440870523,6487,6487
1440881340,6480,6480
1440886174,6511,6511
1440898399,6501,6501
1440906144,6472,6472
1440909101,6471,6471
1440916978,6430,6430
1440936318,6429,6429
1440942830,6408,6408
1440944950,6424,6424
1440956351,6427,6427
1440966740,6434,6434
1440974098,6443,6443
1440984511,6471,6471
1440995240,6476,6476
1441002722,6414,6414
1441021630,6436,6436
1441028250,6417,6417
1441039396,6437,6437
1441042055,6440,6440
1441052803,6453,6453
1441055610,6458,6458
1441078284,6449,6449
1441081068,6438,6438
1441088976,6427,6427
1441107833,6438,6438
1441117012,6428,6428
1441126149,6450,6450
1441129082,6392,6392
1441139658,6378,6378
1441154006,6375,6375
1441158206,6404,6404
1441165539,6415,6415
1441167859,6356,6356
1441175751,6331,6331
1441193324,6354,6354
1441202322,6320,6320
1441209453,6366,6366
1441214589,6378,6378
1441226130,6375,6375
1441235545,6369,6369
1441252206,6387,6387
1441254487,6383,6383
1441262475,6372,6372
1441282248,6385,6385
1441287389,6395,6395
1441290823,6419,6419
1441301280,6412,6412
1441311629,6419,6419
1441316107,6422,6422
1441338240,6437,6437
1441347745,6366,6366
1441367857,6374,6374
1441374029,6371,6371
1441383790,6389,6389
1441387490,6403,6403
1441397744,6268,6268
1441405339,6289,6289
1441423689,6312,6312
1441424158,6322,6322
1441434312,6338,6338
1441454726,6359,6359
1441460268,6365,6365
1441473748,6390,6390
1441484089,6409,6409
1441489202,6437,6437
1441509592,6447,6447
1441512843,6471,6471
1441522467,6500,6500
1441546834,6488,6488
1441551168,6507,6507
1441559009,6533,6533
1441560378,6527,6527
1441575679,6533,6533
1441597359,6527,6527
1441600904,6549,6549
1441601394,6542,6542
1441608000,6541,6541
1441629923,6548,6548
1441633515,6557,6557
1441637224,6590,6590
1441646797,6562,6562
1441657792,6555,6555
1441662864,6553,6553
1441686003,6560,6560
1441695755,6568,6568
1441716245,6540,6540
1441720935,6534,6534
1441733219,6562,6562
1441733620,6563,6563
1441745100,6531,6531
1441750503,6565,6565
1441772324,6536,6536
1441780401,6549,6549
1441800559,6550,6550
1441807927,6559,6559
1441819230,6571,6571
1441821028,6567,6567
1441831468,6531,6531
1441844711,6531,6531
1441848587,6547,6547
1441859563,6531,6531
1441867580,6544,6544
1441887796,6528,6528
1441896464,6549,6549
1441906645,6539,6539
1441917899,6535,6535
1441924427,6558,6558
1441942712,6520,6520
1441945742,6535,6535
1441947828,6571,6571
1441954098,6559,6559
1441973041,6505,6505
1441982491,6530,6530
1441993273,6509,6509
1442004717,6517,6517
1442008960,6520,6520
1442022464,6514,6514
1442028564,6496,6496
1442033276,6497,6497
1442039315,6503,6503
1442066574,6490,6490
1442069069,6489,6489
1442076738,6495,6495
1442079234,6509,6509
1442089862,6501,6501
1442095460,6508,6508
1442115970,6486,6486
1442125951,6491,6491
1442127465,6480,6480
1442152456,6494,6494
1442154423,6489,6489
1442165367,6485,6485
1442175974,6475,6475
1442180131,6484,6484
1442201301,6414,6414
1442203386,6454,6454
1442211998,6439,6439
1442241375,6435,6435
1442253603,6435,6435
1442263931,6427,6427
1442267525,6433,6433
1442283803,6428,6428
1442291684,6450,6450
1442299676,6441,6441
1442302777,6441,6441
1442319286,6469,6469
1442324811,6475,6475
1442329315,6483,6483
1442339590,6467,6467
1442350036,6476,6476
1442352603,6473,6473
1442369460,6475,6475
1442375324,6478,6478
1442377727,6491,6491
1442386641,6422,6422
