DateTime,AddedIPs,RemovedIPs
1440248053,89,86
1440250975,81,86
1440263786,92,92
1440265242,85,88
1440276732,31,30
1440280450,68,64
1440296232,116,112
1440302821,87,92
1440309710,93,89
1440311923,85,91
1440337884,39,38
1440342813,116,110
1440347464,88,88
1440351859,99,103
1440362874,38,37
1440369702,95,93
1440383077,105,106
1440388847,91,95
1440394357,96,94
1440398659,89,91
1440423814,40,39
1440427487,73,71
1440428977,85,84
1440437845,82,86
1440448449,44,39
1440453173,92,89
1440472547,99,100
1440477812,85,87
1440484370,77,77
1440505528,92,90
1440510664,85,88
1440524573,38,39
1440528818,104,100
1440535564,93,98
1440542158,90,84
1440555176,100,101
1440563757,92,92
1440571487,64,65
1440597921,45,48
1440601277,91,87
1440601983,63,61
1440611788,82,87
1440621900,47,47
1440636518,100,97
1440641142,93,95
1440649174,94,94
1440660097,12,12
1440683847,63,64
1440689891,94,92
1440699691,101,102
1440708325,58,56
1440716440,79,81
1440726422,97,96
1440733516,87,88
1440735665,29,28
1440744279,57,57
1440762868,112,112
1440773421,127,124
1440783383,90,94
1440793793,48,46
1440800189,95,94
1440821663,114,114
1440829683,64,66
1440848852,90,90
1440855844,94,94
1440867025,112,112
1440870523,93,93
1440881340,52,54
1440886174,89,86
1440898399,83,83
1440906144,84,90
1440909101,47,45
1440916978,59,57
1440936318,99,98
1440942830,87,89
1440944950,52,55
1440956351,55,54
1440966740,35,36
1440974098,93,90
1440984511,93,92
1440995240,84,87
1441002722,67,68
1441021630,97,96
1441028250,86,87
1441039396,101,99
1441042055,88,91
1441052803,47,45
1441055610,56,54
1441078284,90,91
1441081068,68,67
1441088976,73,73
1441107833,96,96
1441117012,86,89
1441126149,92,89
1441129082,92,96
1441139658,49,49
1441154006,96,94
1441158206,81,82
1441165539,90,93
1441167859,46,43
1441175751,65,68
1441193324,89,85
1441202322,91,92
1441209453,130,127
1441214589,99,100
1441226130,42,41
1441235545,90,88
1441252206,91,92
1441254487,61,62
1441262475,60,59
1441282248,97,96
1441287389,87,89
1441290823,80,80
1441301280,69,68
1441311629,41,42
1441316107,89,85
1441338240,80,83
1441347745,119,121
1441367857,84,81
1441374029,100,101
1441383790,112,111
1441387490,87,87
1441397744,33,33
1441405339,93,94
1441423689,101,103
1441424158,117,116
1441434312,68,70
1441454726,93,93
1441460268,91,91
1441473748,65,66
1441484089,62,60
