DateTime,Entries,UniqueIPs
1440635402,1078,1078
1440649802,1085,1085
1440664203,1093,1093
1440664203,1093,1093
1440678602,1099,1099
1440693001,1032,1032
1440707401,1044,1044
1440721802,1053,1053
1440736202,1059,1059
1440750602,1068,1068
1440765002,1079,1079
1440779401,1030,1030
1440793801,1056,1056
1440808202,1069,1069
1440822602,1092,1092
1440837002,1108,1108
1440851402,1120,1120
1440865802,1086,1086
1440880202,1097,1097
1440894605,1102,1102
1440909002,1113,1113
1440923401,1117,1117
1440937802,1126,1126
1440952201,1078,1078
1440966601,1088,1088
1440981002,1096,1096
1440995401,1106,1106
1441009802,1114,1114
1441024202,1121,1121
1441038602,1054,1054
1441053001,1067,1067
1441067402,1076,1076
1441081801,1084,1084
1441096202,1091,1091
1441110602,1095,1095
1441125002,1014,1014
1441139401,1024,1024
1441153802,1029,1029
1441168202,1041,1041
1441182601,1048,1048
1441197002,1055,1055
1441211402,977,977
1441225802,988,988
1441240202,995,995
1441254602,1009,1009
1441269002,1016,1016
1441283404,1027,1027
1441297801,948,948
1441312202,965,965
1441326602,986,986
1441341002,1001,1001
1441355402,1013,1013
1441369802,1041,1041
1441384201,995,995
1441398601,1008,1008
1441413002,1034,1034
1441427401,1047,1047
1441441801,1064,1064
1441456204,1080,1080
1441470602,1026,1026
1441485002,1046,1046
1441499401,1060,1060
1441513802,1071,1071
1441528201,1083,1083
1441542602,1099,1099
1441557001,1052,1052
1441571401,1061,1061
1441585801,1069,1069
1441600202,1094,1094
1441614602,1103,1103
1441629002,1118,1118
1441643402,1069,1069
1441657801,1077,1077
1441672202,1086,1086
1441686602,1094,1094
1441701002,1102,1102
1441715405,1110,1110
1441729804,1057,1057
1441744201,1066,1066
1441758602,1079,1079
1441773002,1096,1096
1441787401,1113,1113
1441801801,1135,1135
1441816201,1077,1077
1441830601,1093,1093
1441845001,1104,1104
1441859402,1118,1118
1441873801,1125,1125
1441888202,1139,1139
1441902601,1078,1078
1441917001,1084,1084
1441931402,1098,1098
1441945804,1116,1116
1441960202,1125,1125
1441974602,1138,1138
1441989001,1092,1092
1442003401,1102,1102
1442017801,1113,1113
1442032202,1120,1120
1442046602,1126,1126
1442061001,1133,1133
1442075402,1144,1144
1442089801,1059,1059
1442104201,1070,1070
1442118602,1081,1081
1442133002,1092,1092
1442147404,1114,1114
1442161802,1054,1054
1442176205,1066,1066
1442190604,1075,1075
1442205004,1079,1079
1442219402,1084,1084
1442233806,1093,1093
1442248201,1056,1056
1442262601,1065,1065
1442277002,1080,1080
1442291402,1094,1094
1442305802,1110,1110
1442320205,1126,1126
1442334602,1085,1085
1442349002,1099,1099
1442363402,1108,1108
1442377802,1129,1129
1442392202,1136,1136
1442406602,1146,1146
1442421004,1116,1116
1442435404,1126,1126
1442449801,1133,1133
1442464201,1143,1143
1442478602,1153,1153
1442493002,1168,1168
1442507401,1117,1117
1442521801,1132,1132
1442536202,1145,1145
1442550602,1153,1153
1442565002,1163,1163
1442579404,1164,1164
1442593801,1093,1093
1442608202,1103,1103
1442622602,1121,1121
1442637002,1127,1127
1442651401,1131,1131
1442665802,1137,1137
1442680201,1029,1029
1442694602,1036,1036
1442709002,1041,1041
1442723401,1048,1048
1442737801,1060,1060
1442752204,1067,1067
1442766604,988,988
1442781004,1005,1005
1442795404,1019,1019
1442809804,1030,1030
1442824204,1043,1043
1442838604,1068,1068
1442853002,998,998
1442867402,1005,1005
1442881801,1021,1021
1442896202,1032,1032
1442910602,1038,1038
1442925005,1045,1045
1442939404,1004,1004
1442953805,1015,1015
1442968204,1023,1023
1442982604,1033,1033
1442997004,1041,1041
1443011404,1054,1054
1443025804,991,991
1443040202,1010,1010
1443054602,1026,1026
1443069002,1036,1036
1443083402,1050,1050
1443097804,1062,1062
1443112204,979,979
1443126603,991,991
1443141004,995,995
1443155404,999,999
1443169804,1004,1004
1443184204,1020,1020
1443198604,960,960
1443213004,970,970
1443227404,979,979
1443241804,986,986
1443256204,993,993
1443270604,1000,1000
1443285004,952,952
1443299404,968,968
1443313804,974,974
1443328204,985,985
1443342604,992,992
1443357004,996,996
1443371404,956,956
1443385804,963,963
1443400204,970,970
1443414604,976,976
1443429004,981,981
1443443404,993,993
1443457804,928,928
1443472204,938,938
1443486604,953,953
1443501004,958,958
1443515404,965,965
1443529804,968,968
1443544204,909,909
1443558604,918,918
1443573004,937,937
1443587404,962,962
1443601804,980,980
1443616204,995,995
1443630604,931,931
1443645004,947,947
1443659404,962,962
1443673804,979,979
1443688204,984,984
1443702604,995,995
1443717004,951,951
1443731402,993,993
1443745801,1005,1005
1443760201,1015,1015
1443774601,1025,1025
1443789004,1035,1035
1443803404,987,987
1443817805,1005,1005
1443832204,1014,1014
1443846605,1023,1023
1443861005,1032,1032
1443875404,1040,1040
1443889804,983,983
1443904205,1001,1001
1443918604,1006,1006
1443933003,1015,1015
1443947404,1025,1025
1443961804,1034,1034
1443976204,1003,1003
1443990604,1016,1016
1444005004,1025,1025
1444019404,1041,1041
1444033804,1057,1057
1444048204,1065,1065
1444062604,999,999
1444077004,1015,1015
1444091404,1034,1034
1444105804,1045,1045
1444120204,1053,1053
1444134605,1068,1068
