DateTime,Entries,UniqueIPs
1433692800,9408,9408
1433736000,9492,9492
1433779200,9624,9624
1433822400,10116,10116
1433865600,10136,10136
1433908800,10254,10254
1433952000,10158,10158
1433995200,9945,9945
1434038400,9671,9671
1434081600,9136,9136
1434124800,8373,8373
1434168000,7640,7640
1434213000,7221,7221
1434256200,7075,7075
1434256200,7075,7075
1434256200,7075,7075
1434256200,7075,7075
1434256200,7075,7075
1434256200,7075,7075
1434303000,6547,6547
1434303000,6547,6547
1434346200,6284,6284
1434389400,6533,6533
1434432600,6829,6829
1434475800,7198,7198
1434519000,7656,7656
1434562200,8463,8463
1434605400,9007,9007
1434605400,9007,9007
1434648600,9075,9075
1434691800,8006,8006
1434691800,8006,8006
1434735000,9562,9562
1434778200,8362,8362
1434821400,9449,9449
1434864600,8844,8844
1434907800,8386,8386
1434951000,7986,7986
1434994200,7901,7901
1435037400,8020,8020
1435080600,8246,8246
1435123800,8378,8378
1435167000,8518,8518
1435210200,8821,8821
1435253400,8701,8701
1435296600,8840,8840
1435339800,8898,8898
1435383000,8969,8969
1435426200,9369,9369
1435469400,9213,9213
1435512600,8636,8636
1435555800,7299,7299
1435599000,8221,8221
1435642200,7694,7694
1435685400,8761,8761
1435728600,8626,8626
1435771800,8675,8675
1435815000,8235,8235
1435858200,7682,7682
1435901400,7342,7342
1435944600,6870,6870
1435987800,5567,5567
1436031000,1927,1927
1436074200,1846,1846
1436117400,655,655
1436160600,631,631
1436203800,6082,6082
1436247000,6821,6821
1436290200,7066,7066
1436333400,6478,6478
1436376600,6933,6933
1436419800,7002,7002
1436463000,7024,7024
1436506200,6852,6852
1436549400,6776,6776
1436612400,6720,6720
1436655600,7167,7167
1436698800,7242,7242
1436742000,7273,7273
1436785200,6863,6863
1436828400,6660,6660
1436871600,6613,6613
1436914800,6104,6104
1436958000,5992,5992
1437001200,6148,6148
1437044400,6317,6317
1437087600,5921,5921
1437130800,4931,4931
1437174000,1835,1835
1437217200,1761,1761
1437260400,641,641
1437303600,629,629
1437346800,614,614
1437390000,6320,6320
1437433200,7947,7947
1437476400,8622,8622
1437519600,8433,8433
1437562800,8162,8162
1437660000,8756,8756
1437703200,9285,9285
1437746400,9369,9369
1437789600,9027,9027
1437832800,8809,8809
1437876000,8272,8272
1437919200,7816,7816
1437962400,7717,7717
1438005600,7632,7632
1438048800,8640,8640
1438092000,8461,8461
1438135200,9551,9551
1438178400,9821,9821
1438221600,9709,9709
1438264800,8783,8783
1438308000,7868,7868
1438351200,6599,6599
1438394400,4835,4835
1438437600,1858,1858
1438480800,1797,1797
1438524000,737,737
1438567200,719,719
1438610400,12907,12907
1438653600,15182,15182
1438696800,15332,15332
1438740000,6450,6450
1438783200,4441,4441
1438947003,5967,5967
1438990200,6409,6409
1439033400,6805,6805
1439076600,7575,7575
1439119800,7794,7794
1439163000,7544,7544
1439163000,7544,7544
1439163000,7544,7544
1439163000,7544,7544
1439206200,7666,7666
1439206200,7666,7666
1439249400,6226,6226
1439292600,7646,7646
1439335800,8674,8674
1439379000,9118,9118
1439422200,9662,9662
1439465400,9855,9855
1439508600,8682,8682
1439551800,7923,7923
1439595000,7771,7771
1439638200,7149,7149
1439638200,7149,7149
1439681400,8130,8130
1439724600,8126,8126
1439767800,9414,9414
1439811000,9828,9828
1439854200,9500,9500
1439897400,9527,9527
1439940600,9421,9421
1439983800,10235,10235
1440027000,9683,9683
1440070200,9999,9999
1440113400,9394,9394
1440158400,8618,8618
1440158400,8618,8618
1440201600,8242,8242
1440244800,9182,9182
1440288000,10847,10847
1440331200,12010,12010
1440374400,12558,12558
1440417600,13312,13312
1440460800,13820,13820
1440504000,13445,13445
1440547200,12833,12833
1440590400,8184,8184
1440633600,7652,7652
1440633600,7652,7652
1440676800,7927,7927
1440720000,9701,9701
1440763200,10211,10211
1440806400,10239,10239
1440849600,10378,10378
1440892800,10150,10150
1440936000,9611,9611
1440979200,9021,9021
1441022400,8783,8783
1441065600,9061,9061
1441108800,9473,9473
1441152000,9522,9522
1441195200,9425,9425
1441238400,9299,9299
1441281600,9131,9131
1441324800,8639,8639
1441368000,8027,8027
1441411200,7704,7704
1441454400,7741,7741
1441497600,7821,7821
1441540800,7998,7998
1441584000,8430,8430
1441627200,9038,9038
1441670400,11045,11045
1441713600,13741,13741
1441756800,14036,14036
1441800000,14098,14098
1441843200,17506,17506
1441886400,11930,11930
1441929600,11837,11837
1441972800,12185,12185
1442016000,11054,11054
1442059200,9580,9580
1442102400,9772,9772
1442145600,9952,9952
1442188800,9530,9530
1442232000,9672,9672
1442275200,9723,9723
1442318400,9750,9750
1442361600,11130,11130
1442404800,11484,11484
1442448000,12270,12270
1442491200,12365,12365
1442534400,12261,12261
1442577600,12714,12714
1442620800,12938,12938
1442664000,12868,12868
1442707200,12383,12383
1442750400,12156,12156
1442793600,12068,12068
1442836800,11693,11693
1442880000,11478,11478
1442923200,11142,11142
1442966400,11006,11006
1443009600,10976,10976
1443052800,11205,11205
1443096000,11572,11572
1443139200,12076,12076
1443182400,12677,12677
1443225600,13136,13136
1443268800,12750,12750
1443312000,12242,12242
1443355200,11505,11505
1443398400,10479,10479
1443441600,9556,9556
1443484800,8876,8876
1443528000,9463,9463
1443571200,9991,9991
1443614400,10547,10547
1443657600,11342,11342
1443700800,11808,11808
1443744000,12115,12115
1443787200,11762,11762
1443830400,11323,11323
1443873600,10863,10863
1443917700,9920,9920
1443960900,9261,9261
1444004100,7958,7958
1444047300,7739,7739
1444090500,7926,7926
1444133700,8100,8100
1444176900,8724,8724
1444220100,9090,9090
1444263300,9170,9170
1444306500,8893,8893
1444349700,8522,8522
1444392900,8195,8195
1444436100,7764,7764
1444479300,7502,7502
1444522500,7338,7338
1444565700,7253,7253
1444608900,7146,7146
1444652100,7373,7373
1444695300,7898,7898
1444738500,8249,8249
1444781700,8384,8384
1444824900,8422,8422
1444868100,8213,8213
1444911300,8020,8020
1444954500,7875,7875
1444997700,7757,7757
1445040900,7692,7692
1445084100,7661,7661
1445127300,7895,7895
1445170500,8096,8096
1445213700,8336,8336
1445256900,8517,8517
1445300100,8695,8695
1445343300,8937,8937
1445386500,9510,9510
1445429700,9508,9508
1445472900,9512,9512
1445537700,9669,9669
1445580900,9729,9729
1445624100,9155,9155
1445969700,8620,8620
1446012900,8623,8623
1446057000,8513,8513
1446100200,8529,8529
1446143400,8503,8503
1446187500,8252,8252
1446230700,8185,8185
1446274800,8061,8061
1446318000,7690,7690
1446361200,7225,7225
1446404400,7162,7162
1446448500,7223,7223
1446491700,7302,7302
1446534900,7424,7424
1446578100,7341,7341
1446621300,7396,7396
1446687000,7385,7385
