DateTime,Entries,UniqueIPs
1444768921,726,726
1444769522,740,740
1444770726,741,741
1444771921,747,747
1444772522,748,748
1444773122,742,742
1444774322,745,745
1444775521,750,750
1444776122,735,735
1444776722,733,733
1444777922,735,735
1444779122,731,731
1444779721,732,732
1444780322,733,733
1444781522,721,721
1444782722,729,729
1444783323,727,727
1444783921,727,727
1444785121,726,726
1444786322,731,731
1444786922,731,731
1444787522,723,723
1444788722,717,717
1444789922,712,712
1444790522,706,706
1444791122,709,709
1444792322,711,711
1444793522,717,717
1444794722,718,718
1444795922,713,713
1444797121,717,717
1444797722,717,717
1444798321,714,714
1444799522,718,718
1444800722,719,719
1444801322,719,719
1444801922,712,712
1444803722,709,709
1444804922,711,711
1444805522,712,712
1444806722,714,714
1444807922,720,720
1444808522,721,721
1444809122,722,722
1444810322,719,719
1444811522,722,722
1444812122,724,724
1444813322,728,728
1444814522,728,728
1444815722,738,738
1444816321,737,737
1444817522,736,736
1444818722,719,719
1444819322,719,719
1444821122,721,721
1444822321,716,716
1444822922,715,715
1444823521,720,720
1444824725,721,721
1444825922,709,709
1444827122,711,711
1444828322,711,711
1444829521,715,715
1444830122,712,712
1444830721,715,715
1444831922,718,718
1444833122,718,718
1444834321,714,714
1444835521,714,714
1444836722,718,718
1444837322,719,719
1444837922,718,718
1444839122,722,722
1444840322,725,725
1444840922,721,721
1444842121,720,720
1444843322,718,718
1444844521,714,714
1444845121,714,714
1444846322,704,704
1444847522,707,707
1444848124,709,709
1444848722,714,714
1444851122,713,713
1444851722,712,712
1444852322,712,712
1444853522,715,715
1444854722,715,715
1444855322,708,708
1444855922,704,704
1444857122,708,708
1444858322,709,709
1444858922,711,711
1444859522,711,711
1444860724,714,714
1444861922,714,714
1444863122,714,714
1444864322,716,716
1444865522,711,711
1444866122,711,711
1444866722,715,715
1444867922,716,716
1444869122,716,716
1444870322,716,716
1444872722,722,722
1444873322,723,723
1444875122,724,724
1444876322,725,725
1444876922,726,726
1444877522,731,731
1444878724,722,722
1444879923,727,727
1444880522,706,706
1444881122,705,705
1444883523,689,689
1444884123,683,683
1444885923,681,681
1444887123,683,683
1444887723,684,684
1444888322,684,684
1444889523,686,686
1444890723,684,684
1444891322,687,687
1444891923,687,687
1444893123,688,688
1444894323,689,689
1444894922,693,693
1444895522,681,681
1444897922,675,675
1444899123,664,664
1444900323,664,664
1444902122,666,666
1444903923,667,667
1444905123,659,659
1444905723,657,657
1444906922,650,650
1444908123,645,645
1444909323,649,649
1444909923,651,651
1444911123,656,656
1444912322,654,654
1444912922,648,648
1444913522,647,647
1444914722,638,638
1444915922,638,638
1444916522,639,639
1444917122,626,626
1444920122,621,621
1444920721,624,624
1444921927,627,627
1444923122,623,623
1444923722,620,620
1444925528,623,623
1444926722,621,621
1444927322,620,620
1444927922,619,619
1444929122,617,617
1444930322,619,619
1444930921,620,620
1444931522,622,622
1444932722,622,622
1444933922,620,620
1444934521,619,619
1444935122,623,623
1444937522,621,621
1444938121,620,620
1444938722,623,623
1444939922,621,621
1444941122,634,634
1444941722,643,643
1444942322,644,644
1444943522,647,647
1444944722,649,649
1444945322,650,650
1444945922,674,674
1444947121,675,675
1444948323,682,682
1444948922,669,669
1444949521,671,671
1444950722,673,673
1444951922,674,674
1444953122,670,670
1444954322,678,678
1444955522,652,652
1444956122,653,653
1444956722,646,646
1444957922,647,647
1444959122,644,644
1444959722,647,647
1444960322,641,641
1444961522,637,637
1444963922,639,639
1444965122,639,639
1444966321,639,639
1444966922,639,639
1444968722,636,636
1445096524,80,80
1445574123,80,80
1445922122,80,80
1445923321,146,146
1445924521,192,192
1445925122,234,234
1445926321,269,269
1445927521,292,292
1445928722,308,308
1445929922,319,319
1445931121,324,324
1445931721,336,336
1445932321,343,343
1445933522,354,354
1445934722,366,366
1445935322,371,371
1445935921,376,376
1445938321,377,377
1445938921,384,384
1445939522,397,397
1445940722,398,398
1445941921,405,405
1445943122,408,408
1445944321,410,410
1445946122,422,422
1445946721,430,430
1445947922,433,433
1445949722,437,437
1445950321,438,438
1445952722,441,441
1445953922,444,444
1445955122,447,447
1445956321,450,450
1445959921,454,454
1445960521,459,459
1445961122,460,460
1445962322,462,462
1445963522,467,467
1445964121,472,472
1445964722,473,473
1445965922,482,482
1445967122,484,484
1445967721,488,488
1445968321,491,491
1445969521,496,496
1445970722,498,498
1445971922,502,502
1445973722,504,504
1445974921,506,506
1445975522,509,509
1445976722,513,513
1445978522,514,514
1445979724,523,523
1445981521,526,526
1445982721,527,527
1445983322,528,528
1445986322,530,530
1445988121,532,532
1445989321,535,535
1445989921,536,536
1445992322,543,543
1445993521,548,548
1445996521,553,553
1445997121,555,555
1445998322,558,558
1445999522,565,565
1446000721,566,566
1446003122,568,568
1446003722,569,569
1446004322,570,570
1446005521,576,576
1446006722,578,578
1446007921,582,582
1446009123,587,587
1446010321,588,588
1446010922,588,588
1446011522,589,589
1446012722,586,586
1446013921,586,586
1446015122,584,584
1446017522,584,584
1446018721,580,580
1446019921,581,581
1446021122,577,577
1446021722,580,580
1446022322,582,582
1446024722,579,579
1446025322,580,580
1446025922,578,578
1446027121,575,575
1446028321,569,569
1446029522,561,561
1446030722,557,557
1446031922,556,556
1446034922,553,553
1446036121,554,554
1446037322,561,561
1446038522,548,548
1446039721,549,549
1446040322,550,550
1446041522,549,549
1446042722,552,552
1446043921,550,550
1446044522,557,557
1446045723,558,558
1446046922,559,559
1446047521,558,558
1446048721,558,558
1446049921,571,571
1446051122,570,570
1446052321,568,568
1446054122,568,568
1446057721,555,555
1446058321,558,558
1446059522,573,573
1446061322,579,579
1446061922,606,606
1446063122,618,618
1446064322,625,625
1446065521,633,633
1446066722,631,631
1446067921,634,634
1446068522,638,638
1446069122,640,640
1446070322,643,643
1446071521,645,645
1446072722,648,648
1446073922,678,678
1446075122,682,682
1446076322,691,691
1446077522,695,695
1446078722,699,699
1446079321,697,697
1446079922,696,696
1446081122,698,698
1446082322,703,703
1446082923,707,707
1446083521,710,710
1446084722,711,711
1446085922,702,702
1446087121,700,700
1446088322,701,701
1446089521,703,703
1446090722,688,688
1446091922,689,689
1446093722,692,692
1446094322,695,695
1446095522,704,704
1446096722,701,701
1446097322,703,703
1446099122,698,698
1446100322,698,698
1446101522,700,700
1446102722,700,700
1446103922,692,692
1446105121,697,697
1446106922,698,698
1446108122,701,701
1446108722,700,700
1446109922,701,701
1446111121,702,702
1446112322,703,703
1446113521,702,702
1446114721,703,703
1446115922,704,704
1446117122,694,694
1446118322,698,698
1446119522,695,695
1446120722,698,698
1446121922,699,699
1446122522,694,694
1446123122,696,696
1446124322,696,696
1446125522,696,696
1446126122,699,699
1446126722,703,703
1446127921,702,702
1446129122,707,707
1446130322,704,704
1446131522,705,705
1446132722,708,708
1446135123,713,713
1446136322,712,712
1446137521,711,711
1446138722,713,713
1446139922,710,710
1446141122,705,705
1446142322,710,710
1446143521,720,720
1446144722,716,716
1446145922,712,712
1446147121,709,709
1446148322,707,707
1446149522,706,706
1446150723,698,698
1446151922,683,683
1446153122,683,683
1446154322,673,673
1446154922,677,677
1446155521,667,667
1446156722,666,666
1446157922,649,649
1446159122,651,651
1446160323,650,650
1446161522,639,639
1446162722,628,628
1446168122,618,618
1446169323,629,629
1446170522,625,625
1446171722,623,623
1446172922,625,625
1446173522,624,624
1446174722,622,622
1446175922,622,622
1446178322,623,623
1446179523,627,627
1446180721,627,627
1446181921,624,624
1446183122,629,629
1446183722,632,632
1446184322,631,631
1446185522,633,633
1446186723,627,627
1446187922,633,633
1446189121,634,634
1446190321,637,637
1446190922,637,637
1446191521,634,634
1446192721,635,635
1446193922,635,635
1446195122,630,630
1446196322,630,630
1446197522,627,627
1446198122,626,626
1446198722,621,621
1446199922,620,620
1446201122,622,622
1446203522,651,651
1446204722,680,680
1446205922,700,700
1446207122,714,714
1446208322,737,737
1446209522,735,735
1446210722,734,734
1446211921,736,736
1446213121,731,731
1446214322,736,736
1446215521,733,733
1446216721,739,739
1446217922,742,742
1446219122,743,743
1446220321,746,746
1446221522,749,749
1446222722,751,751
1446223922,748,748
1446225122,750,750
1446226322,752,752
1446227521,758,758
1446228722,744,744
1446229922,742,742
1446231122,743,743
1446232322,740,740
1446233521,739,739
1446234722,742,742
1446235922,734,734
1446237122,737,737
1446238322,737,737
1446240122,731,731
1446241322,732,732
1446241922,731,731
1446243121,730,730
1446243721,733,733
1446244922,732,732
1446245522,734,734
1446247322,734,734
1446248522,733,733
1446249721,733,733
1446250922,735,735
1446252722,736,736
1446253922,737,737
1446255121,736,736
1446256321,738,738
1446257521,739,739
1446258722,734,734
1446259921,740,740
1446262321,727,727
1446263522,726,726
1447223527,80,80
1447675922,80,80
1448055121,80,80
1448057521,152,152
1448058722,202,202
1448059921,258,258
1448061122,288,288
1448062922,324,324
1448064121,368,368
1448065321,399,399
1448066521,417,417
1448067122,433,433
1448068322,462,462
1448069522,474,474
1448070722,497,497
1448071921,505,505
1448073121,526,526
