DateTime,AddedIPs,RemovedIPs
1444809122,56,56
1444810322,56,56
1444811522,66,66
1444812122,76,76
1444813322,59,59
1444814522,75,75
1444815722,72,72
1444816321,65,65
1444817522,64,64
1444818722,70,70
1444819322,78,78
1444819922,37,37
1444821122,65,65
1444822321,59,59
1444822922,55,55
1444823521,80,80
1444824725,62,62
1444825922,65,65
1444826522,70,70
1444827122,71,71
1444828322,69,69
1444829521,61,61
1444830122,45,45
1444830721,74,74
1444831922,68,68
1444833122,63,63
1444833721,72,72
1444834321,30,30
1444835521,70,70
1444836722,65,65
1444837322,64,64
1444837922,56,56
1444839122,60,60
1444840322,56,56
1444840922,63,63
1444842121,65,65
1444843322,62,62
1444844521,66,66
1444845121,56,56
1444846322,63,63
1444847522,53,53
1444848124,44,44
1444848722,69,69
1444849922,47,47
1444851122,38,38
1444851722,32,32
1444852322,62,62
1444853522,66,66
1444854722,65,65
1444855322,64,64
1444855922,75,75
1444857122,67,67
1444858322,40,40
1444858922,72,72
1444859522,62,62
1444860724,57,57
1444861922,57,57
1444862523,72,72
1444863122,38,38
1444864322,68,68
1444865522,72,72
1444866122,52,52
1444866722,80,80
1444867922,64,64
1444869122,72,72
1444869723,74,74
1444870322,78,78
1444871523,45,45
1444872722,53,53
1444873322,71,71
1444873921,65,65
1444875122,56,56
1444876322,75,75
1444876922,40,40
1444877522,55,55
1444878724,70,70
1444879923,68,68
1444880522,74,74
1444881122,62,62
1444882323,55,55
1444883523,59,59
1444884123,58,58
1444884723,24,24
1444885923,37,37
1444887123,73,73
1444887723,48,48
1444888322,55,55
1444889523,58,58
1444890723,66,66
1444891322,80,80
1444891923,73,73
1444893123,55,55
1444894323,76,76
1444894922,48,48
1444895522,36,36
1444896723,63,63
1444897922,32,32
1444898523,64,64
1444899123,59,59
1444900323,64,64
1444901523,47,47
1444902122,63,63
1444902723,50,50
1444903923,37,37
1444905123,56,56
1444905723,56,56
1444906922,53,53
1444908123,67,67
1444909323,61,61
1444909923,70,70
1444911123,36,36
1444912322,46,46
1444912922,73,73
1444913522,79,79
1444914722,32,32
1444915922,41,41
1444916522,71,71
1444917122,67,67
1444918921,59,59
1444920122,60,60
1444920721,79,79
1444921927,76,76
1444923122,73,73
1444923722,52,52
1444924323,24,24
1444925528,59,59
1444926722,61,61
1444927322,66,66
1444927922,75,75
1444929122,46,46
1444930322,64,64
1444930921,71,71
1444931522,68,68
1444932722,57,57
1444933922,55,55
1444934521,61,61
1444935122,65,65
1444936322,56,56
1444937522,42,42
1444938121,58,58
1444938722,70,70
1444939922,65,65
1444941122,45,45
1444941722,54,54
1444942322,32,32
1444943522,66,66
1444944722,67,67
1444945322,50,50
1444945922,72,72
1444947121,62,62
1444948323,59,59
1444948922,51,51
1444949521,41,41
1444950722,60,60
1444951922,62,62
1444953122,58,58
1444954322,61,61
1444955522,60,60
1444956122,50,50
1444956722,50,50
1444957922,51,51
1444959122,61,61
1444959722,73,73
1444960322,31,31
1444961522,72,72
1444962723,50,50
1444963922,60,60
1444965122,71,71
1444966321,66,66
1444966922,59,59
1444967522,72,72
1444968722,59,59
1445096524,69,69
1445574123,71,71
1445922122,70,70
1445923321,66,66
1445924521,69,69
1445925122,60,60
1445926321,69,69
1445927521,64,64
1445928722,56,56
1445929922,61,61
1445931121,60,60
1445931721,65,65
1445932321,78,78
1445933522,54,54
1445934722,50,50
1445935322,69,69
1445935921,62,62
1445937122,37,37
1445938321,34,34
1445938921,80,80
1445939522,69,69
1445940722,61,61
1445941921,72,72
1445943122,76,76
1445944321,67,67
1445945521,54,54
1445946122,67,67
1445946721,68,68
1445947922,54,54
1445949121,44,44
1445949722,70,70
1445950321,73,73
1445951522,38,38
1445952722,70,70
1445953321,44,44
1445953922,76,76
1445955122,57,57
1445956321,63,63
1445957522,78,78
1445958723,51,51
1445959921,62,62
1445960521,40,40
1445961122,42,42
1445962322,54,54
1445963522,64,64
1445964121,62,62
1445964722,20,20
1445965922,66,66
1445967122,54,54
1445967721,77,77
1445968321,49,49
1445969521,74,74
1445970722,72,72
1445971922,52,52
1445973722,57,57
1445974921,63,63
1445975522,65,65
1445976722,66,66
1445978522,58,58
1445979724,53,53
1445981521,57,57
1445982721,50,50
1445983322,55,55
1445984521,69,69
1445986322,61,61
1445988121,58,58
1445989321,64,64
1445989921,49,49
1445991121,57,57
1445992322,62,62
1445992922,52,52
1445993521,67,67
1445994721,65,65
1445995921,65,65
1445996521,54,54
1445997121,53,53
1445998322,67,67
1445999522,68,68
1446000721,47,47
1446001922,51,51
1446003122,68,68
1446003722,77,77
1446004322,33,33
1446005521,63,63
1446006722,76,76
1446007921,55,55
1446009123,60,60
1446010321,68,68
1446010922,64,64
1446011522,70,70
1446012722,65,65
1446013921,65,65
1446015122,75,75
1446016322,64,64
1446017522,58,58
1446018721,57,57
1446019921,57,57
1446021122,66,66
1446021722,63,63
1446022322,33,33
1446023521,63,63
1446024722,72,72
1446025322,56,56
1446025922,78,78
1446027121,73,73
1446028321,33,33
1446029522,65,65
1446030722,61,61
1446031922,62,62
1446033121,58,58
1446034922,55,55
1446036121,44,44
1446037322,73,73
1446038522,68,68
1446039721,51,51
1446040322,38,38
1446041522,60,60
1446042722,55,55
1446043921,63,63
1446044522,76,76
1446045723,58,58
1446046922,62,62
1446047521,55,55
1446048721,44,44
1446049921,73,73
1446051122,58,58
1446052321,44,44
1446054122,53,53
1446057721,73,73
1446058321,73,73
1446059522,66,66
1446061322,65,65
1446061922,76,76
1446063122,75,75
1446064322,76,76
1446065521,70,70
1446066722,68,68
1446067921,67,67
1446068522,77,77
1446069122,76,76
1446070322,65,65
1446071521,69,69
1446072722,52,52
1446073922,73,73
1446075122,67,67
1446076322,73,73
1446077522,66,66
1446078722,65,65
1446079321,30,30
1446079922,54,54
1446081122,72,72
1446082322,70,70
1446082923,66,66
1446083521,71,71
1446084722,58,58
1446085922,58,58
1446087121,35,35
1446088322,58,58
1446089521,58,58
1446090722,44,44
1446091922,39,39
1446093722,61,61
1446094322,76,76
1446095522,76,76
1446096722,66,66
1446097322,59,59
1446097922,65,65
1446099122,66,66
1446100322,66,66
1446101522,73,73
1446102722,61,61
1446103922,69,69
1446105121,69,69
1446106922,59,59
1446108122,68,68
1446108722,65,65
1446109922,60,60
1446111121,56,56
1446112322,60,60
1446113521,71,71
1446114721,59,59
1446115922,67,67
1446117122,48,48
1446118322,74,74
1446119522,68,68
1446120722,70,70
1446121922,57,57
1446122522,69,69
1446123122,61,61
1446124322,65,65
1446125522,62,62
1446126122,68,68
1446126722,75,75
1446127921,61,61
1446129122,53,53
1446130322,60,60
1446131522,63,63
1446132722,47,47
1446133922,46,46
1446135123,71,71
1446136322,66,66
1446137521,70,70
1446138722,65,65
1446139922,68,68
1446141122,50,50
1446142322,52,52
1446143521,65,65
1446144722,69,69
1446145922,69,69
1446147121,68,68
1446148322,62,62
1446149522,59,59
1446150723,60,60
1446151922,72,72
1446153122,64,64
1446154322,65,65
1446154922,50,50
1446155521,72,72
1446156722,64,64
1446157922,56,56
1446159122,61,61
1446160323,56,56
1446161522,56,56
1446162722,50,50
1446168122,65,65
1446169323,74,74
1446170522,64,64
1446171722,67,67
1446172922,51,51
1446173522,73,73
1446174722,44,44
1446175922,51,51
1446177122,69,69
1446178322,70,70
1446179523,71,71
1446180721,72,72
1446181921,57,57
1446183122,61,61
1446183722,63,63
1446184322,22,22
1446185522,38,38
1446186723,67,67
1446187922,42,42
1446189121,51,51
1446190321,75,75
1446190922,59,59
1446191521,44,44
1446192721,71,71
1446193922,76,76
1446195122,54,54
1446196322,48,48
1446197522,33,33
1446198122,28,28
1446198722,78,78
1446199922,40,40
1446201122,48,48
1446202322,41,41
1446203522,76,76
1446204722,73,73
1446205922,74,74
1446207122,67,67
1446208322,56,56
1446209522,72,72
1446210722,43,43
1446211921,62,62
1446213121,59,59
1446214322,55,55
1446215521,65,65
1446216721,68,68
1446217922,71,71
1446219122,65,65
1446220321,64,64
1446221522,76,76
1446222722,72,72
1446223922,52,52
1446225122,56,56
1446226322,66,66
1446227521,69,69
1446228722,61,61
1446229922,60,60
1446231122,43,43
1446232322,35,35
1446233521,40,40
1446234722,65,65
1446235922,47,47
1446237122,51,51
1446238322,63,63
1446238922,47,47
1446240122,66,66
1446241322,59,59
1446241922,48,48
1446243121,26,26
1446243721,70,70
1446244922,36,36
1446245522,67,67
1446246122,16,16
1446247322,58,58
1446248522,66,66
1446249721,57,57
1446250922,65,65
1446252121,56,56
1446252722,51,51
1446253922,63,63
1446255121,55,55
1446256321,32,32
1446257521,58,58
1446258722,60,60
1446259921,67,67
1446261122,49,49
1446262321,64,64
1446263522,46,46
1446264122,40,40
1447223527,73,73
1447675922,72,72
1448055121,78,78
1448057521,72,72
1448058722,53,53
1448059921,67,67
1448061122,79,79
1448062922,69,69
1448064121,79,79
1448065321,79,79
1448066521,72,72
1448067122,63,63
1448068322,68,68
1448069522,79,79
1448070722,79,79
1448071921,74,74
