DateTime,Entries,UniqueIPs
1440031452,583814,595409
1440031452,583814,595409
1440033614,583815,595410
1440040001,583816,595411
1440054392,583818,595413
1440072391,583817,595412
1440075968,583818,595413
1440079601,583819,595414
1440090398,583820,595415
1440108395,583821,595416
1440122804,583822,595417
1440137196,583821,595416
1440151606,583948,595566
1440155201,583948,595566
1440183993,583945,595563
1440216396,583946,595564
1440230801,583952,595577
1440295592,583954,595579
1440331610,584044,595673
1440371212,584047,595676
1440389198,584049,595678
1440399996,584090,595720
1440414396,584089,595719
1440439598,584090,595720
1440486399,584212,595847
1440489994,584212,595848
1440507994,584212,595848
1440515202,584213,595849
1440561995,584214,595850
1440569191,584215,595851
1440576400,584304,595944
1440590811,584305,595945
1440608799,584304,595944
1440659203,584351,595992
1440659203,584351,595992
1440673623,584350,595991
1440677196,584351,595992
1440691623,584351,595992
1440702415,584351,595992
1440731202,584352,595993
1440738398,584355,595996
1440745595,584390,596033
1440759994,584392,596035
1440799604,584392,596036
1440810393,584391,596035
1440842803,584427,596072
1440849996,584429,596074
1440857195,584431,596076
1440875192,584432,596077
1440896792,584433,596078
1440903995,584434,596079
1440918391,584466,596111
1440925591,584467,596112
1440954394,584468,596113
1440968793,584469,596114
1441001212,584470,596115
1441004802,584506,596153
1441019209,584507,596154
1441026404,584507,596154
1441044398,584506,596153
1441051597,584506,596153
1441055196,584507,596154
1441065994,584503,596150
1441069663,584504,596151
1441102004,584546,596193
1441105600,584547,596194
1441177571,584567,596216
1441263968,584597,596248
1441289188,584598,596249
1441299974,584599,596250
1441325166,584600,596251
1441328797,584601,596252
1441361187,584628,596279
1441372011,584627,596278
1441400785,584628,596279
1441443971,584664,596317
1441465591,584665,596318
1441480939,584666,596319
1441595399,584667,596320
1441620392,584698,596353
1441667414,584699,596354
1441681587,584698,596353
1441695970,584722,596377
1441721187,584719,596374
1441735894,584717,596372
1441782381,584726,596381
1441789583,584725,596380
1441793190,584726,596381
1441818400,584728,596383
1441832795,584729,596384
1441879591,584748,596403
1441901198,584747,596402
1441904775,584748,596403
1441919209,584749,596404
1441958794,584760,596415
1441983984,584761,596416
1442027363,584762,596417
1442041667,584770,596425
1442135182,584778,596434
1442167596,584779,596435
1442196374,584778,596434
1442214370,584788,596444
1442293575,584789,596445
1442300779,584800,596456
1442344003,584801,596457
1442387178,584811,596467
1442397991,584813,596469
1442401581,584814,596470
1442487984,584838,596495
1442523984,584837,596494
1442563581,584850,596508
1442588790,584850,596508
1442603183,584851,596509
1442624788,584850,596508
1442646495,584858,596516
1442653574,584859,596517
1442693169,584858,596516
1442743589,584867,596525
1442775985,584869,596527
1442783235,584870,596528
1442819314,584878,596536
1442855192,584879,596537
1442869569,584875,596533
1442905571,584889,596547
1442919986,584890,596548
1442927192,584891,596549
1442941587,584892,596550
1442988362,584893,596551
1442991963,584907,596565
1443009995,584906,596564
1443053178,584907,596565
1443078366,584916,596575
1443085583,584915,596574
1443092784,584914,596573
1443103583,584913,596572
1443125176,584914,596573
1443168383,584927,596588
1443211568,584928,596589
1443222392,584929,596590
1443251176,584940,596601
1443258369,584941,596602
1443337579,584956,596617
1443373582,584957,596618
1443391791,584956,596617
1443406089,584957,596618
1443416781,584957,596618
1443427588,584968,596629
1443441974,584966,596627
1443470801,584967,596628
1443481584,584968,596629
1443506784,584970,596631
1443513987,584983,596644
1443542780,584984,596645
1443575254,584985,596646
1443600374,585000,596661
1443625592,584999,596660
1443632767,585000,596661
1443643655,585002,596663
1443675976,585003,596664
1443686786,585012,596673
1443697572,585011,596672
1443711982,585012,596673
1443747991,585013,596674
1443758784,585014,596675
1443780371,585041,596702
1443791185,585040,596701
1443823587,585041,596702
1443848776,585042,596703
1443859561,585065,596726
1443870393,585066,596727
1443938768,585068,596729
1443942368,585084,596745
1444017977,585085,596746
1444028768,585095,596756
1444032378,585094,596755
1444050361,585093,596754
1444082779,585093,596753
1444115178,585108,596768
1444201565,585123,596786
1444223186,585124,596787
1444244792,585125,596788
1444270113,585126,596789
1444273740,585127,596790
1444287975,585134,596797
1444302384,585135,596798
1444331187,585133,596796
1444356522,585134,596797
1444360077,585135,596798
1444374376,585149,596811
1444399581,585149,596811
1444442924,585152,596814
1444464387,585163,596825
1444475224,585165,596827
1444507589,585166,596828
1444547178,585176,596838
1444619329,585177,596839
1444640776,585184,596846
1444651584,585185,596847
1444658785,585184,596846
1444709179,585186,596848
1444727188,585209,596871
1444741586,585208,596870
1444806268,585221,596883
1444842399,585222,596884
1444889183,585222,596884
1444892775,585231,596893
1444899979,585230,596892
1444907179,585229,596891
1444975582,585230,596892
1444979170,585253,596916
1445072781,585265,596928
1445112488,585266,596929
1445152121,585280,596943
1445224101,585281,596944
1445245580,585294,596957
1445278024,585290,596953
1445288823,585289,596952
1445332005,585294,596958
1445389688,585295,596959
1445404067,585296,596960
1445418385,585304,596969
1445461587,585303,596968
1445468777,585304,596969
1445501186,585314,596984
1445551716,585312,596982
1445587579,585317,596987
1445634457,585318,596988
1445673982,585327,596997
1445756783,585341,597011
1445853992,585359,597029
1445857587,585358,597028
1445875721,585357,597027
1445929582,585368,597038
1445947583,585366,597036
1445972866,585365,597035
1446008787,585364,597034
1446016026,585377,597047
1446019647,585376,597046
1446041195,585375,597045
1446048584,585373,597043
1446102381,585402,597074
1446170848,585401,597073
1446188785,585412,597084
1446228389,585411,597083
1446275186,585422,597094
1446361584,585425,597097
1446462381,585439,597111
1446487591,585437,597109
1446534384,585449,597121
1446631584,585461,597133
1446649589,585456,597128
1446710788,585467,597140
1446750381,585466,597139
1446793584,585472,597145
1446865654,585471,597144
1446894382,585479,597152
1446969980,585485,597158
1447074388,585496,597169
1447085185,585495,597168
1447139186,585509,597182
1447243582,585524,597197
1447311986,585540,597213
1447409181,585561,597235
1447430776,585560,597234
1447484782,585592,597268
1447571189,585612,597289
1447621601,585611,597288
1447661179,585629,597306
1447769194,585639,597317
1447837578,585651,597338
