DateTime,AddedIPs,RemovedIPs
1440072392,3,34
1440075969,1,171
1440079602,0,3
1440083198,0,5
1440090399,3,43
1440093995,0,80
1440101195,0,21
1440108396,0,182
1440122805,531968,0
1440155202,0,0
1440162398,0,1546
1440169593,0,32783
1440176798,0,2043
1440209201,7936,0
1440381999,17659,0
1440403594,0,5
1440407198,0,496
1440425210,6,870
1440432397,0,42
1440439599,1280,310
1440446797,0,6
1440482794,0,12175
1440504398,0,513
1440507995,2,4121
1440515203,1,1085
1440525996,0,10
1440540397,0,5
1440554812,0,5
1440590812,2,42
1440608800,0,5
1440619597,0,5
1440633998,32,0
1440659204,0,5
1440677197,3,20
1440691625,0,532
1440702416,0,512
1440774406,0,4106
1440785195,0,33
1440788787,0,5
1441019210,0,1
1441026405,0,22
1441030005,3,15
1441037211,0,10
1441051598,0,11
1441055197,0,10
1441112791,0,261
1441120021,0,9759
1441123566,0,5
1441134391,3,101
1441137996,0,319
1441210000,0,79
1441220779,0,8319
1441289189,2,69360
1441292791,3,266
1441296387,0,5
1441310778,0,1034
1441325168,8192,0
1441361188,0,507
1441372012,0,285
1441386391,0,773
1441400787,0,16640
1441411574,7926,0
1441497972,67038,0
1441588169,16128,0
1441717590,0,320
1441721188,0,165111
1441735895,0,1017
1441742797,0,251
1441747072,0,27
1441771587,0,5
1441818401,0,10255
1441822008,0,410
1441832796,0,261
1441901199,0,267
1441911999,0,4096
1441929971,131574,0
1441958795,0,5
1441983985,8,163915
1442001984,0,5
1442189172,98048,0
1442221572,0,5
1442235978,0,81934
1442239578,0,336
1442257591,0,266
1442268380,5,16
1442322382,3,423
1442333187,0,8187
1442336791,0,37
1442340414,0,1
1442344004,0,6
1442351336,0,714
1442354863,320,4806
1442408809,0,24
1442412377,1,552
1442419584,0,15
1442433990,1536,256
1442451995,81408,0
1442509646,4,2339
1442523985,0,3845
1442541987,3328,0
1442581588,1,89
1442588791,0,8203
1442603185,0,1024
1442707693,1592,0
1442793969,7675,0
1442847989,0,775
1442855193,0,10
1442858790,0,16114
1442862385,0,10
1442869570,0,15482
1442919987,0,5
1442934390,0,99172
1442955989,0,8197
1443009997,3,0
1443017187,0,8524
1443024388,0,261
1443028003,0,16891
1443031572,0,5
1443053179,30930,0
1443099987,0,8677
1443103584,0,517
1443121592,9,6
1443143265,97792,0
1443182791,0,2
1443189987,0,4149
1443197173,0,114
1443211569,0,273
1443233315,23549,0
1443315992,8170,0
1443420362,0,8192
1443445584,0,14347
1443452799,0,15
1443470802,0,272
1443513988,0,10
1443531961,0,522
1443535581,0,4111
1443539184,0,271
1443550002,0,1024
1443618378,0,31
1443625593,0,6916
1443650793,0,5
1443665310,8718,0
1443711983,0,21378
1443722780,0,984
1443729972,0,256
1443747993,768,0
1443791186,0,522
1443823588,0,818
1443917185,4578,0
1444050363,0,466
1444057582,0,10
1444082780,0,1423
1444140381,0,519
1444165587,0,20
1444223187,0,5
1444244793,1,1257
1444248361,0,256
1444316780,0,509
1444320377,0,12
1444323980,0,52
1444327582,0,205
1444338383,0,21
1444374377,0,5
1444388781,0,124
1444399582,0,261
1444410387,0,32768
1444417586,0,5
1444525578,256,0
1444579591,160249,488689
1444604780,325110,0
1444655184,459776,917499
1444665986,0,16
1444673200,0,761
1444691187,0,234
1444741587,10,2987
1444752427,3,4127
1444756000,0,60
1444759583,1,0
1444766799,0,4096
1444802784,1012987,0
1444806269,5,0
1444809989,0,5
1444824399,0,18
1444842400,3,11792
1444845978,0,411
1444856790,0,2053
1444889184,983803,65536
1444932426,0,4661
1444939581,0,10
1444953960,7670,0
1445000783,3,6132
1445004374,0,20726
1445022406,0,5
1445040369,73728,0
1445278025,65792,9601
1445288824,2,12
1445342808,3,877
1445346399,0,5
1445353582,0,5400
1445360781,0,10
1445364408,0,5
1445371599,0,256
1445439983,3,41715
1445443564,0,261
1445461588,0,5
1445479585,9389,0
1445551717,1,322
1445598401,0,128
1445605589,0,507
1445619985,0,5
1445645193,16623,0
1445817987,256,0
1445853993,2048,62715
1445875722,4,18540
1445879231,0,131077
1445911670,0,65428
1445915182,0,65526
1445922494,65536,0
1445947584,0,5
1445958384,6,1081
1445961983,0,5
1445976553,0,5
1445980072,0,1
1445990785,54528,0
1446030389,0,5
1446041196,0,71
1446048586,0,17
1446052162,3,5
1446056053,0,5
1446066387,0,6
1446077182,212471,0
1446123990,0,2753
1446134785,0,5
1446138382,0,588
1446149211,0,548
1446228390,0,4857
1446235588,0,10
1446296789,0,0
1446300380,0,0
1446339986,507,0
1446401186,0,0
1446422787,1774,0
1446487592,0,2788
1446494791,0,1024
1446512796,0,2053
1446563187,3,1829
1446581183,0,230
1446649590,0,278
1446653246,0,26
1446671296,0,916
1446674849,0,3565
1446681987,2560,0
1446735990,0,10286
1446739619,0,255
1446750383,0,256
1446761223,0,5
1446764819,0,4083
1446826007,0,4122
