DateTime,Entries,UniqueIPs
1440030548,531994,349747293
1440031453,531994,349747293
1440031453,531994,349747293
1440072392,532014,349747262
1440075969,532116,349747092
1440079602,532114,349747089
1440083198,532122,349747084
1440090399,532139,349747044
1440093995,532136,349746964
1440101195,532148,349746943
1440108396,532137,349746761
1440122805,532153,350278729
1440155202,532153,350278729
1440162398,532159,350277183
1440169593,532170,350244400
1440176798,532161,350242357
1440209201,532166,350250293
1440381999,532177,350267952
1440403594,532183,350267947
1440407198,532167,350267451
1440425210,532344,350266587
1440432397,532379,350266545
1440439599,532368,350267515
1440446797,532370,350267509
1440482794,532271,350255334
1440504398,532268,350254821
1440507995,532292,350250702
1440515203,532310,350249618
1440525996,532319,350249608
1440540397,532324,350249603
1440554812,532327,350249598
1440590812,532365,350249558
1440608800,532371,350249553
1440619597,532374,350249548
1440633998,532375,350249580
1440659204,532381,350249575
1440659204,532381,350249575
1440677197,532391,350249558
1440691625,532413,350249026
1440702416,532412,350248514
1440774406,532416,350244408
1440785195,532444,350244375
1440788787,532452,350244370
1441019210,532451,350244369
1441026405,532467,350244347
1441030005,532480,350244335
1441037211,532499,350244325
1441051598,532502,350244314
1441055197,532513,350244304
1441112791,532519,350244043
1441120021,532550,350234284
1441123566,532553,350234279
1441134391,532558,350234181
1441137996,532552,350233862
1441210000,532596,350233783
1441220779,532548,350225464
1441289189,532528,350156106
1441292791,532542,350155843
1441296387,532544,350155838
1441310778,532552,350154804
1441325168,532558,350162996
1441361188,532550,350162489
1441372012,532721,350162204
1441386391,532723,350161431
1441400787,532721,350144791
1441411574,532745,350152717
1441497972,532781,350219755
1441588169,532787,350235883
1441717590,532810,350235563
1441721188,532793,350070452
1441735895,533115,350069435
1441742797,533108,350069184
1441747072,533124,350069157
1441771587,533129,350069152
1441818401,533136,350058897
1441822008,533127,350058487
1441832796,533127,350058226
1441901199,533138,350057959
1441911999,533137,350053863
1441929971,533168,350185437
1441958795,533172,350185432
1441983985,533170,350021525
1442001984,533175,350021520
1442189172,533183,350119568
1442221572,533186,350119563
1442235978,533192,350037629
1442239578,533263,350037293
1442257591,533264,350037027
1442268380,533274,350037016
1442322382,533262,350036596
1442333187,533250,350028409
1442336791,533262,350028372
1442340414,533262,350028371
1442344004,533265,350028365
1442351336,533275,350027651
1442354863,533247,350023165
1442408809,533261,350023141
1442412377,533283,350022590
1442419584,533292,350022575
1442433990,533299,350023855
1442451995,533313,350105263
1442509646,533338,350102928
1442523985,533335,350099083
1442541987,533354,350102411
1442581588,533420,350102323
1442588791,533431,350094120
1442603185,533429,350093096
1442707693,533487,350094688
1442793969,533503,350102363
1442847989,533510,350101588
1442855193,533520,350101578
1442858790,533209,350085464
1442862385,533214,350085454
1442869570,532851,350069972
1442919987,532857,350069967
1442934390,532883,349970795
1442955989,532889,349962598
1443009997,532891,349962601
1443017187,532962,349954077
1443024388,532968,349953816
1443028003,532960,349936925
1443031572,532969,349936920
1443053179,533557,349967850
1443099987,533532,349959173
1443103584,533532,349958656
1443121592,533541,349958659
1443143265,533556,350056451
1443182791,533559,350056449
1443189987,533601,350052300
1443197173,533627,350052186
1443211569,533648,350051913
1443233315,533667,350075462
1443315992,533699,350083632
1443420362,533698,350075440
1443445584,533699,350061093
1443452799,533719,350061078
1443470802,533746,350060806
1443513988,533756,350060796
1443531961,533766,350060274
1443535581,533779,350056163
1443539184,533794,350055892
1443550002,533790,350054868
1443618378,533817,350054837
1443625593,533820,350047921
1443650793,533827,350047916
1443665310,533852,350056634
1443711983,533942,350035256
1443722780,533925,350034272
1443729972,533924,350034016
1443747993,533926,350034784
1443791186,533935,350034262
1443823588,533984,350033444
1443917185,533998,350038022
1444050363,533986,350037556
1444057582,533989,350037546
1444082780,533976,350036123
1444140381,533974,350035604
1444165587,533994,350035584
1444223187,534002,350035579
1444244793,534033,350034323
1444248361,534032,350034067
1444316780,534031,350033558
1444320377,534047,350033546
1444323980,534056,350033494
1444327582,534119,350033289
1444338383,534135,350033268
1444374377,534137,350033263
1444388781,534125,350033139
1444399582,534129,350032878
1444410387,534128,350000110
1444417586,534131,350000105
1444525578,534132,350000361
1444579591,534044,349671921
1444604780,534142,349997031
1444655184,534064,349539308
1444665986,534080,349539292
1444673200,534073,349538531
1444691187,534093,349538297
1444741587,534061,349535320
1444752427,534094,349531196
1444756000,534136,349531136
1444759583,534137,349531137
1444766799,534143,349527041
1444802784,533870,350540028
1444806269,533856,350540033
1444809989,533870,350540028
1444824399,533896,350540010
1444842400,533922,350528221
1444845978,533914,350527810
1444856790,533914,350525757
1444889184,533925,351444024
1444932426,533954,351439363
1444939581,533967,351439353
1444953960,533986,351447023
1445000783,534015,351440894
1445004374,533970,351420168
1445022406,533975,351420163
1445040369,533978,351493891
1445278025,533992,351550082
1445288824,534016,351550072
1445342808,533922,351549198
1445346399,533924,351549193
1445353582,533933,351543793
1445360781,533942,351543783
1445364408,533946,351543778
1445371599,533946,351543522
1445439983,533742,351501810
1445443564,533752,351501549
1445461588,533758,351501544
1445479585,533830,351510933
1445551717,533918,351510612
1445598401,533917,351510484
1445605589,533909,351509977
1445619985,533912,351509972
1445645193,533939,351526595
1445817987,533940,351526851
1445853993,533922,351466184
1445875722,533920,351447648
1445879231,533923,351316571
1445911670,533789,351251143
1445915182,533769,351185617
1445922494,533770,351251153
1445947584,533778,351251148
1445958384,533799,351250073
1445961983,533803,351250068
1445976553,533813,351250063
1445980072,533813,351250062
1445990785,533819,351304590
1446030389,533820,351304585
1446041196,533860,351304514
1446048586,533874,351304497
1446052162,533879,351304495
1446056053,533880,351304490
1446066387,533887,351304484
1446077182,533923,351516955
1446123990,533941,351514202
1446134785,533948,351514197
1446138382,534003,351513609
1446149211,534034,351513061
1446228390,534019,351508204
1446235588,534026,351508194
1446339986,534034,351508701
1446422787,534053,351510475
1446487592,534082,351507687
1446494791,534081,351506663
1446512796,534082,351504610
1446563187,534101,351502784
1446581183,534139,351502554
1446649590,534146,351502276
1446653246,534168,351502250
1446671296,534089,351501334
1446674849,534057,351497769
1446681987,534062,351500329
1446735990,534084,351490043
1446739619,534085,351489788
1446750383,534084,351489532
1446761223,534093,351489527
1446764819,534081,351485444
1446826007,534106,351481322
1446837081,534105,351350250
1446840381,534112,351350251
1446843979,534125,351350244
1446847609,534127,351350210
1446865655,534219,351351111
1446941178,534242,351360829
1447027610,534251,351491645
1447074388,534256,351491637
1447077973,534283,351491074
1447085186,534299,351486706
1447095979,534302,351486701
1447103178,534316,351486686
1447106775,534322,351486435
1447164388,534303,351480813
1447167976,534313,351480796
1447171603,534309,351279836
1447182403,534308,351279580
1447189599,534335,351279052
1447196821,534317,351278816
1447243583,534310,351278565
1447254384,534399,351277163
1447261589,534401,351275880
1447276043,534419,351275865
1447326373,534418,351275737
1447340787,534419,351275475
1447355177,534406,351270861
1447373178,534427,351395278
1447423582,534442,351378679
1447430777,534451,351378669
1447434374,534464,351378664
1447448780,534448,351377643
1447459617,534479,351378185
1447481202,534472,351377934
1447556771,534511,351377973
1447632378,534526,351394864
1447686392,534392,351390470
1447689979,534021,351389051
1447693582,534042,351389022
1447704379,534049,351389020
1447715202,534051,351389015
1447769195,534060,351382872
1447772775,534037,351382651
1447787171,533941,373681654
1447808789,533952,373681885
1447851982,533978,373677769
