DateTime,Entries,UniqueIPs
1444197989,2041,2136
1444201566,2058,2153
1444205163,2062,2156
1444208769,2095,2191
1444219597,2054,2142
1444223187,2066,2155
1444244793,2357,2458
1444248361,2420,2523
1444259182,2503,2609
1444262783,2122,2194
1444270116,2156,2230
1444273745,2139,2212
1444287976,2140,2213
1444291566,2146,2219
1444298792,2137,2197
1444302385,2215,2274
1444316780,2297,2367
1444320377,2333,2403
1444323980,2376,2448
1444327582,2650,2762
1444331188,2685,2799
1444338383,2754,2872
1444345589,2820,2942
1444352790,2388,2479
1444356523,2385,2477
1444360078,2390,2482
1444363578,2390,2482
1444367172,2395,2487
1444370771,2398,2493
1444374378,2393,2486
1444388782,2474,2573
1444399582,2559,2660
1444410387,2674,2778
1444417587,2781,2890
1444421167,2806,2916
1444442925,2538,2639
1444446510,2533,2635
1444450188,2556,2658
1444453581,2568,2668
1444457176,2586,2687
1444464388,2604,2704
1444471581,2728,2824
1444475225,2673,2773
1444482389,2680,2782
1444496811,2824,2927
1444507591,2897,3005
1444514780,2986,3103
1444518381,3016,3133
1444525578,2379,2447
1444543579,2414,2481
1444547179,2433,2499
1444561587,2449,2513
1444568774,2417,2468
1444572380,2491,2542
1444579591,2692,2773
1444586774,2762,2846
1444590376,2795,2882
1444604780,2926,3019
1444619331,2378,2453
1444622765,2375,2450
1444629964,2386,2461
1444640777,2455,2534
1444644380,2445,2523
1444651585,2456,2537
1444655184,2484,2565
1444658786,2872,2953
1444665986,3094,3176
1444673200,3294,3384
1444691187,3946,4042
1444698395,3561,3636
1444709181,3665,3744
1444727189,3676,3756
1444741587,3858,3956
1444745177,3945,4042
1444752427,4112,4213
1444756000,4196,4300
1444759583,4302,4416
1444766799,4434,4552
1444770377,4495,4617
1444773973,4581,4706
1444777583,4619,4746
1444802784,4181,4268
1444806269,4243,4334
1444809989,4183,4274
1444817180,4183,4275
1444824399,4105,4198
1444842400,4414,4520
1444845979,4538,4668
1444856790,4753,4897
1444860372,4818,4973
1444889184,3266,3391
1444892776,3281,3406
1444899980,3301,3423
1444903577,3316,3438
1444907181,3231,3343
1444910771,3303,3424
1444914386,3304,3426
1444932426,3606,3738
1444939581,3679,3814
1444950385,3810,3961
1444953960,2996,3110
1444961212,2970,3087
1444964874,2964,3081
1444975583,2893,3006
1444979171,2874,2987
1444986382,2840,2952
1444989983,2857,2969
1445000783,2855,2961
1445004374,2926,3039
1445007981,3015,3129
1445015191,3234,3355
1445022406,3309,3437
1445029623,3393,3532
1445036795,3451,3597
1445040369,2620,2700
1445044048,2631,2713
1445047796,2609,2693
1445051269,2611,2695
1445058467,2607,2693
1445061981,2599,2679
1445072782,2600,2684
1445076374,2586,2670
1445083613,2610,2691
1445094382,2764,2838
1445098047,2843,2919
1445101581,3165,3243
1445105186,3551,3634
1445112489,3884,3973
1445116175,4001,4090
1445119711,4091,4179
1445123312,4203,4290
1445126928,3635,3696
1445130480,3790,3850
1445134315,4078,4136
1445137663,4254,4311
1445141364,4512,4569
1445144913,4759,4817
1445148541,4960,5018
1445152122,5071,5129
1445155579,5126,5184
1445159197,5264,5321
1445162979,5457,5534
1445166455,5624,5700
1445170112,5712,5788
1445173641,5723,5801
1445180813,6095,6175
1445187988,6488,6570
1445195186,6807,6889
1445213184,6561,6626
1445216927,6571,6633
1445220569,6696,6757
1445224104,6886,6947
1445245581,7947,8014
1445249178,8092,8158
1445252787,8319,8385
1445278025,10414,10513
1445288824,10749,10860
1445292401,10861,10975
1445314178,9364,9448
1445321203,9099,9182
1445332006,9668,9754
1445335581,9774,9859
1445342808,9681,9759
1445346399,9883,9993
1445353582,10713,10836
1445357183,10945,11072
1445360781,11294,11434
1445364408,11554,11699
1445371599,11814,11963
1445375209,11887,12035
1445378786,11998,12144
1445382386,12106,12251
1445385982,10942,11075
1445389689,11016,11139
1445400636,11136,11259
1445404068,10928,11050
1445418386,10314,10434
1445421984,10108,10226
1445439983,9298,9406
1445443564,12382,12516
1445461588,13929,14097
1445465191,14058,14240
1445468778,14139,14325
1445479585,12062,12201
1445490386,11972,12109
1445501187,11444,11578
1445504765,10954,11086
1445540801,10081,10212
1445551717,12128,12305
1445565987,9944,10055
1445576788,9964,10073
1445580380,10212,10323
1445587581,10564,10675
1445598401,11222,11350
1445605589,11792,11926
1445619985,12667,12819
1445623718,12807,12963
1445627223,12956,13112
1445634458,13215,13373
1445638039,13337,13500
1445645193,8570,8657
1445652427,8463,8549
1445655987,8334,8419
1445659593,8339,8423
1445666781,8665,8749
1445673983,9128,9223
1445677583,9288,9384
1445688435,9740,9838
1445699338,10373,10477
1445717548,11168,11290
1445728213,11442,11569
1445731631,9366,9450
1445735268,9286,9368
1445749586,9277,9359
1445756784,9173,9255
1445760409,9089,9173
1445763999,8971,9056
1445767594,9015,9100
1445778457,8961,9027
1445789200,9480,9554
1445796408,9877,9955
1445800189,9960,10043
1445810784,10220,10303
1445817987,8395,8455
1445825227,8538,8596
1445853993,9102,9162
1445857589,9169,9230
1445861181,9874,9941
1445875722,10849,10926
1445879231,11050,11128
1445890095,11649,11736
1445904386,10589,10671
1445907988,10689,10777
1445911670,10906,10994
1445915182,10959,11046
1445918787,10947,11034
1445922494,10881,10967
1445926100,11027,11114
1445929583,11157,11246
1445933185,11296,11391
1445936782,11191,11283
1445940386,11373,11467
1445943984,11448,11539
1445947584,11478,11569
1445958384,11975,12071
1445961983,12185,12282
1445965584,12398,12498
1445972868,12677,12779
1445976553,12861,12980
1445980072,12973,13095
1445983802,13038,13161
1445987351,13151,13276
1445990785,11792,11899
1446001589,11838,11942
1446008788,11757,11861
1446012386,11674,11779
1446016028,11727,11833
1446019648,11723,11832
1446026797,11568,11671
1446030389,11568,11669
1446041196,11257,11370
1446048587,11726,11849
1446052166,11876,12003
1446056063,11987,12114
1446066387,12480,12627
1446070037,12557,12708
1446077182,10383,10482
1446080782,10387,10483
1446084389,10394,10489
1446095185,10212,10308
1446098784,10177,10273
1446102382,9917,10015
1446113183,9314,9409
1446116782,9117,9211
1446123990,8848,8940
1446134785,9723,9829
1446138382,9920,10030
1446149211,10335,10457
1446152817,10406,10534
1446159999,10544,10674
1446170849,8812,8908
1446174458,8823,8917
1446177980,8838,8934
1446185209,8756,8850
1446188786,8809,8901
1446203189,8495,8605
1446228390,9472,9601
1446235588,9705,9843
1446239187,9832,9970
1446243101,9956,10095
1446249997,8084,8179
1446253591,8064,8159
1446260926,7963,8057
1446264433,7943,8038
1446275187,7693,7789
1446278791,7726,7823
1446286013,7793,7891
1446289600,7848,7954
1446296789,7760,7865
1446300380,7947,8053
1446304043,8209,8314
1446307651,8462,8573
1446311292,8645,8758
1446314898,8844,8968
1446318388,8881,9007
1446329189,8966,9092
1446332805,8992,9119
1446339987,7050,7141
1446343599,6935,7024
1446354387,6374,6458
1446357985,6424,6507
1446361585,6466,6548
1446368785,6616,6697
1446372526,6692,6779
1446379621,6489,6557
1446386786,6723,6793
1446393987,6846,6915
1446401186,6936,7009
1446422787,5562,5610
1446426387,5547,5596
1446444389,5844,5893
1446462382,5809,5864
1446487592,6921,7005
1446494791,7158,7246
1446498378,7278,7366
1446512796,6244,6326
1446516366,6282,6367
1446527180,6401,6491
1446534386,6315,6406
1446537984,6201,6292
1446541580,6179,6271
1446545186,6196,6290
1446563187,6899,7004
1446570386,7246,7359
1446574048,7317,7432
1446581184,7415,7533
1446585088,7457,7582
1446591983,7636,7788
1446599180,6620,6759
1446602772,6528,6664
1446606382,6386,6523
1446609976,6278,6416
1446613583,6110,6247
1446617188,6060,6202
1446631585,6676,6837
1446638789,6982,7145
1446642392,7084,7250
1446649590,7417,7590
1446653246,7585,7759
1446671296,7909,8110
1446674849,7965,8167
1446678385,8033,8237
1446681987,6467,6602
1446689188,6719,6844
1446696385,7013,7135
1446699983,7142,7263
1446710789,7335,7457
1446718007,7512,7635
1446721581,7656,7791
1446725188,8459,8599
1446735990,9129,9255
1446739619,9450,9579
1446750383,9710,9851
1446753997,9794,9937
1446761223,10163,10322
1446764819,10382,10555
1446782789,9628,9755
1446789987,9822,9948
1446793585,9762,9888
1446800776,9709,9847
1446807979,9529,9664
1446811593,9485,9619
1446826007,10220,10365
1446837081,10981,11141
1446840381,11053,11216
1446843979,11135,11300
1446847609,11235,11405
1446865655,10368,10511
1446872783,10172,10312
1446887213,10042,10178
1446894383,10000,10136
1446897979,9444,9552
1446905182,9279,9388
1446908781,9454,9565
1446912383,9638,9755
1446919636,10014,10151
1446926840,10192,10332
1446930361,10283,10427
1446937574,10442,10588
1446941178,8369,8466
1446944778,8326,8422
1446948378,8316,8409
1446955578,8198,8290
1446969980,7733,7825
1446980787,7684,7778
1446984380,7581,7673
1447013237,8300,8406
1447020752,8509,8625
1447027610,6540,6622
1447038385,6534,6619
1447041984,6599,6681
1447074389,6925,7020
1447077973,7111,7209
1447085186,7471,7576
1447095979,7958,8074
1447099575,8100,8218
1447103178,8182,8307
1447106775,8227,8357
1447128392,6811,6906
1447131975,6796,6891
1447135579,6871,6966
1447139187,7024,7122
1447146387,7241,7339
1447150057,7249,7346
1447164388,7165,7269
1447167976,7266,7377
1447171603,7391,7505
1447175176,7467,7582
1447182403,7597,7721
1447189599,7710,7847
1447196821,7848,7995
1447200362,6686,6805
1447203977,6605,6725
1447207574,6510,6634
1447211176,6400,6523
1447214774,6229,6353
1447243583,5106,5222
1447254384,5203,5324
1447261589,5352,5483
1447276043,5571,5721
1447283444,5682,5832
1447290382,4113,4213
1447297580,3942,4042
1447311986,3509,3609
1447315580,3377,3475
1447319176,3266,3365
1447326373,3180,3291
1447340787,3311,3425
1447347981,3478,3602
1447355177,3579,3712
1447369624,3854,4030
1447373178,2998,3135
1447376778,2997,3133
1447380381,2996,3133
1447387560,2971,3111
1447394771,2984,3122
1447409181,3399,3539
1447412790,3447,3582
1447423582,4160,4306
1447430777,4497,4649
1447434374,4546,4699
1447441573,4682,4841
1447448780,5055,5219
1447459617,4544,4678
1447481202,4462,4599
1447484783,4448,4583
1447491981,4438,4574
1447495564,4419,4558
1447499177,4396,4538
1447506383,4361,4486
1447509982,4395,4523
1447513567,4412,4540
1447517172,4550,4700
1447520760,4576,4725
1447524362,4609,4761
1447527970,4649,4806
1447531585,4688,4851
1447542383,4786,4950
1447556771,3989,4083
1447563964,3953,4046
1447567568,3938,4031
1447571190,3922,4016
1447578381,3878,3974
1447585577,3526,3620
1447589176,3406,3482
1447596367,3389,3467
1447621602,3778,3889
1447628764,3827,3936
1447632378,2153,2219
1447653979,2163,2230
1447661180,2213,2279
1447664769,2207,2273
1447671973,2262,2334
1447675579,2274,2345
1447686392,2529,2610
1447689979,2872,2957
1447693582,2944,3032
1447704379,3167,3263
1447715203,3617,3736
1447736778,3236,3321
1447769195,3421,3507
1447772776,3477,3568
1447779981,3590,3685
1447787171,3701,3804
1447808789,3684,3809
1447823177,3686,3809
1447826782,3710,3833
1447837579,3740,3864
1447848379,3815,3946
1447851982,3799,3932
