DateTime,AddedIPs,RemovedIPs
1444208770,47,6
1444219598,93,113
1444223187,31,45
1444244793,230,228
1444248361,57,35
1444259182,63,53
1444262783,40,32
1444270116,54,27
1444273745,16,2
1444287976,85,43
1444291566,18,37
1444298792,119,28
1444302385,103,15
1444316780,146,156
1444320377,28,29
1444323980,33,35
1444327582,238,53
1444331188,34,28
1444338383,59,35
1444345589,57,107
1444352790,57,20
1444356523,12,18
1444360078,16,11
1444363578,14,14
1444367172,23,21
1444370771,18,7
1444374378,33,16
1444388782,178,88
1444399582,108,63
1444410387,96,59
1444417587,81,51
1444421167,19,22
1444442925,220,204
1444446510,31,14
1444450188,37,17
1444453581,27,11
1444457176,37,12
1444464388,79,40
1444471582,164,53
1444475225,69,13
1444482389,125,53
1444496812,107,111
1444507591,67,98
1444514780,79,39
1444518381,22,18
1444525578,42,22
1444543579,130,73
1444547179,42,34
1444561587,157,99
1444568774,117,102
1444572380,74,53
1444579591,140,58
1444586774,56,78
1444590376,18,21
1444604780,114,83
1444619331,89,101
1444622765,24,24
1444629964,78,32
1444640777,174,109
1444644380,52,16
1444651585,186,43
1444655184,99,39
1444658786,369,25
1444665986,193,53
1444673200,178,73
1444691187,596,144
1444698395,68,44
1444709181,167,64
1444727189,154,140
1444741587,297,139
1444745177,69,30
1444752427,141,52
1444756000,69,20
1444759583,75,79
1444766799,113,57
1444770377,51,22
1444773973,68,16
1444777583,25,18
1444802784,216,133
1444806269,52,0
1444809989,59,36
1444817180,97,48
1444824399,105,91
1444842400,337,196
1444845979,96,57
1444856790,190,168
1444860372,53,54
1444889184,262,158
1444892777,47,37
1444899980,79,72
1444903577,55,44
1444907181,52,26
1444910771,107,48
1444914386,72,35
1444932426,268,257
1444939581,64,81
1444950385,111,56
1444953960,20,17
1444961213,30,90
1444964874,25,23
1444975583,78,73
1444979171,28,29
1444986382,77,122
1444989983,65,44
1445000784,126,124
1445004374,65,38
1445007981,76,35
1445015191,180,52
1445022406,72,174
1445029623,53,79
1445036795,32,55
1445040369,20,17
1445044048,35,31
1445047796,19,19
1445051269,24,18
1445058467,48,50
1445061982,27,24
1445072782,119,97
1445076374,52,27
1445083614,132,111
1445094382,234,143
1445098047,65,18
1445101581,297,27
1445105186,348,47
1445112489,307,68
1445116175,109,18
1445119711,83,32
1445123312,106,14
1445126928,77,16
1445130480,173,21
1445134315,297,22
1445137663,195,20
1445141364,287,17
1445144913,258,17
1445148541,223,15
1445152122,137,23
1445155579,91,82
1445159197,182,13
