DateTime,AddedIPs,RemovedIPs
1444122390,13,3
1444125992,4,0
1444129572,8,0
1444133176,1,5
1444140390,3,3
1444143975,5,2
1444154797,13,3
1444165597,7,5
1444169190,2,0
1444172795,1,0
1444197999,31,3
1444201576,1,0
1444205172,8,1
1444208779,3,0
1444219607,27,5
1444223197,9,1
1444244803,25,4
1444248372,2,2
1444259192,12,1
1444270127,14,0
1444273755,7,1
1444287986,13,6
1444291576,5,1
1444298802,26,2
1444302395,6,0
1444316790,27,7
1444320387,12,0
1444323989,5,0
1444327592,7,1
1444331198,2,0
1444338393,5,0
1444345599,13,0
1444352801,4,0
1444356534,6,0
1444360089,3,0
1444363588,3,1
1444367182,7,0
1444370781,11,0
1444374387,3,0
1444388793,30,5
1444399592,31,2
1444410397,14,1
1444417596,7,0
1444421176,4,0
1444442936,12,3
1444446520,2,0
1444450199,8,0
1444453590,2,0
1444457186,3,0
1444464398,17,0
1444471591,7,0
1444475237,10,0
1444482400,4,1
1444496821,21,1
1444507600,7,1
1444514791,11,0
1444518391,1,0
1444525589,5,0
1444543589,17,0
1444547189,3,0
1444561597,8,1
1444568784,4,0
1444572390,2,0
1444579601,7,0
1444586784,10,0
1444590387,8,0
1444604790,16,1
1444619342,16,1
1444622776,2,0
1444629974,3,0
1444640787,18,3
1444644390,15,0
1444651595,34,2
1444655194,5,1
1444658796,14,1
1444665996,28,3
1444673210,19,1
1444691197,119,1
1444698405,35,0
1444709190,51,1
1444727199,43,3
1444741597,36,7
1444745187,7,0
1444752437,17,1
1444756010,3,2
1444759593,3,1
1444766808,9,2
1444770387,8,0
1444773984,4,1
1444777593,4,0
1444802794,45,6
1444806278,4,2
1444817190,8,0
1444824409,4,0
1444842410,24,2
1444845988,3,4
1444856800,7,2
1444860384,4,0
1444889194,20,1
1444892786,0,1
1444899991,15,4
1444903587,4,1
1444907191,7,0
1444910781,7,0
1444914396,12,0
1444932437,34,5
1444939591,10,0
1444950395,15,1
1444953970,8,0
1444961224,11,1
1444964885,3,0
1444975593,8,0
1444979181,2,1
1444986392,6,0
1444989993,1,2
1445000793,21,6
1445004384,10,1
1445007991,12,4
1445015202,3,1
1445022416,12,2
1445036805,14,1
1445040379,1,1
1445044058,3,0
1445051280,4,0
1445058477,9,0
1445061991,2,0
1445072792,14,0
1445076383,8,0
1445083623,20,0
1445094393,36,3
1445098057,5,0
1445101592,3,0
1445105196,4,0
1445112499,9,0
1445116185,2,0
1445119721,10,0
1445123322,1,3
1445126938,4,0
1445130490,6,0
1445134327,3,0
1445137676,4,0
1445141386,12,0
1445144923,7,0
1445148551,4,0
1445152132,6,0
1445155589,7,0
1445159206,6,0
1445162989,6,0
1445166465,3,0
1445170122,3,0
1445173651,4,0
1445180823,13,2
1445187997,11,0
1445195196,9,0
1445213193,25,0
1445216937,6,0
1445220580,6,0
1445224116,2,0
1445245591,17,3
1445249189,9,2
1445252797,14,2
1445278035,48,11
1445288834,10,1
1445292411,3,1
1445314196,46,1
1445321214,12,0
1445332016,31,2
1445335592,11,2
1445342818,28,0
1445346409,7,1
1445353592,35,1
1445357193,24,2
1445360791,23,1
1445364418,41,0
1445371609,40,2
1445375219,18,0
1445378796,16,0
1445382396,19,0
1445385992,17,0
1445389699,11,1
1445400647,67,1
1445404079,14,0
1445418396,34,1
1445421994,4,1
1445439994,36,5
1445443574,7,0
1445461598,23,3
1445465201,8,3
1445468788,6,0
1445479595,28,2
1445490396,25,3
1445501197,11,2
1445504775,7,2
1445540811,2,0
1445551728,39,18
1445565997,51,1
1445576798,22,1
1445580390,6,0
1445587590,14,1
1445598411,23,3
1445605599,8,0
1445619996,20,2
1445623728,2,0
1445627233,1,0
1445634468,11,1
1445645204,3,0
1445652438,2,0
1445659603,2,0
1445666791,4,0
1445673993,8,0
1445688447,12,0
1445699350,19,1
1445717570,17,0
1445728225,13,0
1445731641,2,0
1445735279,1,0
1445749596,21,1
1445756794,7,0
1445760419,1,0
1445764010,1,0
1445767604,4,0
1445778467,5,0
1445789210,21,3
1445792869,2,0
1445796418,4,1
1445800199,8,0
1445810794,7,0
1445817997,14,0
1445825238,19,0
1445854003,57,1
1445857599,2,0
1445861191,7,1
1445875732,21,7
1445879241,4,0
1445890105,14,2
1445904396,18,3
1445907998,6,0
1445911680,5,0
1445915192,1,0
1445918797,6,0
1445922504,3,0
1445926110,1,0
1445929593,2,0
1445933195,4,1
1445936792,5,1
1445940396,6,2
1445943994,9,1
1445947594,19,4
1445958394,12,7
1445961993,5,1
1445965594,2,0
1445972879,8,1
1445976564,5,0
1445980082,2,0
1445983812,5,3
1445987361,11,0
1445990795,2,0
1446001599,15,0
1446008798,13,1
1446012396,3,1
1446016037,3,0
1446019658,2,0
1446026807,5,2
1446030399,3,0
1446041206,25,11
1446048597,15,2
1446052176,6,2
1446066398,9,0
1446070047,3,0
1446077193,14,0
1446080792,7,1
1446084399,16,0
1446095195,48,0
1446098794,14,0
1446102392,1,0
1446113193,14,0
1446116792,10,2
1446124000,19,2
1446134795,21,0
1446138392,12,0
1446149221,8,0
1446152827,1,0
1446160011,32,2
1446170860,33,2
1446174468,12,0
1446177991,13,0
1446185219,7,0
1446188796,7,1
1446203200,14,10
1446228401,33,12
1446235598,11,0
1446239197,3,2
1446243111,6,0
1446250008,8,0
1446253600,1,0
1446260936,12,0
1446264449,3,3
1446275198,23,1
1446278802,4,0
1446286025,10,0
1446289609,1,0
1446296798,8,1
1446300390,8,0
1446304053,7,0
1446307661,3,0
1446311303,2,0
1446314908,3,0
1446318398,5,0
1446329199,16,0
1446332815,2,0
1446339998,2,0
1446343609,2,0
1446354397,11,0
1446357995,9,0
1446361595,11,0
1446368795,10,0
1446372536,10,0
1446379632,11,7
1446386796,16,0
1446393998,14,0
1446401196,5,0
1446422796,29,1
1446426397,2,0
1446444399,9,1
1446462392,10,5
1446487603,13,13
1446494801,5,6
1446498388,6,1
1446512806,20,1
1446516377,6,0
1446527190,17,0
1446534396,13,0
1446537994,7,0
1446541591,3,1
1446545197,7,0
1446563197,33,7
1446570396,17,0
1446574058,4,1
1446581193,25,5
1446585098,0,1
1446591993,16,3
1446599190,18,2
1446602783,17,3
1446606392,7,0
1446609987,22,0
1446613593,8,0
1446617198,10,0
1446631595,10,2
1446638800,9,2
1446642403,2,1
1446649600,7,5
1446653256,5,3
1446671306,12,4
1446674859,2,1
1446678395,2,3
1446681997,6,2
1446689197,9,1
1446696395,7,2
1446699993,8,0
1446710799,16,3
1446718018,12,1
1446721592,10,1
1446725198,10,1
1446736000,38,2
1446739629,31,1
1446750393,74,2
1446754007,17,0
1446761233,42,2
1446764829,29,1
1446782799,105,4
1446789997,25,0
1446793595,6,1
1446800783,25,0
1446807987,24,1
1446811601,7,0
1446826015,22,4
1446837088,46,1
1446840389,2,1
1446843986,1,1
1446847616,4,1
1446865662,13,5
1446872791,6,1
1446887220,14,1
1446894390,7,0
1446897986,3,0
1446905189,12,0
1446908788,6,0
1446912390,9,0
1446919643,7,0
1446926847,13,0
1446930368,4,0
1446937581,10,0
1446941185,5,0
1446944785,12,0
1446955585,6,0
1446969989,19,0
1446980794,13,1
1446984387,3,0
1447013244,28,0
1447038392,9,0
1447041991,6,0
1447074396,52,5
1447077980,7,0
1447085193,10,4
1447095987,11,3
1447099582,4,0
1447103185,3,6
1447106783,8,0
1447128400,19,0
1447135586,8,0
1447139194,4,0
1447146394,7,0
1447150065,8,1
1447164396,23,3
1447167983,3,1
1447171611,6,61
1447175183,0,2
1447182411,4,2
1447189606,8,1
1447196829,4,2
1447200369,2,0
1447203984,8,2
1447207581,4,1
1447214781,3,0
1447243590,54,1
1447254391,8,3
1447261597,10,2
1447276051,16,3
1447283451,12,1
1447290390,10,0
1447297587,4,1
1447311994,25,0
1447315587,1,0
1447319183,2,1
1447326381,5,4
1447340794,15,6
1447347988,17,1
1447355184,9,2
1447369631,21,0
1447373185,5,0
1447376786,13,1
1447380388,5,1
1447387568,7,0
1447394779,2,0
1447409189,53,0
1447412797,16,0
1447423590,57,2
1447430784,51,2
1447434381,17,0
1447441581,43,1
1447448788,46,0
1447459624,56,0
1447481209,59,0
1447484791,4,0
1447491988,15,0
1447495572,2,0
1447499184,7,0
1447506390,9,0
1447509990,7,1
1447513575,1,0
1447517179,1,0
1447520767,3,0
1447524369,3,0
1447527977,3,0
1447531592,1,1
1447542391,9,0
1447556779,16,1
1447563971,2,0
1447567576,3,0
1447571197,2,0
1447578389,3,0
1447585584,5,0
1447596376,6,0
1447621610,42,1
1447628772,13,0
1447632386,5,0
1447653986,27,0
1447661188,14,1
1447664776,4,1
1447671980,23,2
1447675586,3,0
1447686399,50,13
1447689987,25,1
1447693589,22,0
1447704386,65,0
1447715210,57,1
1447736786,104,3
1447769203,66,9
1447772784,2,2
1447779989,20,2
1447787179,5,4
1447808797,24,5
1447823184,9,2
1447826789,4,0
1447837586,10,2
1447848386,15,1
1447851989,11,0
1447855609,15,1
1447859312,7,3
1447862911,10,2
