DateTime,Entries,UniqueIPs
1443406104,5282032,5657115
1443409580,5282033,5657116
1443413190,5282029,5657112
1443420372,5282032,5657115
1443427599,5282041,5657124
1443431212,5282046,5657129
1443438390,5282062,5657146
1443441985,5282070,5657154
1443445594,5282086,5657170
1443452809,5282093,5657177
1443470812,5282105,5657189
1443481597,5282112,5657196
1443485177,5282113,5657197
1443506795,5282169,5657255
1443513998,5282175,5657261
1443521206,5282180,5657266
1443524810,5282186,5657272
1443528401,5282192,5657278
1443531971,5282208,5657294
1443535591,5282213,5657299
1443539194,5282221,5657307
1443542791,5282226,5657312
1443550012,5282229,5657315
1443553597,5282231,5657318
1443560807,5282234,5657321
1443564421,5282239,5657327
1443571595,5282240,5657328
1443575268,5282246,5657334
1443578871,5282251,5657339
1443582447,5282270,5657358
1443589592,5282278,5657366
1443593199,5282281,5657369
1443600385,5282292,5657380
1443607594,5282297,5657385
1443611191,5282298,5657387
1443618388,5282306,5657395
1443625603,5282315,5657404
1443629197,5282320,5657408
1443632778,5282323,5657411
1443643666,5282327,5657415
1443647213,5282333,5657421
1443650803,5282338,5657426
1443654390,5282342,5657430
1443665321,5282375,5657464
1443675987,5282381,5657470
1443686797,5282382,5657472
1443690393,5282388,5657478
1443697583,5282397,5657489
1443701181,5282404,5657496
1443711993,5282404,5657496
1443715592,5282420,5657512
1443722790,5282423,5657515
1443726386,5282427,5657520
1443729982,5282436,5657529
1443733576,5282435,5657528
1443737190,5282441,5657534
1443748004,5282453,5657548
1443758795,5282466,5657560
1443762373,5282465,5657559
1443780382,5282479,5657573
1443783981,5282484,5657578
1443791197,5282484,5657578
1443823598,5282493,5657588
1443838069,5282499,5657594
1443841698,5282502,5657597
1443845275,5282507,5657602
1443848787,5282508,5657603
1443852373,5282510,5657605
1443859572,5282512,5657607
1443870405,5282518,5657613
1443873983,5282523,5657618
1443881192,5282536,5657631
1443899203,5282558,5657654
1443902772,5282562,5657658
1443917195,5282574,5657670
1443924505,5282579,5657675
1443938779,5282597,5657693
1443953217,5282621,5657717
1443960406,5282627,5657716
1443964002,5282633,5657722
1443985591,5282649,5657739
1443992787,5282652,5657742
1444000000,5282658,5657747
1444017988,5282667,5657756
1444021589,5282671,5657760
1444028779,5282678,5657767
1444032389,5282682,5657771
1444039599,5282691,5657781
1444046791,5282705,5657795
1444050373,5282721,5657812
1444057592,5282729,5657820
1444061207,5282730,5657821
1444082789,5282746,5657837
1444089984,5282753,5657844
1444097320,5282770,5657861
1444104395,5282781,5657872
1444107992,5282784,5657876
1444111574,5282791,5657883
1444115189,5282795,5657886
1444122390,5282805,5657896
1444125992,5282809,5657900
1444129572,5282816,5657908
1444133176,5282812,5657904
1444140390,5282812,5657904
1444143975,5282815,5657907
1444154797,5282823,5657917
1444165597,5282824,5657919
1444169190,5282826,5657921
1444172795,5282827,5657922
1444197999,5282853,5657950
1444201576,5282854,5657951
1444205172,5282861,5657958
1444208779,5282864,5657961
1444219607,5282886,5657983
1444223197,5282894,5657991
1444244803,5282914,5658012
1444248372,5282915,5658012
1444259192,5282926,5658023
1444270127,5282940,5658037
1444273755,5282946,5658043
1444287986,5282954,5658050
1444291576,5282958,5658054
1444298802,5282981,5658078
1444302395,5282987,5658084
1444316790,5283007,5658104
1444320387,5283018,5658116
1444323989,5283023,5658121
1444327592,5283028,5658127
1444331198,5283030,5658129
1444338393,5283035,5658134
1444345599,5283048,5658147
1444352801,5283051,5658151
1444356534,5283057,5658157
1444360089,5283060,5658160
1444363588,5283063,5658162
1444367182,5283070,5658169
1444370781,5283081,5658180
1444374387,5283084,5658183
1444388793,5283107,5658208
1444399592,5283135,5658237
1444410397,5283148,5658250
1444417596,5283155,5658257
1444421176,5283159,5658261
1444442936,5283167,5658270
1444446520,5283169,5658272
1444450199,5283177,5658280
1444453590,5283179,5658282
1444457186,5283181,5658285
1444464398,5283197,5658302
1444471591,5283204,5658309
1444475237,5283214,5658319
1444482400,5283217,5658322
1444496821,5283236,5658342
1444507600,5283242,5658348
1444514791,5283249,5658359
1444518391,5283250,5658360
1444525589,5283253,5658365
1444543589,5283270,5658382
1444547189,5283273,5658385
1444561597,5283279,5658392
1444568784,5283283,5658396
1444572390,5283285,5658398
1444579601,5283292,5658405
1444586784,5283302,5658415
1444590387,5283310,5658423
1444604790,5283323,5658438
1444619342,5283338,5658453
1444622776,5283340,5658455
1444629974,5283342,5658458
1444640787,5283357,5658473
1444644390,5283372,5658488
1444651595,5283396,5658520
1444655194,5283400,5658524
1444658796,5283413,5658537
1444665996,5283438,5658562
1444673210,5283456,5658580
1444691197,5283572,5658698
1444698405,5283605,5658733
1444709190,5283655,5658783
1444727199,5283693,5658823
1444741597,5283723,5658852
1444745187,5283730,5658859
1444752437,5283745,5658875
1444756010,5283746,5658876
1444759593,5283748,5658878
1444766808,5283755,5658885
1444770387,5283762,5658893
1444773984,5283765,5658896
1444777593,5283769,5658900
1444802794,5283807,5658939
1444806278,5283809,5658941
1444817190,5283816,5658949
1444824409,5283820,5658953
1444842410,5283840,5658975
1444845988,5283839,5658974
1444856800,5283844,5658979
1444860384,5283847,5658983
1444889194,5283865,5659002
1444892786,5283864,5659001
1444899991,5283876,5659012
1444903587,5283878,5659015
1444907191,5283885,5659022
1444910781,5283891,5659029
1444914396,5283901,5659041
1444932437,5283928,5659070
1444939591,5283937,5659080
1444950395,5283951,5659094
1444953970,5283958,5659102
1444961224,5283968,5659112
1444964885,5283971,5659115
1444975593,5283979,5659123
1444979181,5283980,5659124
1444986392,5283983,5659130
1444989993,5283982,5659129
1445000793,5283997,5659144
1445004384,5284006,5659153
1445007991,5284013,5659161
1445015202,5284015,5659163
1445022416,5284025,5659173
1445036805,5284037,5659186
1445040379,5284037,5659186
1445044058,5284040,5659189
1445051280,5284044,5659193
1445058477,5284053,5659202
1445061991,5284055,5659204
1445072792,5284069,5659218
1445076383,5284077,5659226
1445083623,5284097,5659246
1445094393,5284128,5659279
1445098057,5284132,5659284
1445101592,5284135,5659287
1445105196,5284139,5659291
1445112499,5284147,5659300
1445116185,5284149,5659302
1445119721,5284159,5659312
1445123322,5284158,5659310
1445126938,5284162,5659314
1445130490,5284168,5659320
1445134327,5284171,5659323
1445137676,5284175,5659327
1445141386,5284187,5659339
1445144923,5284194,5659346
1445148551,5284198,5659350
1445152132,5284204,5659356
1445155589,5284211,5659363
1445159206,5284217,5659369
1445162989,5284223,5659375
1445166465,5284226,5659378
1445170122,5284227,5659381
1445173651,5284231,5659385
1445180823,5284241,5659396
1445187997,5284251,5659407
1445195196,5284260,5659416
1445213193,5284285,5659441
1445216937,5284291,5659447
1445220580,5284297,5659453
1445224116,5284299,5659455
1445245591,5284313,5659469
1445249189,5284320,5659476
1445252797,5284332,5659488
1445278035,5284370,5659525
1445288834,5284378,5659534
1445292411,5284380,5659536
1445314196,5284425,5659581
1445321214,5284437,5659593
1445332016,5284465,5659622
1445335592,5284474,5659631
1445342818,5284501,5659659
1445346409,5284507,5659665
1445353592,5284542,5659699
1445357193,5284564,5659721
1445360791,5284586,5659743
1445364418,5284627,5659784
1445371609,5284665,5659822
1445375219,5284682,5659840
1445378796,5284698,5659856
1445382396,5284716,5659875
1445385992,5284733,5659892
1445389699,5284743,5659902
1445400647,5284808,5659968
1445404079,5284822,5659982
1445418396,5284855,5660015
1445421994,5284857,5660018
1445439994,5284886,5660049
1445443574,5284892,5660056
1445461598,5284912,5660076
1445465201,5284918,5660081
1445468788,5284924,5660087
1445479595,5284949,5660113
1445490396,5284970,5660135
1445501197,5284979,5660144
1445504775,5284984,5660149
1445540811,5284985,5660151
1445551728,5285006,5660172
1445565997,5285055,5660222
1445576798,5285075,5660243
1445580390,5285081,5660249
1445587590,5285093,5660262
1445598411,5285112,5660282
1445605599,5285120,5660290
1445619996,5285138,5660308
1445623728,5285140,5660310
1445627233,5285141,5660311
1445634468,5285151,5660321
1445645204,5285154,5660324
1445652438,5285156,5660326
1445659603,5285158,5660328
1445666791,5285162,5660332
1445673993,5285168,5660340
1445688447,5285180,5660352
1445699350,5285196,5660370
1445717570,5285213,5660387
1445728225,5285224,5660400
1445731641,5285226,5660402
1445735279,5285227,5660403
1445749596,5285246,5660423
1445756794,5285253,5660430
1445760419,5285254,5660431
1445764010,5285255,5660432
1445767604,5285259,5660436
1445778467,5285264,5660441
1445789210,5285283,5660459
1445792869,5285285,5660461
1445796418,5285287,5660464
1445800199,5285295,5660472
1445810794,5285301,5660479
1445817997,5285315,5660493
1445825238,5285332,5660512
1445854003,5285388,5660568
1445857599,5285390,5660570
1445861191,5285396,5660576
1445875732,5285409,5660590
1445879241,5285413,5660594
1445890105,5285424,5660606
1445904396,5285440,5660621
1445907998,5285446,5660627
1445911680,5285451,5660632
1445915192,5285452,5660633
1445918797,5285458,5660639
1445922504,5285461,5660642
1445926110,5285462,5660643
1445929593,5285464,5660645
1445933195,5285467,5660648
1445936792,5285471,5660652
1445940396,5285475,5660656
1445943994,5285483,5660664
1445947594,5285498,5660679
1445958394,5285503,5660684
1445961993,5285507,5660688
1445965594,5285509,5660690
1445972879,5285516,5660697
1445976564,5285520,5660702
1445980082,5285521,5660704
1445983812,5285524,5660706
1445987361,5285535,5660717
1445990795,5285537,5660719
1446001599,5285552,5660734
1446008798,5285564,5660746
1446012396,5285566,5660748
1446016037,5285569,5660751
1446019658,5285571,5660753
1446026807,5285574,5660756
1446030399,5285577,5660759
1446041206,5285591,5660773
1446048597,5285604,5660786
1446052176,5285608,5660790
1446066398,5285617,5660799
1446070047,5285620,5660802
1446077193,5285634,5660816
1446080792,5285641,5660822
1446084399,5285657,5660838
1446095195,5285704,5660886
1446098794,5285717,5660900
1446102392,5285718,5660901
1446113193,5285732,5660915
1446116792,5285740,5660923
1446124000,5285756,5660940
1446134795,5285777,5660961
1446138392,5285789,5660973
1446149221,5285797,5660981
1446152827,5285798,5660982
1446160011,5285828,5661012
1446170860,5285859,5661043
1446174468,5285871,5661055
1446177991,5285883,5661068
1446185219,5285888,5661075
1446188796,5285892,5661081
1446203200,5285896,5661085
1446228401,5285917,5661106
1446235598,5285928,5661117
1446239197,5285930,5661118
1446243111,5285936,5661124
1446250008,5285943,5661132
1446253600,5285944,5661133
1446260936,5285955,5661145
1446264449,5285956,5661145
1446275198,5285977,5661167
1446278802,5285980,5661171
1446286025,5285989,5661181
1446289609,5285990,5661182
1446296798,5285996,5661189
1446300390,5286003,5661197
1446304053,5286010,5661204
1446307661,5286013,5661207
1446311303,5286015,5661209
1446314908,5286017,5661212
1446318398,5286022,5661217
1446329199,5286038,5661233
1446332815,5286040,5661235
1446339998,5286042,5661237
1446343609,5286044,5661239
1446354397,5286055,5661250
