DateTime,AddedIPs,RemovedIPs
1439714730,1,0
1439716536,1,0
1439793927,1,0
1439878533,2,0
1439891129,1,0
1439909129,1,0
1439965831,1,0
1439967631,1,0
1439971231,1,0
1439998218,2,0
1440007222,1,0
1440016218,1,0
1440050420,1,0
1440061216,1,0
1440091819,1,0
1440106218,1,0
1440138619,2,0
1440147618,1,0
1440149417,1,0
1440160218,0,0
1440189019,1,0
1440203418,1,0
1440226819,1,0
1440230418,1,0
1440244816,1,0
1440246617,1,0
1440259218,1,0
1440277219,1,0
1440308720,1,0
1440312319,1,0
1440321334,1,0
1440324924,2,0
1440339322,1,0
1440342024,1,0
1440406824,2,0
1440412222,1,0
1440428427,1,0
1440500417,1,0
1440520219,1,0
1440527420,1,0
1440532819,1,0
1440568824,2,0
1440570619,2,0
1440577821,1,0
1440581419,1,0
1440608421,1,0
1440617419,1,0
1440628222,1,0
1440651627,2,0
1440653421,1,0
1440664219,1,0
1440669622,0,0
1440671421,1,0
1440675020,1,0
1440684018,1,0
1440696618,1,0
1440700221,1,0
1440712820,1,0
1440736222,2,0
1440738020,2,0
1440750631,1,0
1440757820,1,0
1440761421,1,0
1440765021,1,0
1440770420,2,0
1440792025,1,0
1440812719,1,0
1440834336,1,0
1440836129,1,0
1440845122,1,0
1440852320,1,0
1440854126,1,0
1440860423,1,0
1440862224,1,0
1440874824,1,0
1440878424,1,0
1440925222,2,0
1440990924,1,0
1440999022,1,0
1441004425,1,0
1441008023,3,0
1441011622,1,0
1441044020,1,0
1441096223,1,0
1441101645,1,0
1441103438,2,0
1441114225,1,0
1441130422,2,0
1441246525,1,0
1441257327,1,0
1441264525,2,0
1441316723,1,0
1441350925,1,0
1441352719,1,0
1441363520,2,0
1441385119,1,0
1441401322,1,0
1441420224,1,0
1441455324,2,0
1441469723,1,0
1441529124,1,0
1441536323,1,0
1441565123,1,0
1441574124,1,0
1441626323,1,0
1441667724,1,0
1441669521,1,0
1441674922,1,0
1441696520,1,0
1441698321,2,0
1441700119,2,0
1441702825,1,0
1441717222,1,0
1441722624,1,0
1441779327,1,0
1441791922,1,0
1441793722,1,0
1441806321,2,0
1441856722,1,0
1441880123,1,0
1441896321,1,0
1441932321,1,0
1441936821,1,0
1441956622,3,0
1441958421,1,0
1441963837,1,0
1441967429,1,0
1441969219,1,0
1441974622,1,0
1441980024,1,0
1441987223,1,0
1442002522,1,0
1442054727,2,0
1442056524,1,0
1442149225,1,0
1442233823,2,0
1442293226,3,0
1442307624,1,0
1442309421,1,0
1442323822,1,0
1442331023,1,0
1442393139,1,0
1442414739,1,0
1442472339,1,0
1442501138,2,0
1442506524,1,0
1442559625,1,0
1442561422,1,0
1442602826,1,0
1442651441,1,0
1442653220,2,0
1442811624,2,0
1442878215,0,931
1442880021,931,0
1442898021,2,0
1442905223,3,0
1442910622,1,0
1442987125,1,0
1442988923,1,0
1442996125,1,0
1443003322,1,0
1443023123,1,0
1443081623,1,0
1443160820,1,0
1443162623,1,0
1443187822,1,0
1443190541,1,0
1443253522,1,0
1443422721,1,0
1443429921,1,0
1443480326,1,0
1443492924,1,0
1443505523,1,0
1443510932,1,0
1443514542,7,0
1443532522,2,0
1443598225,1,0
1443603622,1,0
1443605426,1,0
1443612622,2,0
1443677422,1,0
1443681036,1,0
1443699022,3,0
1443708021,1,0
1443762925,1,0
1443770123,1,0
1443774622,1,0
1443787225,1,0
1443859227,2,0
1443896125,2,0
1443955523,1,0
1444038323,4,0
1444056323,1,0
1444124724,2,0
1444128321,2,0
1444137323,1,0
1444142740,2,0
1444146342,1,0
1444196738,3,0
1444284924,1,0
1444285839,1,0
1444294825,1,0
1444316424,1,0
1444371321,1,0
1444378524,1,0
1444389342,2,0
1444392923,1,0
1444425322,1,0
1444462221,1,0
1444469424,1,0
1444485623,1,0
1444548626,2,0
1444635038,2,0
1444649421,1,0
1444672823,1,0
1444818621,1,0
1444829425,1,0
1444887923,3,0
1444890641,1,0
1444914023,1,0
1444919418,1,0
1444973426,1,0
1445010322,6,0
1445078721,1,0
1445149826,1,0
1445166021,1,0
1445244323,1,0
1445258723,1,0
1445261422,1,0
1445265025,2,0
1445320825,1,0
1445344223,1,0
1445380222,1,0
1445497221,1,0
1445504424,3,0
1445536823,2,0
1445584525,1,0
1445595324,2,0
1445606124,1,0
1445792420,1,0
1445971521,1,0
1446042622,1,0
1446049822,1,0
1446167722,2,0
1446174921,1,0
1446198323,1,0
1446248720,1,0
1446252323,1,0
1446284721,1,0
1446293721,1,0
1446299120,0,0
1446320722,1,0
1446411620,0,0
1446415217,0,0
1446493519,2,0
1446804922,0,1069
1446806703,1075,0
1446813921,1,0
1446823816,1,0
1446853520,1,0
1446903924,1,0
1446911118,0,0
1446920123,1,0
1446921926,1,0
1446929124,3,0
1446930921,5,0
1446939920,1,0
1446944423,2,0
1446966022,1,0
1446967819,1,0
1446969620,1,0
1446973221,1,0
1446976825,1,0
1446985820,1,0
1446989421,2,0
1446993020,2,0
1446998423,1,0
1447002022,1,0
1447003822,1,0
1447015519,1,0
1447026320,1,0
1447038923,1,0
1447040721,1,0
1447044323,0,0
1447050624,1,0
1447061422,1,0
1447065023,1,0
1447068621,1,0
1447072223,1,0
1447074024,1,0
1447080322,1,0
1447083922,3,0
1447092921,1,0
1447105522,1,0
1447107323,1,0
1447114523,1,0
1447121722,1,0
1447137920,2,0
1447145121,1,0
1447148720,1,0
1447150524,2,0
1447159523,1,0
1447163121,1,0
1447170321,1,0
1447185620,1,0
1447209021,1,0
1447210821,2,0
1447214421,1,0
1447221624,1,0
1447225222,2,0
1447232441,2,0
1447245021,1,0
1447250419,1,0
1447255821,1,0
1447257627,1,0
1447263019,1,0
1447266624,1,0
1447291821,1,0
1447293622,1,0
1447311624,2,0
1447315222,1,0
1447317023,3,0
1447324222,1,0
1447336822,2,0
1447338620,1,0
1447342221,1,0
1447345821,1,0
1447354823,1,0
1447356623,1,0
1447367420,1,0
1447369220,1,0
1447374622,1,0
1447390825,1,0
1447396221,1,0
1447399823,1,0
1447401619,1,0
1447403421,1,0
1447407022,3,0
1447451121,2,0
1447456521,1,0
1447460124,1,0
1447483522,1,0
1447490723,3,0
1447492523,1,0
1447496122,1,0
1447503325,1,0
1447518623,1,0
1447575322,1,0
1447577123,4,0
1447580721,1,0
1447606802,0,1194
1447611323,1194,0
1447613120,1,0
1447641921,1,0
1447647377,0,1196
1447649176,1196,0
1447650915,0,1196
1447652703,1196,0
1447659920,1,0
1447665325,2,0
1447670721,1,0
1447672525,1,0
1447674320,2,0
1447690523,1,0
1447746333,1,0
1447748122,1,0
1447753523,1,0
1447760726,1,0
1447778723,1,0
1447783223,1,0
1447831820,1,0
1447834523,1,0
