DateTime,Entries,UniqueIPs
1439669729,750,750
1439714730,751,751
1439716536,752,752
1439793927,753,753
1439878533,755,755
1439891129,756,756
1439909129,757,757
1439965831,758,758
1439967631,759,759
1439971231,760,760
1439998218,762,762
1440007222,763,763
1440016218,764,764
1440050420,765,765
1440061216,766,766
1440091819,767,767
1440106218,768,768
1440138619,770,770
1440147618,771,771
1440149417,772,772
1440160218,772,772
1440189019,773,773
1440203418,774,774
1440226819,775,775
1440230418,776,776
1440244816,777,777
1440246617,778,778
1440259218,779,779
1440277219,780,780
1440308720,781,781
1440312319,782,782
1440321334,783,783
1440324924,785,785
1440339322,786,786
1440342024,787,787
1440406824,789,789
1440412222,790,790
1440428427,791,791
1440500417,792,792
1440520219,793,793
1440527420,794,794
1440532819,795,795
1440568824,797,797
1440570619,799,799
1440577821,800,800
1440581419,801,801
1440608421,802,802
1440617419,803,803
1440628222,804,804
1440651627,806,806
1440653421,807,807
1440664219,808,808
1440669622,808,808
1440671421,809,809
1440675020,810,810
1440684018,811,811
1440696618,812,812
1440700221,813,813
1440712820,814,814
1440736222,816,816
1440738020,818,818
1440750631,819,819
1440757820,820,820
1440761421,821,821
1440765021,822,822
1440770420,824,824
1440792025,825,825
1440812719,826,826
1440834336,827,827
1440836129,828,828
1440845122,829,829
1440852320,830,830
1440854126,831,831
1440860423,832,832
1440862224,833,833
1440874824,834,834
1440878424,835,835
1440925222,837,837
1440990924,838,838
1440999022,839,839
1441004425,840,840
1441008023,843,843
1441011622,844,844
1441044020,845,845
1441096223,846,846
1441101645,847,847
1441103438,849,849
1441114225,850,850
1441130422,852,852
1441246525,853,853
1441257327,854,854
1441264525,856,856
1441316723,857,857
1441350925,858,858
1441352719,859,859
1441363520,861,861
1441385119,862,862
1441401322,863,863
1441420224,864,864
1441455324,866,866
1441469723,867,867
1441529124,868,868
1441536323,869,869
1441565123,870,870
1441574124,871,871
1441626323,872,872
1441667724,873,873
1441669521,874,874
1441674922,875,875
1441696520,876,876
1441698321,878,878
1441700119,880,880
1441702825,881,881
1441717222,882,882
1441722624,883,883
1441779327,884,884
1441791922,885,885
1441793722,886,886
1441806321,888,888
1441856722,889,889
1441880123,890,890
1441896321,891,891
1441932321,892,892
1441936821,893,893
1441956622,896,896
1441958421,897,897
1441963837,898,898
1441967429,899,899
1441969219,900,900
1441974622,901,901
1441980024,902,902
1441987223,903,903
1442002522,904,904
1442054727,906,906
1442056524,907,907
1442149225,908,908
1442233823,910,910
1442293226,913,913
1442307624,914,914
1442309421,915,915
1442323822,916,916
1442331023,917,917
1442393139,918,918
1442414739,919,919
1442472339,920,920
1442501138,922,922
1442506524,923,923
1442559625,924,924
1442561422,925,925
1442602826,926,926
1442651441,927,927
1442653220,929,929
1442811624,931,931
1442878215,0,0
1442880021,931,931
1442898021,933,933
1442905223,936,936
1442910622,937,937
1442987125,938,938
1442988923,939,939
1442996125,940,940
1443003322,941,941
1443023123,942,942
1443081623,943,943
1443160820,944,944
1443162623,945,945
1443187822,946,946
1443190541,947,947
1443253522,948,948
1443422721,949,949
1443429921,950,950
1443480326,951,951
1443492924,952,952
1443505523,953,953
1443510932,954,954
1443514542,961,961
1443532522,963,963
1443598225,964,964
1443603622,965,965
1443605426,966,966
1443612622,968,968
1443677422,969,969
1443681036,970,970
1443699022,973,973
1443708021,974,974
1443762925,975,975
1443770123,976,976
1443774622,977,977
1443787225,978,978
1443859227,980,980
1443896125,982,982
1443955523,983,983
1444038323,987,987
1444056323,988,988
1444124724,990,990
1444128321,992,992
1444137323,993,993
1444142740,995,995
1444146342,996,996
1444196738,999,999
1444284924,1000,1000
1444285839,1001,1001
1444294825,1002,1002
1444316424,1003,1003
1444371321,1004,1004
1444378524,1005,1005
1444389342,1007,1007
1444392923,1008,1008
1444425322,1009,1009
1444462221,1010,1010
1444469424,1011,1011
1444485623,1012,1012
1444548626,1014,1014
1444635038,1016,1016
1444649421,1017,1017
1444672823,1018,1018
1444818621,1019,1019
1444829425,1020,1020
1444887923,1023,1023
1444890641,1024,1024
1444914023,1025,1025
1444919418,1026,1026
1444973426,1027,1027
1445010322,1033,1033
1445078721,1034,1034
1445149826,1035,1035
1445166021,1036,1036
1445244323,1037,1037
1445258723,1038,1038
1445261422,1039,1039
1445265025,1041,1041
1445320825,1042,1042
1445344223,1043,1043
1445380222,1044,1044
1445497221,1045,1045
1445504424,1048,1048
1445536823,1050,1050
1445584525,1051,1051
1445595324,1053,1053
1445606124,1054,1054
1445792420,1055,1055
1445971521,1056,1056
1446042622,1057,1057
1446049822,1058,1058
1446167722,1060,1060
1446174921,1061,1061
1446198323,1062,1062
1446248720,1063,1063
1446252323,1064,1064
1446284721,1065,1065
1446293721,1066,1066
1446320722,1067,1067
1446493519,1069,1069
1446804922,0,0
1446806703,1075,1075
1446813921,1076,1076
1446823816,1077,1077
1446853520,1078,1078
1446903924,1079,1079
1446920123,1080,1080
