DateTime,AddedIPs,RemovedIPs
1440855006,1,0
1440860408,1,0
1440862206,1,0
1440874806,1,0
1440878406,1,0
1440927006,0,1
1440976507,1,0
1440990906,1,0
1440993607,0,2
1440999006,1,0
1441004406,1,0
1441008007,3,0
1441009806,0,1
1441011606,1,0
1441020606,0,1
1441028706,0,1
1441044006,1,0
1441096206,1,0
1441101608,1,0
1441103407,2,0
1441114206,1,0
1441129506,2,0
1441197906,0,1
1441246506,1,0
1441257307,1,0
1441264506,2,0
1441273505,0,1
1441278906,0,2
1441286105,0,1
1441316705,1,0
1441350906,1,0
1441352706,1,0
1441363506,2,0
1441385106,1,0
1441392305,0,1
1441401305,1,0
1441420206,1,0
1441440905,0,3
1441449905,0,1
1441453506,0,1
1441455305,2,0
1441469706,1,0
1441525507,0,2
1441529106,1,1
1441536305,1,0
1441565105,1,1
1441574106,1,0
1441593905,0,1
1441615506,0,2
1441626306,1,0
1441664105,0,2
1441667705,1,2
1441669505,1,0
1441674905,1,0
1441676706,0,1
1441685705,0,1
1441694706,1,0
1441696505,1,0
1441698305,2,0
1441700105,2,0
1441701905,1,0
1441716305,1,0
1441723505,1,0
1441780205,1,0
1441782004,0,1
1441791906,1,0
1441793706,1,1
1441797305,0,1
1441806305,2,0
1441833306,0,1
1441854905,0,1
1441856707,1,0
1441880105,1,0
1441883706,0,1
1441885505,0,1
1441887305,0,1
1441896306,1,0
1441908906,0,2
1441932305,1,0
1441937706,1,0
1441955706,3,0
1441961106,0,1
1441964707,0,1
1441968305,2,0
1441975506,1,0
1441979105,1,0
1441982705,0,1
1441984506,0,2
1441986305,0,1
1441988105,1,0
1442002506,1,0
1442056507,1,1
1442085306,0,2
1442096105,0,1
1442121306,0,1
1442128506,0,1
1442133906,0,1
1442149207,1,0
1442172605,0,1
1442222107,0,1
1442277907,0,3
1442308505,1,0
1442326506,0,1
1442331905,1,0
1442333706,0,1
1442418307,0,1
1442481307,0,1
1442483106,0,1
1442501107,0,1
1442506506,1,0
1442558706,1,0
1442560506,2,0
1442565905,0,2
1442574905,0,1
1442591105,0,2
1442600105,0,1
1442603705,1,0
1442607305,0,1
1442609105,0,1
1442643305,0,1
1442649607,0,1
1442651407,1,0
1442653205,2,0
1442682905,0,1
1442691904,0,1
1442697305,0,1
1442699106,0,2
1442729706,0,2
1442738705,0,1
1442740505,0,1
1442781905,0,1
1442794506,0,1
1442796306,0,1
1442807106,0,1
1442817907,0,1
1442835906,0,2
1442839505,0,1
1442870105,0,1
1442897106,1,0
1442898906,1,0
1442900705,0,1
1442904305,1,1
1442906106,1,0
1442916905,0,2
1442922305,0,1
1442931304,0,1
1442933105,0,1
1442987107,1,0
1442996105,1,0
1442997906,0,2
1442999706,0,2
1443003306,1,0
1443019505,0,1
1443080705,1,0
1443087905,1,0
1443098705,0,1
1443113106,0,1
1443120305,0,1
1443123905,0,1
1443159905,0,1
1443161705,2,0
1443170705,0,1
1443176105,0,1
1443186905,1,0
1443190507,1,0
1443199505,0,1
1443208506,0,1
1443219305,0,1
1443244505,0,3
1443253506,0,1
1443262505,0,1
1443267906,0,1
1443275105,0,1
1443289505,0,1
1443291305,0,1
1443321905,0,1
1443327306,0,1
1443329106,0,1
1443330905,0,2
1443336305,0,1
1443341705,0,1
1443348905,0,2
1443352504,0,1
1443363306,0,1
1443384905,0,1
1443402905,0,1
1443404705,0,1
1443426304,0,1
1443429904,1,0
1443437105,0,1
1443444306,0,1
1443446105,0,1
1443451506,0,1
1443453305,0,1
1443467705,0,1
1443480304,1,0
