DateTime,AddedIPs,RemovedIPs
1442558522,1,0
1442560322,1,0
1442563922,1,0
1442569321,1,0
1442578323,1,0
1442580122,1,0
1442581922,1,0
1442583722,1,0
1442585522,1,0
1442589122,61,0
1442594523,2,0
1442598122,2,0
1442601722,1,0
1442605322,1,0
1442609522,1,0
1442614922,4,0
1442622723,2,0
1442626322,1,0
1442631722,2,0
1442634122,4,0
1442641923,1,0
1442644921,3,0
1442650321,1,0
1442662922,3,0
1442666522,1,0
1442673722,2,0
1442679122,1,0
1442682722,36,0
1442684522,7,0
1442686322,1,0
1442688121,1,0
1442692322,2,0
1442694722,3,0
1442696521,1,0
1442701922,2,0
1442703722,2,0
1442709722,1,0
1442711522,4,0
1442713321,1,0
1442716921,2,0
1442722324,2,0
1442729524,4,0
1442731322,1,0
1442740322,1,0
1442747521,2,0
1442749322,2,0
1442760121,1,0
1442765523,3,0
1442767322,2,0
1442769123,44,0
1442772722,1,0
1442778121,2,0
1442781722,1,0
1442783522,2,0
1442785322,1,0
1442787121,22,0
1442788922,3,0
1442790722,3,0
1442792522,1,0
1442794322,1,0
1442796122,6,0
1442797922,2,0
1442799722,1,0
1442801522,2,0
1442803322,4,0
1442806922,3,0
1442808722,1,0
1442823122,1,0
1442837522,1,0
1442842923,79,0
1442846522,1,0
1442851922,1,0
1442853721,2,0
1442855523,1,0
1442864521,1,0
1442869922,24,0
1442871721,8,0
1442873523,2,0
1442878922,13,0
1442880722,8,0
1442882522,1,0
1442887921,1,0
1442896922,3,0
1442898721,1,0
1442902321,1,0
1442911322,1,0
1442917923,2,0
1442919722,1,0
1442925722,10,0
1442927522,1,0
1442929321,0,3
1442932922,1,0
1442934722,1,49
1442936522,36,0
1442938323,1,81
1442940122,0,115
1442943722,0,2
1442945521,2,70
1442947325,0,9
1442949122,0,2
1442950921,0,4
1442954522,4,3
1442956322,1,5
1442961722,0,1
1442963521,4,7
1442965322,1,14
1442967122,0,40
1442968922,0,59
1442970722,0,53
1442972522,7,33
1442974322,1,5
1442976122,1,8
1442979722,0,12
1442981522,4,45
1442983322,0,32
1442985122,1,12
1442986922,3,11
1442990522,2,2
1442994123,0,4
1442995922,0,1
1442997722,0,7
1442999522,5,2
1443001321,1,2
1443006722,0,1
1443008522,2,4
1443010322,1,0
1443012122,0,1
1443015724,8,2
1443017522,3,0
1443021122,1,2
1443022921,0,5
1443024722,1,5
1443026522,1,1
1443028322,0,4
1443030125,0,1
1443031922,1,0
1443035522,1,1
1443040922,0,2
1443044522,2,0
1443049921,1,0
1443051722,4,3
1443055324,0,2
1443057122,0,1
1443058922,5,0
1443062521,2,2
1443064322,0,90
1443067923,3,55
1443069721,0,11
1443071524,1,0
1443073322,0,22
1443075121,2,0
1443076921,0,53
1443080522,1,5
1443082322,0,2
1443084122,0,3
1443085922,0,1
1443087721,0,4
1443089522,1,0
1443091323,1,3
1443093122,0,1
1443094922,0,2
1443096722,0,3
1443098522,1,1
1443100325,0,5
1443102122,1,3
1443105721,2,52
1443107521,1,61
1443109322,0,9
1443111122,1,5
1443112922,0,3
1443114722,0,2
1443116522,3,0
1443118322,0,2
1443120121,1,0
1443121923,0,7
1443123722,0,1
1443125522,5,0
1443127323,1,0
1443132122,1,3
1443134521,3,3
1443138122,1,0
1443139922,3,7
1443141721,1,3
1443143522,1,0
1443145321,1,4
1443148921,0,1
1443150722,2,0
1443152522,0,7
1443154323,0,92
1444119721,93,5571
1444968722,78,2759
1445096524,8,131
1445574123,28,550
1445922122,13,214
1445923321,4,0
1445924521,1,0
1445925122,2,0
1445926321,1,0
1445928721,5,0
1445929921,2,0
1445931121,1,0
1445932321,1,0
1445933521,1,0
1445934721,1,0
1445937122,6,0
1445938321,1,0
1445944321,2,0
1445946121,3,0
1445946721,1,0
1445955122,8,0
1445956321,4,0
1445957522,1,0
1445958722,2,0
1445959921,1,0
1445963522,3,0
1445964121,2,0
1445965922,1,0
1445967122,1,0
1445971922,1,0
1445973122,1,0
1445974322,1,0
1445975522,1,0
1445976722,1,0
1445978522,1,0
1445979724,2,0
1445981521,12,0
1445982721,6,0
1445986322,1,0
1445989321,15,0
1445989921,4,0
1445991121,3,0
1445992322,1,0
1445992922,1,0
1445993521,1,0
1445995921,2,0
1445997121,3,0
1445998322,4,0
1446001922,2,0
1446005521,1,0
1446006722,11,0
1446007921,5,0
1446016322,5,0
1446021722,1,0
1446022322,2,0
1446024722,3,0
1446025322,5,0
1446027121,6,0
1446038522,2,0
1446042722,1,0
1446048721,1,0
1446051122,1,0
1446057721,4,0
1446059522,1,0
1446061922,1,0
1446063122,1,0
1446064322,1,0
1446065521,1,0
1446067921,19,0
1446068522,3,0
1446069122,4,0
1446070322,1,0
1446071521,1,0
1446072721,2,0
