DateTime,AddedIPs,RemovedIPs
1446136923,4,4
1446137521,3,3
1446138721,3,3
1446139922,4,4
1446141122,3,3
1446142322,5,5
1446143521,4,4
1446144722,10,10
1446145922,5,5
1446147121,9,9
1446148322,4,4
1446149522,5,5
1446150723,6,6
1446151922,8,8
1446153122,4,4
1446154322,5,5
1446154921,3,3
1446155521,6,6
1446156721,3,3
1446157922,3,3
1446159122,3,3
1446160323,5,5
1446161522,9,9
1446162722,6,6
1446168122,13,13
1446169323,2,2
1446170522,2,2
1446171722,11,11
1446172922,11,11
1446173522,2,2
1446174722,2,2
1446175922,9,9
1446177121,3,3
1446178322,2,2
1446179523,3,3
1446180721,4,4
1446181921,6,6
1446183122,3,3
1446183722,6,6
1446184322,3,3
1446185522,4,4
1446186723,4,4
1446187922,5,5
1446189121,8,8
1446190321,5,5
1446190922,2,2
1446191521,5,5
1446192721,6,6
1446193922,6,6
1446195122,6,6
1446196322,3,3
1446197522,3,3
1446198122,2,2
1446198722,2,2
1446199922,2,2
1446201122,6,6
1446202321,6,6
1446203522,5,5
1446204722,5,5
1446205322,2,2
1446205922,3,3
1446207122,4,4
1446208322,4,4
1446209522,14,14
1446210722,7,7
1446211921,3,3
1446213121,4,4
1446214322,6,6
1446215521,8,8
1446216721,14,14
1446217922,20,20
1446219122,7,7
1446220321,12,12
1446221522,5,5
1446222722,8,8
1446223922,4,4
1446225122,6,6
1446226322,7,7
1446226922,3,3
1446227521,4,4
1446228722,8,8
1446229921,4,4
1446231122,7,7
1446232321,4,4
1446233521,4,4
1446234722,7,7
1446235922,5,5
1446237122,7,7
1446238322,6,6
1446238921,2,2
1446240122,7,7
1446241322,15,15
1446241922,8,8
1446243121,9,9
1446243721,2,2
1446244922,8,8
1446245522,3,3
1446246122,4,4
1446247322,9,9
1446248522,7,7
1446249721,5,5
1446250922,5,5
1446252121,3,3
1446252721,3,3
1446253922,4,4
1446255121,6,6
1446256321,3,3
1446257521,7,7
1446258721,3,3
1446259921,7,7
1446261122,6,6
1446262321,1,1
1446263522,4,4
1446264122,3,3
1446265321,3,3
1446266522,2,2
1446267722,8,8
1446270121,4,4
1446275522,10,10
1446279121,8,8
1446281521,3,3
1446285121,4,4
1446286922,5,5
1446288722,7,7
1446289921,2,2
1446291122,3,3
1446292322,3,3
1446293521,2,2
1446294722,1,1
1446295922,4,4
1446297121,6,6
1446298322,3,3
1446299522,4,4
1446300722,3,3
1446301321,2,2
1446302522,7,7
1446303122,1,1
1446304322,10,10
1446305522,6,6
1446306722,2,2
1446307922,5,5
1446309121,8,8
1446310323,5,5
1446311522,2,2
1446313921,11,11
1446315121,3,3
1446316321,3,3
1446317522,3,3
1446318721,2,2
1446319922,1,1
1446321121,3,3
1446322322,9,9
1446323522,5,5
1446324722,2,2
1446325922,9,9
1446326522,2,2
1446327722,3,3
1446328322,16,16
1446329522,11,11
1446330721,5,5
1446331921,5,5
1446333122,5,5
1446334321,2,2
1446337321,4,4
1446338522,2,2
1446339121,2,2
1446340323,1,1
1446341522,4,4
1446345721,2,2
1446346321,2,2
1446347526,1,1
1446348721,3,3
1446349922,3,3
1446351122,1,1
1446352322,6,6
1446353523,7,7
1446354722,3,3
1446355921,4,4
1446357121,4,4
1446358321,6,6
1446359522,3,3
1446360721,1,1
1446361922,6,6
1446363122,7,7
1446363721,1,1
1446365521,3,3
1446366722,2,2
1446367921,3,3
1446369122,2,2
1446370322,2,2
1446371522,4,4
1446372722,1,1
1446373922,6,6
1446375122,5,5
1446376322,1,1
1446378122,3,3
1446378722,3,3
1446379922,8,8
1446381122,3,3
1446382322,2,2
1446383522,4,4
1446384722,2,2
1446385922,4,4
1446387122,4,4
1446388321,7,7
1446389522,3,3
1446390721,3,3
1446391921,3,3
1446393122,4,4
1446394322,3,3
1446395523,7,7
1446396721,7,7
1446397922,5,5
1446399121,2,2
1446400322,3,3
1446401523,3,3
1446402721,6,6
1446403922,5,5
1446405122,8,8
1446406322,6,6
1446407522,3,3
1446408722,1,1
1446409922,1,1
1446411122,4,4
1446411722,17,17
1446412922,12,12
1446414122,9,9
1446414721,4,4
1446415922,5,5
1446416521,4,4
1446417721,5,5
1446418321,3,3
1446419522,4,4
1446420721,5,5
1446421921,3,3
1446423122,4,4
1446424322,2,2
1446426122,3,3
1446426722,3,3
1446427921,8,8
1446428522,9,9
1446429122,1,1
1446429722,2,2
1446430322,6,6
1446430921,3,3
1446438121,9,9
1446438722,4,4
1446439322,2,2
1446439922,5,5
1446441722,6,6
1446442322,3,3
1446442921,1,1
1446443521,1,1
1446444122,3,3
1446444722,2,2
1446445321,4,4
1446445922,2,2
1446446522,2,2
1446448322,4,4
1446449521,7,7
1446450722,4,4
1446451922,4,4
1446453122,3,3
1446453722,1,1
1446454321,2,2
1446455521,2,2
1446456721,3,3
1446457922,3,3
1446459122,2,2
1446460322,4,4
1446461522,7,7
1446462722,3,3
1446463922,4,4
1446465122,3,3
1446466322,1,1
1446467522,2,2
1446468722,4,4
1446471121,10,10
1446472322,5,5
1446474722,2,2
1446475922,3,3
1446477121,24,24
1446478322,5,5
1446479522,3,3
1446480721,3,3
1446481922,5,5
1446483122,11,11
1446483722,2,2
1446484922,8,8
1446486121,4,4
1446486721,3,3
1446487922,4,4
1446489121,5,5
1446490322,3,3
1446491522,6,6
1446492722,6,6
1446493921,2,2
1446495122,8,8
1446496321,7,7
1446497521,5,5
1446498721,7,7
1446499923,3,3
1446501122,17,17
1446502322,4,4
1446504721,5,5
1446505922,5,5
1446507122,8,8
1446508322,13,13
1446509522,2,2
1446510722,11,11
1446511922,9,9
1446513722,5,5
1446514922,4,4
1446515522,2,2
1446516722,7,7
1446517922,3,3
1446519122,6,6
1446520321,3,3
1446521522,4,4
1446522722,5,5
1446523922,9,9
1446525121,5,5
1446526321,3,3
1446527523,1,1
1446528721,3,3
1446529922,3,3
1446531122,3,3
1446532321,7,7
1446533522,3,3
1446534721,5,5
1446535921,1,1
1446537121,1,1
1446538321,1,1
1446539521,1,1
1446540721,2,2
1446541922,5,5
1446543122,5,5
1446544322,2,2
1446545521,2,2
1446546721,5,5
1446547921,3,3
1446550322,6,6
1446551522,4,4
1446552722,2,2
1446553921,2,2
1446555122,4,4
1446556322,7,7
1446557522,3,3
1446558722,6,6
1446559922,5,5
1446561122,4,4
1446562321,3,3
1446563523,2,2
1446564722,2,2
1446565922,7,7
1446567122,5,5
1446568322,3,3
1446569521,4,4
1446570722,3,3
1446571922,3,3
1446573122,6,6
1446574321,4,4
1446575522,2,2
1446576721,5,5
1446577922,9,9
1446579122,5,5
1446580322,3,3
1446581522,4,4
1446582721,8,8
1446584521,8,8
1446585721,4,4
1446586922,3,3
1446587522,2,2
1446588722,3,3
1446589922,3,3
1446591121,3,3
1446592322,3,3
1446593522,4,4
1446595922,0,10
1446597122,1,0
1446598322,7,3
1446599521,2,1
1446600722,7,3
1446601921,3,3
1446603121,3,5
1446604321,3,1
1446605522,2,2
1446606721,7,7
1446607921,2,2
1446609122,3,3
1446610322,8,8
1446611522,7,7
1446612722,7,7
1446613921,4,4
1446615122,8,8
1446616322,8,8
1446616922,4,4
1446618121,3,3
1446619322,7,7
1446619922,3,3
1446621122,7,7
1446622322,3,3
1446623522,8,8
1446624722,7,7
1446625922,3,3
1446627121,2,2
1446628323,3,3
1446629522,6,6
1446630723,3,3
1446631921,5,5
1446633121,3,3
1446634322,4,4
1446635521,5,5
1446636722,3,3
1446637922,5,5
1446639122,7,7
1446640322,8,8
1446641521,4,4
1446642722,3,3
1446643921,4,4
1446645121,3,3
1446646322,2,2
1446647521,2,2
1446648723,3,3
1446649922,2,2
1446651121,5,5
1446652322,3,3
1446653521,4,4
1446654722,5,5
1446655921,5,5
1446657121,11,11
1446658322,4,4
1446668524,21,21
1446669722,2,2
1446670921,5,5
1446672122,4,4
1446673921,12,12
1446675121,7,7
1446676322,3,3
1446678122,12,12
1446679322,4,4
1446679922,6,6
1446681122,6,6
1446682321,6,6
1446683522,5,5
1446684721,5,5
1446685921,6,6
1446687122,5,5
1446688321,7,7
1446689522,6,6
1446690721,4,4
1446691922,6,6
1446693122,4,4
1446694322,3,3
1446695522,7,7
1446696722,7,7
1446697922,6,6
1446699121,7,7
1446700322,8,8
1446974522,23,83
1446975721,8,6
1446977523,3,5
1446978721,11,0
1446979922,4,0
1446981122,5,0
1446982322,6,7
1446983521,5,0
1446984722,1,0
1446985921,2,2
1446987121,0,1
1446988322,2,3
1446989521,6,4
1446990721,6,7
1446991922,6,4
1446993121,8,6
1446994321,7,5
1446995521,2,5
1446996722,9,2
1446997922,6,5
1446999122,3,2
1447000324,3,2
1447001521,2,2
1447002722,2,4
1447003921,1,3
1447005121,2,2
1447223527,15,58
1447569121,8,26
1447672921,14,0
1447674122,8,4
1447674722,1,0
1447675922,5,1
1448055121,21,29
1448057521,10,3
1448058722,11,1
1448059921,7,6
1448061122,7,2
1448062922,5,3
1448064121,7,2
1448065321,3,2
1448066521,3,4
