DateTime,Entries,UniqueIPs
1446062401,5790,5790
1446066002,5722,5722
1446069602,5729,5729
1446073202,5722,5722
1446076801,5651,5651
1446080402,5684,5684
1446084002,5763,5763
1446087602,5744,5744
1446091202,5747,5747
1446094802,5789,5789
1446098402,5755,5755
1446102002,5751,5751
1446105602,5765,5765
1446109202,5740,5740
1446112802,5756,5756
1446116402,5805,5805
1446120002,5750,5750
1446123602,5782,5782
1446127202,5803,5803
1446130802,5810,5810
1446134402,5784,5784
1446138001,5718,5718
1446141601,5690,5690
1446145202,5696,5696
1446148802,5701,5701
1446152401,5709,5709
1446156002,5741,5741
1446159602,5739,5739
1446166801,5905,5905
1446170402,5876,5876
1446174002,5881,5881
1446177602,5905,5905
1446181202,5907,5907
1446184801,5957,5957
1446188401,5963,5963
1446192002,5981,5981
1446195601,6011,6011
1446199202,5976,5976
1446202802,5984,5984
1446206402,5968,5968
1446210002,5948,5948
1446213602,5921,5921
1446217202,5886,5886
1446220801,5871,5871
1446224401,5928,5928
1446228001,5912,5912
1446231601,5852,5852
1446235201,5801,5801
1446238802,5850,5850
1446242402,5845,5845
1446246002,5903,5903
1446249601,5908,5908
1446253202,5793,5793
1446256802,5825,5825
1446260401,5813,5813
1446264002,5746,5746
1446267601,5688,5688
1446274802,5668,5668
1446278401,5690,5690
1446282001,5655,5655
1446285601,5638,5638
1446289202,5592,5592
1446292802,5501,5501
1446296402,5484,5484
1446300001,5440,5440
1446303602,5410,5410
1446307201,5378,5378
1446310802,5380,5380
1446314402,5347,5347
1446318002,5447,5447
1446321602,5423,5423
1446325202,5302,5302
1446328801,5259,5259
1446332402,5128,5128
1446336002,5111,5111
1446339601,5098,5098
1446343201,5013,5013
1446346801,4876,4876
1446350402,4886,4886
1446354002,4888,4888
1446357602,4845,4845
1446361201,4817,4817
1446364802,4768,4768
1446368402,4767,4767
1446372002,4744,4744
1446375602,4729,4729
1446379202,4820,4820
1446382802,4745,4745
1446386402,4734,4734
1446390002,4804,4804
1446393602,4890,4890
1446397202,4795,4795
1446400801,4730,4730
1446404402,4656,4656
1446408002,4654,4654
1446411602,4666,4666
1446415202,4695,4695
1446418801,4677,4677
1446422402,4587,4587
1446426002,4626,4626
1446429602,4613,4613
1446436802,4676,4676
1446440401,4679,4679
1446444002,4711,4711
1446447602,4765,4765
1446451201,4837,4837
1446454801,4948,4948
1446458402,4990,4990
1446462002,5041,5041
1446465602,5017,5017
1446469201,5062,5062
1446472802,5052,5052
1446476402,5115,5115
1446480002,5109,5109
1446483601,5215,5215
1446487201,5221,5221
1446490802,5294,5294
1446494402,5353,5353
1446498001,5387,5387
1446501602,5372,5372
1446505202,5439,5439
1446508802,5409,5409
1446512401,5443,5443
1446516002,5451,5451
1446519602,5429,5429
1446523201,5424,5424
1446526802,5449,5449
1446530401,5488,5488
1446534002,5509,5509
1446537601,5464,5464
1446541202,5447,5447
1446544801,5440,5440
1446548402,5470,5470
1446552001,5486,5486
1446555601,5501,5501
1446559201,5488,5488
1446562802,5449,5449
1446566402,5345,5345
1446570002,5264,5264
1446573602,5314,5314
1446577202,5274,5274
1446580802,5247,5247
1446584402,5265,5265
1446591602,5306,5306
1446595202,5323,5323
1446598802,5329,5329
1446602402,5296,5296
1446606001,5271,5271
1446609602,5258,5258
1446613202,5258,5258
1446616802,5330,5330
1446620401,5423,5423
1446624002,5417,5417
1446627602,5367,5367
1446631201,5361,5361
1446634802,5316,5316
1446638401,5303,5303
1446642002,5292,5292
1446645602,5263,5263
1446649201,5264,5264
1446652802,5237,5237
1446667201,5186,5186
1446670801,5177,5177
1446674402,5204,5204
1446678001,5222,5222
1446681602,5238,5238
1446685201,5247,5247
1446688802,5226,5226
1446692401,5270,5270
1446696001,5254,5254
1446699602,5275,5275
1446703202,5274,5274
1446706801,5223,5223
1446710401,5231,5231
1446714002,5255,5255
1446717602,5307,5307
1446721202,5330,5330
1446724802,5334,5334
1446728401,5350,5350
1446732001,5378,5378
1446735601,5440,5440
1446739202,5541,5541
1446742802,5466,5466
1446746402,5462,5462
1446750002,5470,5470
1446753601,5541,5541
1446757201,5534,5534
1446760802,5507,5507
1446764402,5424,5424
1446768002,5391,5391
1446771601,5405,5405
1446775202,5402,5402
1446778802,5388,5388
1446782402,5326,5326
1446786001,5328,5328
1446789601,5352,5352
1446793202,5347,5347
1446796802,5346,5346
1446800401,5402,5402
1446804002,5363,5363
1446807601,5374,5374
1446811202,5384,5384
1446814801,5485,5485
1446818402,5493,5493
