DateTime,Entries,UniqueIPs
1441371649,233668,233668
1441458051,233612,233612
1441544449,233118,233118
1441630850,232294,232294
1441717249,231789,231789
1441803650,231525,231525
1441890048,231174,231174
1441976449,230985,230985
1442062849,230826,230826
1442149247,230149,230149
1442235649,229678,229678
1442322050,229861,229861
1442408451,229640,229640
1442494850,229583,229583
1442581249,229522,229522
1442667649,230016,230016
1442754051,229594,229594
1442840450,229116,229116
1442926852,229042,229042
1443013251,228880,228880
1443099651,228965,228965
1443186051,228707,228707
1443272452,228504,228504
1443358850,227637,227637
1443445249,226559,226559
1443531649,226308,226308
1443618047,225976,225976
1443704446,225768,225768
1443790846,225518,225518
1443877246,225488,225488
1443963646,224605,224605
1444050046,224247,224247
1444136446,224073,224073
1444222846,223550,223550
1444309246,223289,223289
1444395645,223443,223443
1444482045,223289,223289
1444568444,222704,222704
1444654844,222268,222268
1444741245,221921,221921
1444827643,222177,222177
1444914042,221881,221881
1445000442,221931,221931
1445086843,222017,222017
1445173242,221379,221379
1445259642,221088,221088
1445346042,221112,221112
1445432442,220823,220823
1445518842,220871,220871
1445605242,220843,220843
1445691642,220792,220792
1445778041,219954,219954
1445864441,218486,218486
1445950841,217802,217802
1446037239,217021,217021
1446123640,216798,216798
1446210040,216823,216823
1446296441,216721,216721
1446382840,216022,216022
1446469239,215350,215350
1446555639,214775,214775
1446642040,214313,214313
1446728440,214044,214044
1446814839,213704,213704
1446901240,213506,213506
1446987640,212757,212757
1447074039,212149,212149
1447160439,211369,211369
1447246838,210912,210912
1447333239,210531,210531
1447419637,209573,209573
1447506037,205532,205532
1447592436,204387,204387
1447678837,203662,203662
1447765236,198130,198130
1447851636,196427,196427
